Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,155219,154,154,2,7,0,57,154221,0
1,434666,127,127,16,2,1,24,433053,0
0,1524263,35,35,22,16,0,5,1522857,0
0,831522,12,12,21,17,0,38,830434,1
0,10687,111,111,33,17,0,57,9590,0
0,1108489,110,110,22,25,0,53,1107152,1
0,33930,49,49,30,17,0,64,32737,0
0,340376,74,74,4,1,0,10,339975,0
0,566165,33,33,8,20,0,16,564966,0
1,6500,30,30,28,2,1,25,5433,0
1,496522,95,95,10,2,1,57,495068,1
0,447552,1,1,16,0,0,67,446896,0
0,1494962,36,36,22,5,0,37,1493559,1
0,405983,7,7,18,1,0,75,405798,0
0,726501,38,38,22,10,0,5,725125,1
0,1117420,109,109,22,12,0,21,1116176,1
0,617159,57,57,5,25,0,72,615924,0
0,1404649,106,106,22,12,0,15,1403372,0
1,3182,21,21,34,2,1,36,2247,0
1,553803,92,92,12,2,1,54,552229,0
0,1359,83,83,31,0,0,8,532,1
1,492874,56,56,9,2,1,22,492284,0
0,512575,152,152,6,21,0,2,511070,0
0,1689293,41,41,20,24,0,81,1687962,1
0,7259,6,6,25,0,0,29,6249,0
1,452810,96,96,10,2,1,57,452175,0
0,68405,136,136,48,19,0,76,67296,1
0,1047742,141,141,21,19,0,52,1046660,1
0,526360,149,149,5,25,0,77,525035,1
0,1898756,45,45,22,19,0,15,1897875,1
0,1944921,122,122,22,0,0,15,1944244,0
0,2480,75,75,44,19,0,4,1071,1
0,437973,97,97,1,0,0,76,437293,1
0,209311,50,50,11,4,0,17,208193,1
0,1587887,120,120,21,10,0,37,1586445,1
1,1867030,44,44,22,2,1,44,1865636,0
0,15753,10,10,26,19,0,65,14641,0
0,580857,34,34,8,25,0,47,579490,0
1,10644,94,94,46,2,1,38,9307,1
0,367224,148,148,5,0,0,46,366097,0
0,1267766,61,61,22,12,0,5,1266495,1
0,1499180,116,116,20,21,0,33,1497708,0
0,626028,39,39,7,17,0,34,624868,1
0,290343,73,73,4,23,0,56,289018,0
0,1172370,108,108,22,12,0,15,1171051,0
1,411413,90,90,23,2,1,70,410007,1
0,42426,101,101,3,17,0,13,41221,0
0,532332,150,150,5,25,0,59,531106,1
1,1789020,72,72,21,2,1,20,1787623,1
0,523945,114,114,1,25,0,76,522770,1
0,601068,113,113,7,17,0,78,599905,1
0,151073,138,138,48,19,0,76,149964,0
0,1733432,126,126,22,23,0,53,1732098,0
1,924253,86,86,21,2,1,20,923378,1
0,1651899,46,46,22,17,0,5,1651012,1
0,228042,115,115,4,17,0,30,226948,0
0,432268,5,5,15,19,0,71,431189,0
0,1002291,88,88,21,17,0,4,1001194,0
0,1751668,125,125,22,5,0,21,1750310,0
0,211061,153,153,0,5,0,1,209817,0
1,18783,26,26,38,2,1,73,17596,0
1,65502,29,29,40,2,1,28,63997,0
0,754771,53,53,17,26,0,58,753767,1
0,2018230,119,119,21,17,0,83,2016848,0
0,207419,58,58,16,0,0,83,207000,0
0,598434,76,76,10,0,0,44,597786,1
0,1248251,62,62,22,15,0,5,1246854,1
0,559992,91,91,5,25,0,0,558766,1
0,231983,84,84,10,8,0,69,230514,1
0,423600,145,145,22,19,0,19,422017,0
1,9275,47,47,42,2,1,3,7716,1
0,2090497,20,20,22,5,0,18,2089121,1
0,472615,52,52,5,9,0,65,471425,0
0,412929,51,51,5,25,0,59,411703,0
0,1933792,4,4,22,1,0,15,1933010,0
1,1778404,124,124,22,27,1,27,1777100,1
0,1093548,134,134,18,18,0,77,1092211,0
0,1741983,15,15,21,11,0,83,1740772,0
0,437003,65,65,18,1,0,16,436320,0
0,155993,112,112,19,22,0,38,154689,1
0,146779,93,93,10,6,0,44,145715,1
1,379854,80,80,15,2,1,11,379126,0
1,1015761,64,64,22,2,1,27,1014583,0
0,1277102,66,66,20,24,0,37,1275858,0
0,308539,82,82,18,15,0,51,307640,0
1,52782,135,135,48,2,1,31,51379,1
1,852,48,48,30,2,1,43,1,0
0,233697,2,2,11,0,0,80,233434,1
0,1572694,70,70,20,17,0,7,1571525,1
1,2053277,19,19,22,27,1,44,2051877,1
1,597683,128,128,10,2,1,63,596868,1
1,23787,25,25,37,2,1,24,22417,0
0,494627,40,40,1,23,0,60,493452,0
0,1622991,121,121,21,0,0,37,1622125,1
1,169772,31,31,13,2,1,9,168840,1
0,1413484,11,11,22,25,0,53,1412150,0
0,54854,27,27,38,0,0,4,53844,0
0,2157389,43,43,22,10,0,26,2156019,0
0,6378,59,59,43,17,0,4,4900,1
0,439354,102,102,12,17,0,42,437786,0
1,1072628,132,132,18,27,1,22,1071504,0
0,211328,151,151,8,19,0,47,209856,1
0,59441,100,100,3,19,0,74,58461,0
1,1804221,71,71,21,2,1,20,1803316,1
0,1506761,117,117,20,24,0,45,1505442,1
1,1143832,133,133,18,2,1,22,1142492,0
1,6733,24,24,36,2,1,64,6122,0
0,12244,28,28,39,17,0,4,11150,0
0,1420721,69,69,20,25,0,81,1419405,0
0,67849,99,99,3,19,0,49,66767,0
0,340851,8,8,4,0,0,50,340480,0
0,298468,79,79,15,17,0,12,296987,0
0,586,0,0,32,1,0,6,2,0
0,1398991,107,107,22,16,0,15,1398122,0
0,458510,16,16,4,0,0,30,457881,1
0,899374,77,77,17,3,0,55,898190,0
0,13267,22,22,35,0,0,4,11954,0
1,1459767,37,37,22,2,1,44,1458433,0
0,7956,32,32,29,22,0,41,6742,1
1,162444,139,139,48,27,1,31,161326,0
0,484137,81,81,15,17,0,12,482659,0
1,262696,60,60,13,2,1,62,261617,0
0,1683736,13,13,21,17,0,37,1682645,0
0,497535,155,155,12,0,0,23,496600,0
1,114367,137,137,48,2,1,32,112967,0
0,799780,140,140,14,0,0,40,799199,0
1,417432,103,103,12,2,1,54,415855,0
0,1370954,68,68,20,19,0,81,1369569,1
0,318880,147,147,5,17,0,14,317777,1
0,799094,55,55,14,1,0,39,798498,0
0,8841,17,17,27,19,0,24,7366,1
0,37052,129,129,47,26,0,79,35940,0
0,1361937,105,105,22,17,0,15,1361035,1
0,174865,131,131,9,12,0,24,173582,1
0,485,3,3,24,1,0,61,3,1
0,27971,85,85,45,6,0,4,26910,1
0,403184,98,98,1,23,0,68,402012,0
0,85134,89,89,13,14,0,48,83866,1
0,1951553,123,123,22,16,0,19,1950669,0
1,1386264,104,104,22,2,1,44,1384861,0
1,2074708,18,18,22,2,1,27,2073437,1
1,1071422,143,143,21,2,1,60,1070148,1
0,987463,87,87,21,0,0,83,986558,0
0,383794,23,23,22,19,0,15,382214,0
1,1365596,67,67,20,27,1,18,1364481,0
0,936561,78,78,17,0,0,66,935551,0
0,1026521,63,63,22,19,0,19,1025604,0
0,24760,144,144,49,17,0,17,23234,1
0,304330,146,146,5,19,0,46,303281,1
0,17944,130,130,47,17,0,16,16457,1
1,813285,54,54,17,2,1,41,812281,0
0,1672453,14,14,21,5,0,37,1671053,0
0,349644,9,9,4,23,0,30,348280,0
0,1547471,118,118,20,21,0,35,1546002,1
0,6048,42,42,41,11,0,4,4708,0
0,1065367,142,142,21,13,0,82,1064159,1
