Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,10,407549,142,142,0,15,406749
0,55,375897,27,27,0,20,375253
0,51,316903,135,135,0,4,315689
0,79,190939,254,254,0,5,189335
1,26,2173429,195,195,0,19,2172779
0,101,1188618,206,206,0,15,1187623
1,74,13960,17,17,1,28,13361
1,5,432941,216,216,1,15,432381
1,10,992655,224,224,0,15,991897
0,55,1745136,203,203,0,20,1744339
0,75,462427,183,183,0,16,461594
0,65,1049347,137,137,0,15,1048619
1,60,25566,239,239,0,81,24859
0,75,313057,151,151,0,16,312338
0,95,4472,229,229,0,77,3321
0,10,1057942,136,136,0,15,1056725
1,88,15410,240,240,1,43,14340
0,49,265338,260,260,0,5,264103
0,3,1047,2,2,0,21,259
1,82,1222996,114,114,0,20,1222181
0,49,1588977,128,128,0,18,1588012
1,73,12897,8,8,0,25,11857
1,10,997273,225,225,0,15,996476
0,50,1062126,210,210,0,17,1060936
1,91,363876,163,163,0,13,363610
1,7,1075329,5,5,0,15,1075195
0,51,261357,61,61,0,4,260583
1,90,33929,176,176,0,2,32910
1,34,1564778,76,76,0,20,1564014
1,10,724125,98,98,0,15,723133
0,79,231201,259,259,0,5,230431
0,9,445921,22,22,1,4,445157
1,104,5205,105,105,1,58,4201
0,97,13702,29,29,1,45,12743
1,29,227094,23,23,0,13,226831
1,55,2202990,67,67,0,20,2202343
0,84,77977,43,43,0,3,77144
1,34,1905082,71,71,0,20,1904309
0,62,2162466,68,68,0,20,2161639
1,10,537352,91,91,0,15,536177
1,0,11189,50,50,0,50,10047
0,79,603523,101,101,0,5,602549
1,44,1790,11,11,1,26,1116
1,67,884301,143,143,1,15,883339
0,103,1639752,129,129,0,18,1638709
0,98,153559,247,247,0,82,152606
1,0,26139,30,30,0,46,25351
0,15,1604402,198,198,0,19,1603254
1,99,750678,159,159,0,19,750031
0,7,277578,85,85,0,15,276769
1,13,1592913,77,77,1,20,1591840
1,37,365512,38,38,0,4,364310
0,16,25842,212,212,1,75,24370
1,87,1675,227,227,0,39,854
1,7,375903,37,37,0,4,374896
0,53,1153229,252,252,0,19,1151997
1,7,712890,95,95,0,15,712129
0,65,492438,215,215,0,15,491209
0,10,297062,82,82,0,15,295851
1,21,826530,16,16,0,19,825718
0,55,1474427,53,53,0,20,1473666
0,65,387281,14,14,0,15,386064
0,86,779639,99,99,1,15,778437
0,65,822069,220,220,0,15,821287
0,97,38006,211,211,0,75,37197
0,5,290434,83,83,1,15,289571
0,8,497406,36,36,1,4,496306
1,48,499594,262,262,0,5,498617
0,47,41345,81,81,1,32,40839
0,10,285745,84,84,0,15,284939
1,33,2521,117,117,1,62,1283
1,13,1131697,178,178,1,20,1130438
0,96,301271,153,153,0,16,300510
1,100,987733,121,121,0,20,987176
1,57,599280,217,217,0,15,598465
1,25,8024,103,103,0,56,6789
0,82,1218003,115,115,0,20,1217665
0,25,18090,104,104,0,57,17131
0,103,1221966,188,188,0,18,1220947
0,6,2640,180,180,1,37,1327
0,82,1247221,189,189,1,18,1246121
1,80,3769,3,3,0,22,3023
0,26,358168,109,109,0,19,357524
1,25,614,51,51,0,50,222
0,75,400728,186,186,0,16,399566
0,79,510558,263,263,0,5,509581
1,25,13082,120,120,0,64,12327
1,100,1241990,112,112,0,20,1241022
0,53,335,13,13,0,27,3
1,7,1022329,226,226,0,15,1021526
1,76,1227756,113,113,0,20,1227118
1,5,1152958,207,207,1,15,1151783
1,77,41773,173,173,1,72,40529
1,86,5309,231,231,0,79,4047
1,25,1860,168,168,0,70,1114
1,26,2187940,194,194,0,19,2187290
0,55,1679298,75,75,0,20,1678525
0,103,1648331,130,130,0,18,1647294
0,76,1694274,72,72,0,20,1693627
1,92,531335,182,182,0,1,530982
0,10,1070767,208,208,0,15,1069991
1,13,269718,154,154,1,20,269074
1,25,81801,42,42,0,49,80905
0,75,247509,149,149,0,16,246700
0,25,13948,33,33,0,47,13148
0,25,18040,116,116,0,62,16886
0,96,320234,152,152,0,16,319014
1,10,402910,141,141,0,15,402068
0,31,223492,258,258,1,5,222386
1,86,563168,92,92,1,15,561921
1,44,1677,79,79,0,53,712
1,10,946792,9,9,0,15,945539
1,56,2165485,196,196,0,19,2164835
1,82,643595,19,19,0,20,642765
1,43,477748,125,125,1,16,476525
0,78,738,4,4,0,23,1
0,93,571633,48,48,0,7,570836
1,25,37248,172,172,0,72,35989
0,7,251858,25,25,0,15,251211
1,54,55904,35,35,1,29,55386
0,57,589228,218,218,0,15,588062
0,13,663114,20,20,1,20,662260
0,25,28969,28,28,0,44,28568
0,99,914563,160,160,0,19,913814
0,51,195113,158,158,0,4,194031
0,22,432927,261,261,0,5,431740
0,22,217780,257,257,0,5,216641
0,4,1887968,133,133,1,19,1886823
0,75,1194158,245,245,0,16,1193721
1,20,9906,7,7,0,24,8728
0,96,457778,184,184,0,16,456996
0,62,1422032,56,56,0,20,1421220
1,52,265814,213,213,0,12,265029
1,14,749937,97,97,0,15,749176
0,59,12102,233,233,0,40,11231
0,49,2155792,197,197,0,19,2155145
0,75,266241,148,148,0,16,265438
0,61,526428,62,62,0,6,525421
1,5,667923,96,96,1,15,666610
0,41,29439,228,228,1,76,28678
0,58,1098330,244,244,0,16,1097515
0,51,204825,255,255,0,5,203728
1,94,17814,248,248,0,82,16873
0,75,1193619,243,243,0,16,1192936
1,17,9178,78,78,0,31,8375
1,66,7239,193,193,1,0,5971
0,25,13009,157,157,0,69,11804
1,35,13592,108,108,1,60,12324
0,70,3587,169,169,1,71,2544
0,10,837722,223,223,0,15,837087
1,55,983808,122,122,0,20,982858
0,0,1863,110,110,0,61,1015
1,62,2097143,200,200,0,20,2096334
0,40,1932905,69,69,0,20,1932552
0,10,878597,146,146,0,15,877761
0,69,1897997,132,132,0,19,1897239
1,5,827468,221,221,1,15,826311
1,36,489292,90,90,1,5,488510
0,64,2901,234,234,1,41,1762
1,62,35179,45,45,1,14,34406
1,103,1487286,190,190,0,18,1486264
1,90,652441,52,52,1,8,651695
1,2,15525,118,118,0,33,14710
0,44,12388,140,140,0,66,11468
0,51,184240,250,250,0,4,182630
0,95,12268,249,249,0,83,10958
0,100,1428734,55,55,0,20,1428093
0,25,13418,156,156,0,68,12669
0,83,210588,256,256,0,5,209491
0,0,10624,100,100,0,55,9845
0,106,5008,12,12,0,27,4142
0,102,37518,34,34,0,29,36670
0,33,556235,181,181,1,1,555144
0,45,255296,147,147,0,16,254511
0,39,395123,89,89,0,5,394149
1,72,1338,209,209,0,38,835
1,18,1034038,251,251,0,19,1032938
1,68,7162,237,237,0,42,6368
0,25,18784,106,106,0,59,18002
0,61,1805,167,167,0,35,1182
0,75,1148502,242,242,0,16,1147669
0,27,79682,175,175,0,14,78918
0,82,1974665,201,201,0,20,1973874
