Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,1169344,41,41,0,44,1158920
1,7614,0,2,0,60,1030
1,609988,156,156,0,10,605538
0,1211309,161,161,0,49,1200861
1,71128,81,81,0,45,60752
1,18759,150,150,1,107,8548
1,52109,56,56,0,5,41772
1,18044,38,38,0,30,13358
0,424181,138,138,0,10,413739
0,225503,222,222,0,8,215040
0,1026196,141,141,1,49,1015775
0,330111,108,108,0,15,322282
1,458221,51,51,0,10,447770
0,328819,65,65,0,30,318764
0,18045,172,172,0,110,7588
1,83617,100,100,0,27,73238
0,743366,13,13,1,28,733188
0,723117,129,129,1,33,714922
0,796435,42,42,1,32,786038
0,296067,109,109,1,33,288610
1,7780,9,9,0,63,2
0,818767,119,119,0,29,810066
0,573981,157,157,0,10,563530
1,390898,218,218,0,34,380639
1,5380,27,27,1,75,2
1,46065,189,189,0,38,35644
0,842551,211,211,0,35,832124
1,63253,173,173,0,111,52823
0,286931,190,190,0,51,283691
0,149649,114,114,0,23,143326
0,816094,67,67,0,33,805796
1,11492,33,33,0,78,5925
1,26884,61,61,0,16,16478
1,45907,205,205,0,50,38978
0,13390,159,159,0,70,2987
0,193120,182,182,0,23,183374
0,9732,191,191,0,116,1
1,1233807,176,176,1,46,1224493
1,62951,93,93,0,53,52593
1,970184,183,183,0,46,959784
1,138304,215,215,0,13,127910
1,13701,151,151,0,108,3220
0,328850,47,47,0,29,318795
1,5595,7,7,0,62,1
0,213628,99,99,0,52,203258
0,24168,111,111,1,98,13795
1,459416,62,62,0,34,449073
0,3034,91,91,0,95,2
1,252973,112,112,0,34,245186
1,127990,148,148,1,53,117557
1,347060,219,219,0,34,339083
1,60872,206,206,0,50,50520
1,141214,130,130,0,27,130814
0,789447,212,212,1,35,779023
0,475972,77,77,0,2,470489
1,409474,178,178,0,33,399029
1,47512,123,123,0,29,39092
0,2345983,164,164,0,50,2335691
0,33876,199,199,0,121,23431
0,2017022,5,5,0,48,2011656
0,745319,40,40,0,32,734937
0,891588,20,20,0,37,881293
0,1020605,200,200,1,48,1014285
1,25728,92,92,1,55,21774
0,13163,66,66,0,87,2601
1,31191,120,120,0,35,20812
0,7954,192,192,0,117,2
1,229560,213,213,0,28,219184
0,571102,15,15,0,39,563645
1,69531,217,217,0,13,59128
0,5243,69,69,0,88,2
0,9826,24,24,0,74,2831
1,12411,133,133,1,102,1858
0,6482,4,4,0,61,3
1,78813,196,196,0,51,72588
1,12312,195,195,0,51,7990
1,40663,197,197,0,120,30197
1,24830,101,101,0,27,14646
0,288082,208,208,0,50,277652
1,64484,127,127,0,30,55971
1,127475,170,170,0,54,117093
1,32850,185,185,0,9,28143
0,207695,53,53,0,15,204667
1,36235,216,216,0,13,25871
0,11147,34,34,0,79,4143
0,1351353,153,153,1,46,1340908
0,30892,74,74,0,22,20468
1,54812,6,6,0,32,50482
1,353296,96,96,0,51,348857
0,7476,1,0,0,59,127
1,21015,76,76,0,18,14486
0,5481,154,154,0,109,1
1,5231,28,28,0,66,1
1,78745,64,64,0,43,68291
0,574518,142,142,1,12,565420
1,27113,193,193,1,118,16665
0,647211,115,115,1,46,636820
1,802151,14,14,0,50,791817
0,65194,23,23,0,0,54806
1,6388,122,122,0,100,323
0,243214,167,167,0,33,232769
0,62219,39,39,0,82,51870
1,19188,35,35,0,80,11071
1,22103,169,169,0,33,14689
0,239506,160,160,0,15,231410
0,217558,3,3,1,25,208664
1,52443,44,44,1,48,42064
0,5929,149,149,0,69,3
1,35770,43,43,1,83,25298
0,5956,22,22,0,73,733
0,586972,46,46,0,8,576509
1,88568,198,198,0,120,78117
0,13525,107,107,1,97,3143
0,623676,90,90,0,12,613279
1,11537,174,174,0,112,1098
0,505288,12,12,0,4,494840
0,780586,126,126,0,36,770171
1,158064,214,214,0,13,147781
1,54831,125,125,0,51,44338
1,1392969,104,104,0,49,1382515
0,2345195,165,165,0,51,2334792
0,5893,37,37,0,81,1
0,1174010,187,187,0,43,1168695
0,595061,49,49,1,25,584655
1,89016,117,117,0,42,78604
1,214744,10,10,1,38,206012
0,3341,188,188,0,115,3
0,5467,73,73,0,91,2
1,225073,36,36,0,27,217409
1,6046,79,79,0,93,2
0,610602,140,140,0,26,600223
0,548110,152,152,0,18,541838
0,8611,116,116,0,68,3
1,940675,89,89,0,49,930293
0,566844,202,202,1,17,556376
1,39653,26,26,0,37,33702
1,19647,55,55,0,85,9304
1,1142692,88,88,0,48,1136952
1,17336,68,68,0,12,6891
1,6309,70,70,1,89,1
0,6144,63,63,0,86,3
0,796416,186,186,0,29,789632
0,252780,210,210,0,16,242332
0,6275,18,18,1,72,3
1,9243,25,25,1,65,3028
0,230403,209,209,0,10,222871
0,638425,171,171,0,18,628055
1,34341,16,16,0,32,26002
0,5690,78,78,1,92,3
