Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,7608,41,41,1,89,6745
0,326018,102,102,1,22,323649
0,476915,37,37,1,3,476025
1,346408,204,204,0,60,346178
0,216862,124,124,1,54,214952
1,80177,230,230,1,13,78453
1,8014,84,84,1,10,5234
1,557,91,91,1,105,3
1,74182,14,14,1,21,73355
1,346850,203,203,0,60,346512
0,921959,64,64,1,35,919047
0,1130987,146,146,0,41,1130442
0,2216,40,40,1,88,1884
1,56787,222,222,1,63,55507
1,45867,21,21,0,43,45670
0,929,174,174,1,128,3
1,9109,152,152,1,27,6119
1,35665,150,150,1,27,33647
0,223303,155,155,1,24,221369
1,30441,195,195,1,131,27628
0,1839347,130,130,1,52,1836461
1,71748,32,32,0,51,71398
0,122795,35,35,1,8,121053
0,1122061,144,144,1,41,1121249
1,216652,229,229,1,26,216302
1,53404,239,239,1,37,53066
1,20561,119,119,1,40,20007
1,215357,61,61,1,25,214062
0,543960,136,136,1,6,542011
1,23503,234,234,1,5,21764
1,57738,223,223,1,63,56893
0,857583,109,109,1,32,854629
0,615828,186,186,1,24,612868
0,3521,175,175,1,84,564
0,640889,122,122,1,14,638082
1,119855,181,181,1,7,118959
0,351059,63,63,1,57,348930
1,4441,69,69,1,50,1115
0,218,154,154,0,122,3
0,578507,187,187,1,24,577500
0,835,4,4,1,87,1
1,12423,126,126,1,25,10753
1,100170,26,26,1,13,98553
1,76293,27,27,1,58,74227
1,17384,123,123,1,114,15111
1,395,200,200,1,85,3
0,1444050,22,22,1,45,1442287
0,229154,238,238,1,7,227562
1,64517,121,121,1,58,64071
1,10942,199,199,1,30,10619
1,58454,113,113,1,44,55821
0,10805,106,106,1,111,10074
0,706956,36,36,1,27,704473
0,4265,65,65,0,99,3411
1,8105,58,58,1,96,5802
0,1034156,73,73,1,38,1031220
0,157631,184,184,0,49,157230
1,7838,214,214,1,134,7741
0,794,8,8,1,65,3
1,1231,13,13,0,72,899
0,51751,107,107,1,21,49106
0,2332647,198,198,1,53,2330257
1,114401,62,62,1,59,112584
1,41471,156,156,1,53,39177
0,1415811,19,19,0,45,1415230
1,6985,82,82,1,102,4031
1,46358,92,92,1,15,44298
0,1129891,145,145,1,41,1128836
0,535,6,6,1,64,1
0,11717,176,176,1,129,11061
0,1338938,193,193,1,45,1337487
1,34648,29,29,1,37,31775
1,56420,157,157,1,53,55923
1,42976,227,227,1,39,42014
0,2400,166,166,1,125,211
0,3058,138,138,1,119,647
1,33980,164,164,1,52,31590
0,358301,172,172,1,56,355485
0,202126,76,76,0,57,201683
1,83691,196,196,1,2,83233
1,33312,79,79,1,38,32212
1,393196,81,81,1,47,390821
0,368350,49,49,1,56,367493
1,66037,94,94,1,41,63011
0,877,16,16,1,75,2
0,1381,103,103,1,109,2
0,1153652,147,147,1,41,1152030
1,33975,34,34,1,26,32362
1,47107,231,231,1,13,46339
1,25397,151,151,1,27,23602
0,2035,128,128,1,117,1445
1,254233,180,180,1,35,251879
1,282,117,117,0,83,1
0,903359,160,160,1,52,902475
0,3364,170,170,1,127,1112
0,8634,59,59,1,97,6310
0,6051,110,110,1,82,3256
0,88109,218,218,1,24,87465
0,147,10,10,1,66,1
1,36817,149,149,1,27,35931
1,15156,24,24,1,77,14362
1,944659,161,161,1,52,941918
0,513917,236,236,1,5,513297
1,24472,188,188,1,14,23342
1,46075,232,232,1,13,44094
0,1050263,158,158,1,46,1049748
1,1991,178,178,1,130,321
1,7580,87,87,1,103,6150
0,317768,192,192,1,53,315381
0,581031,237,237,0,19,580762
0,783875,67,67,1,29,783721
0,929,17,17,1,73,492
0,6341,60,60,1,98,3546
1,28634,141,141,1,17,28311
0,392192,105,105,1,28,389835
1,2270,57,57,0,95,1968
0,629366,207,207,1,45,627348
0,609376,206,206,1,11,606950
1,2735,215,215,1,135,1362
1,4117,224,224,1,46,1346
0,6226,11,11,1,67,4295
0,481120,108,108,1,0,478592
0,215,5,5,1,116,3
1,2208,143,143,1,120,1
1,15743,205,205,1,31,15195
0,4959,100,100,1,108,2632
1,38673,90,90,1,104,38134
1,2184398,86,86,1,53,2181870
0,781276,167,167,1,30,779186
1,46181,183,183,1,14,45609
0,703894,114,114,1,22,701207
0,2029693,139,139,0,50,2028950
1,4564,44,44,1,91,2810
1,1582,12,12,1,69,692
0,3052,55,55,1,94,605
0,498493,235,235,1,5,497942
0,6017,220,220,1,137,3066
1,4965,125,125,1,115,2173
0,585603,189,189,1,12,583600
1,2706,88,88,1,81,1
1,89160,182,182,1,3,86623
0,475584,96,96,1,41,473026
1,101201,25,25,1,13,100433
1,6087,15,15,1,70,4936
0,1639600,197,197,1,52,1637255
1,1686,2,2,1,74,1
1,10351,177,177,1,130,7736
0,1399795,23,23,1,45,1397420
0,699100,71,71,1,23,696140
1,17833,30,30,0,45,17345
1,612,70,70,1,42,103
0,32383,201,201,1,132,29822
1,69602,83,83,1,4,68706
1,71222,127,127,1,25,69540
0,18217,118,118,1,113,15659
0,57820,33,33,1,24,56951
1,73875,210,210,1,17,71692
0,5666,169,169,1,126,3972
0,267665,225,225,1,52,267153
0,578251,163,163,1,16,576644
0,1121147,213,213,1,41,1120731
0,583,159,159,1,123,2
1,2783,38,38,1,79,909
1,67398,221,221,1,51,66466
0,453362,131,131,1,11,452610
0,11981,104,104,1,110,9216
0,915785,191,191,1,36,913926
0,772241,47,47,1,26,769332
0,228,18,18,1,73,1
1,2248,20,20,0,76,1520
1,74451,228,228,1,15,72187
1,3080,53,53,1,92,735
0,45115,202,202,1,133,42281
1,2190,98,98,1,107,1
0,922,9,9,1,66,412
0,521339,134,134,1,6,518895
0,612431,132,132,1,17,611934
0,750468,66,66,1,29,747616
0,24991,115,115,1,112,22313
1,1238,212,212,0,86,288
1,4197,148,148,1,121,3526
1,1066,0,0,0,68,947
0,1161359,93,93,1,52,1159086
1,63967,209,209,1,17,63425
0,8168,48,48,1,80,5343
0,1842055,208,208,1,48,1840004
1,40883,50,50,1,62,38052
1,9729,89,89,1,81,7402
0,17064,77,77,1,100,15238
0,521580,39,39,1,2,519241
0,814312,219,219,1,34,811961
1,34273,7,7,1,20,33176
1,957,168,168,1,45,103
0,504842,72,72,1,1,502038
1,45868,112,112,1,44,44981
0,856711,129,129,1,33,855554
0,112160,85,85,1,18,109194
0,752571,46,46,1,26,750136
0,1411,1,1,0,71,1097
0,630925,171,171,1,13,630173
0,795045,190,190,0,28,794215
0,587282,68,68,0,19,586959
0,617,54,54,1,93,1
0,478396,135,135,1,6,477242
0,822273,211,211,1,27,821002
1,28437,217,217,1,53,25624
0,4194,216,216,1,136,3232
1,16367,31,31,1,45,13620
1,13228,194,194,1,131,10472
1,1874,56,56,1,95,3
0,640440,116,116,1,20,637990
1,963,75,75,1,19,103
0,184333,74,74,1,55,183608
0,382722,101,101,1,61,380155
0,9773,226,226,1,138,7086
1,10829,80,80,1,61,8487
0,281858,153,153,1,53,279111
1,23155,185,185,1,22,22973
0,663276,133,133,1,17,662509
1,563,43,43,1,90,3
0,8610,78,78,1,101,7165
0,250640,173,173,1,9,247890
0,1020701,162,162,1,52,1018377
0,23344,165,165,1,124,21104
1,57748,51,51,1,62,55331
1,7904,97,97,1,106,5580
0,2011553,3,3,0,50,2010699
1,26773,111,111,1,44,26201
0,2033316,140,140,1,50,2030554
0,821170,99,99,1,30,818471
0,805101,142,142,1,27,802591
0,16756,28,28,1,78,15296
1,88412,95,95,1,41,86619
0,7310,233,233,1,139,4494
0,586872,179,179,0,8,586129
1,360854,45,45,1,61,358083
1,182518,42,42,1,25,180932
1,207218,120,120,1,35,204852
0,26957,137,137,1,118,26184
0,870832,52,52,0,32,869711
