Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1474,51,50,41,9,1,10,24,0
1,107750,140,139,11,9,1,60,106153,0
0,4728447,71,70,15,8,0,25,4728247,1
0,673514,117,116,14,7,0,12,671973,1
1,192280,162,161,12,9,1,14,190928,0
1,2991723,156,155,12,9,1,44,2990299,1
0,98113,62,61,15,11,0,25,96665,1
0,234927,106,105,14,7,0,4,233464,1
0,3074,32,32,31,7,0,2,1527,1
1,117932,3,3,17,9,1,51,116413,1
1,194108,16,16,19,9,1,53,192547,1
1,38437,137,136,11,9,1,49,36916,0
0,1673892,129,128,8,0,0,46,1672390,1
1,56811,1,1,17,9,1,60,55260,1
1,34085,100,99,14,11,1,23,32568,0
1,13747,45,44,36,10,1,1,12274,0
1,4722977,92,91,16,9,1,47,4721453,1
1,55488,42,41,34,9,1,0,53963,1
1,6514,24,24,25,9,1,18,4976,1
1,1176353,119,118,5,9,1,22,1175359,1
1,397,21,21,22,9,1,8,120,0
1,268059,142,141,12,9,1,44,266604,0
0,1338858,64,63,15,8,0,59,1337821,0
0,140801,161,160,12,7,0,39,139203,0
0,3300734,68,67,15,7,0,25,3299619,0
1,147206,102,101,14,9,1,1,145692,1
0,4811681,75,74,15,7,0,25,4810350,1
1,1190683,121,120,5,9,1,56,1189121,1
1,1134,49,48,40,9,1,58,394,1
1,5469370,56,55,15,9,1,16,5468462,0
0,4592637,88,87,16,7,0,54,4591225,0
1,189308,104,103,14,9,1,23,187760,0
1,147872,14,14,19,9,1,53,146312,1
0,4790735,74,73,15,8,0,59,4789134,1
1,43444,101,100,14,12,1,23,41978,0
1,4055896,84,83,13,9,1,11,4054376,0
0,26455,58,57,15,11,0,59,24893,1
1,87159,61,60,15,11,1,16,85747,1
1,2653794,145,144,12,9,1,14,2652725,1
1,3085393,157,156,12,9,1,44,3083824,1
0,96632,122,121,6,7,0,35,95058,0
1,1583995,123,122,7,9,1,36,1582390,1
0,4918348,78,77,15,8,0,59,4916846,1
1,4097911,87,86,13,9,1,21,4096637,0
1,4785610,93,92,16,6,1,40,4785032,1
1,1554901,133,132,9,9,1,6,1553302,1
1,926246,63,62,15,13,1,16,924816,1
0,4109268,69,68,15,7,0,25,4108888,0
1,2900714,153,152,12,9,1,44,2899262,1
0,28198,38,37,33,7,0,39,26588,0
0,593688,114,113,14,7,0,4,592108,1
1,135030,13,13,19,9,1,53,133507,0
1,13271,47,46,38,9,1,19,11830,0
0,2161844,66,65,15,7,0,25,2161053,0
0,138222,160,159,12,8,0,39,136702,0
1,32771,50,49,40,9,1,58,31464,0
1,120397,12,12,19,9,1,53,118489,0
0,1783574,130,129,8,0,0,3,1782018,0
0,47692,59,58,15,11,0,41,46340,1
1,12451,46,45,37,9,1,20,11360,1
0,1629760,127,126,8,7,0,3,1628255,1
0,1799779,65,64,15,0,0,59,1798304,1
1,2790703,148,147,12,9,1,14,2789186,1
1,4871690,96,95,16,1,1,40,4870365,1
1,167770,15,15,19,9,1,53,166233,1
1,4866989,95,94,16,1,1,40,4866255,1
0,126989,141,140,11,8,0,13,125412,0
0,31216,39,38,34,8,0,55,29741,1
1,3088628,158,157,12,9,1,14,3087307,1
1,18623,36,162,32,9,1,50,18300,1
1,10546,20,20,21,9,1,20,9201,1
0,40024,6,6,0,7,0,37,38597,1
1,5571,33,33,32,9,1,50,4160,1
1,121323,4,4,17,9,1,51,119770,1
1,24394,7,7,1,9,1,32,23117,0
1,364495,110,109,14,9,1,23,363050,1
0,10563,52,51,42,7,0,57,9100,1
0,4877715,77,76,15,8,0,25,4876315,1
1,4696555,91,90,16,4,1,40,4695357,0
0,76678,60,59,15,11,0,25,74915,1
0,4782124,73,72,15,8,0,59,4781585,1
1,2842847,152,151,12,9,1,14,2842087,1
1,335414,109,108,14,9,1,23,333937,1
1,11536,9,9,18,9,1,43,10562,0
1,208752,105,104,14,9,1,1,207286,1
1,56392,10,10,18,9,1,43,54844,0
0,682801,118,117,14,8,0,4,681272,1
0,616961,115,114,14,7,0,12,615417,1
1,106612,2,2,17,9,1,51,106202,1
1,4907622,98,97,16,3,1,47,4906250,1
1,1565816,125,124,8,9,1,7,1564291,1
0,4776857,72,71,15,8,0,59,4776225,1
1,4912,19,19,21,9,1,20,4080,1
0,4967327,79,78,15,7,0,25,4966602,1
1,34744,159,158,12,9,1,44,33178,0
1,21634,30,30,29,10,1,25,20639,0
0,4874210,76,75,15,7,0,25,4872705,1
1,4685459,90,89,16,1,1,40,4683882,1
0,1579460,126,125,8,8,0,46,1577859,1
1,2794118,149,148,12,9,1,44,2793789,0
0,4803585,94,93,16,8,0,54,4802227,1
1,660088,116,115,14,9,1,23,658460,1
1,13354,34,34,32,9,1,30,11827,1
1,13439,25,25,26,9,1,45,11985,0
1,41821,41,40,34,9,1,0,40324,1
0,5282553,81,80,15,7,0,25,5281459,0
1,1518492,124,123,8,9,1,7,1516971,1
0,2882434,67,66,15,8,0,25,2880989,0
0,1789201,131,130,8,0,0,3,1788008,0
1,2963001,154,153,12,9,1,14,2961642,0
