Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
1,435022,85,85,14,434327
0,905931,42,42,8,905182
0,570089,26,26,8,569511
0,435780,38,38,9,435106
1,1654501,40,40,12,1653854
0,9043,54,54,18,8369
1,605502,67,67,5,604933
1,1565614,1,1,12,1565111
0,37689,21,21,24,37021
1,4852,23,23,25,4175
0,509037,87,87,2,508240
0,1091842,80,80,9,1091081
0,624606,14,14,13,623983
0,1204819,52,52,14,1204091
0,1064488,66,66,8,1063814
0,1153891,10,10,11,1153361
0,226568,58,58,1,225903
0,1728460,2,2,12,1728161
1,2105453,22,22,13,2104848
1,179239,36,36,10,178622
0,1142124,78,78,9,1141357
0,430900,25,25,6,430274
1,23414,74,74,36,22770
0,1104782,82,82,9,1104102
1,743660,15,15,14,742947
0,487905,30,30,1,487330
1,1560119,60,60,12,1559271
0,674303,16,16,14,673725
0,40393,24,24,16,39713
1,947466,43,43,8,947014
1,458055,68,68,8,457426
0,17347,19,19,23,16595
0,16318,34,34,28,15653
0,829209,72,72,8,828511
1,388745,86,86,2,388080
0,28212,63,63,34,27637
1,1690792,3,3,12,1690151
1,547641,32,32,3,547144
0,10697,76,76,19,10023
0,738855,27,27,8,738181
1,590414,56,56,0,589821
0,136301,83,83,7,135930
0,1192387,81,81,9,1191707
1,17274,12,12,21,16765
1,430064,8,8,1,429414
1,18257,75,75,37,17595
0,7133,45,45,30,6462
0,17466,29,29,26,16792
0,1732531,55,55,12,1731896
1,1702393,4,4,12,1701380
0,7796,50,50,32,7137
1,1607447,39,39,12,1606965
1,1832,11,11,21,1149
0,1682099,7,7,13,1681482
0,11162,77,77,38,10509
1,20358,62,62,34,19783
1,1507852,59,59,12,1507205
1,840636,5,5,13,840031
1,1661430,18,18,12,1660327
0,9429,44,44,29,8836
0,696859,33,33,13,696377
0,755,53,53,18,93
1,478865,37,37,9,478194
1,4297,73,73,35,3704
0,974933,46,46,13,974307
0,2154696,61,61,13,2154196
1,5579,84,84,39,4953
0,1172053,79,79,9,1171373
1,1154177,65,65,8,1153497
0,25270,48,48,31,24593
0,468982,17,17,0,468374
0,1728056,35,35,12,1727928
0,490761,70,70,8,490084
1,524975,57,57,0,524382
0,587573,71,71,8,586902
0,4340,20,20,23,3579
1,5600,51,51,33,4947
1,2529,28,28,17,1873
0,3403,13,13,22,2810
0,71817,9,9,20,71311
0,1266,0,0,40,595
0,475933,69,69,8,475256
0,989314,47,47,13,988862
1,7594,6,6,15,6935
1,472195,49,49,4,471323
0,4574,31,31,27,3870
0,1721960,41,41,12,1721430
1,68829,64,64,34,68515
