Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1474,50,49,39,9,1,9,24,0
1,34744,158,157,11,9,1,42,33178,0
0,4728447,71,70,14,8,0,25,4728247,1
0,673514,116,115,13,7,0,12,671973,1
1,192280,162,161,11,9,1,14,190928,0
1,2991723,155,154,11,9,1,42,2990299,1
0,98113,62,61,14,11,0,25,96665,1
0,234927,105,104,13,7,0,4,233464,1
0,28198,37,36,31,7,0,37,26588,0
1,117932,4,4,16,9,1,49,116413,1
1,194108,16,16,18,9,1,51,192547,1
1,45373,137,136,10,9,1,58,43850,0
0,1673892,128,127,7,0,0,44,1672390,1
1,56811,2,2,16,9,1,58,55260,1
1,34085,99,98,13,11,1,23,32568,0
1,13747,44,43,34,10,1,1,12274,0
1,4722977,91,90,15,9,1,45,4721453,1
1,55488,41,40,32,9,1,0,53963,1
1,6514,23,23,23,9,1,18,4976,1
1,1182456,119,118,4,9,1,22,1180816,1
1,397,21,21,21,9,1,8,120,0
1,268059,141,140,11,9,1,42,266604,0
0,1338858,64,63,14,8,0,57,1337821,0
0,140801,161,160,11,7,0,37,139203,0
0,3300734,68,67,14,7,0,25,3299619,0
1,147206,101,100,13,9,1,1,145692,1
0,4874210,75,74,14,7,0,25,4872705,1
1,54617,121,120,5,9,1,11,53031,0
1,1134,48,47,38,9,1,56,394,1
1,5469370,56,55,14,9,1,16,5468462,0
0,4658068,88,87,15,7,0,52,4656557,0
1,189308,103,102,13,9,1,23,187760,0
1,147872,14,14,18,9,1,51,146312,1
0,4811681,74,73,14,7,0,25,4810350,1
1,43444,100,99,13,12,1,23,41978,0
1,4055896,83,82,12,9,1,10,4054376,0
0,26455,58,57,14,11,0,57,24893,1
1,87159,61,60,14,11,1,16,85747,1
1,2653794,144,143,11,9,1,14,2652725,1
1,3085393,156,155,11,9,1,42,3083824,1
0,96632,122,121,5,7,0,33,95058,0
1,1587516,123,122,6,9,1,34,1585925,1
0,4967327,78,77,14,7,0,25,4966602,1
1,4097911,86,85,12,9,1,21,4096637,0
1,4785610,92,91,15,6,1,38,4785032,1
1,1565211,133,132,8,9,1,6,1563723,1
1,926246,63,62,14,13,1,16,924816,1
0,4109268,69,68,14,7,0,25,4108888,0
1,2900714,152,151,11,9,1,42,2899262,1
0,31216,38,37,32,8,0,53,29741,1
0,593688,113,112,13,7,0,4,592108,1
1,135030,13,13,18,9,1,51,133507,0
1,13271,46,45,36,9,1,19,11830,0
0,2161844,66,65,14,7,0,25,2161053,0
0,138222,160,159,11,8,0,37,136702,0
1,32771,49,48,38,9,1,56,31464,0
1,120397,12,12,18,9,1,51,118489,0
0,1783574,129,128,7,0,0,3,1782018,0
0,47692,59,58,14,11,0,39,46340,1
1,12451,45,44,35,9,1,20,11360,1
0,1629760,126,125,7,7,0,3,1628255,1
0,1799779,65,64,14,0,0,57,1798304,1
