Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1474,51,50,41,9,1,10,24,0
1,107750,139,138,11,9,1,59,106153,0
0,4728447,70,69,15,8,0,24,4728247,1
0,673514,116,115,14,7,0,11,671973,1
1,113223,159,158,12,9,1,13,111766,0
1,2963001,153,152,12,9,1,13,2961642,0
0,98113,61,60,15,11,0,24,96665,1
0,234927,104,103,14,7,0,4,233464,1
0,3074,32,32,31,7,0,2,1527,1
1,106612,3,3,17,9,1,50,106202,1
1,194108,16,16,19,9,1,52,192547,1
1,38437,136,135,11,9,1,48,36916,0
0,1673892,128,127,8,0,0,45,1672390,1
1,22525,1,1,17,9,1,59,20999,1
1,4097911,86,85,13,9,1,20,4096637,0
1,13747,45,44,36,10,1,1,12274,0
1,4696555,91,90,16,4,1,39,4695357,0
1,55488,42,41,34,9,1,0,53963,1
1,6514,24,24,25,9,1,17,4976,1
1,1176353,118,117,5,9,1,21,1175359,1
1,397,21,21,22,9,1,8,120,0
1,222454,162,161,12,9,1,43,222215,0
0,1338858,62,61,15,8,0,58,1337821,0
0,140801,161,160,12,7,0,38,139203,0
0,3300734,67,66,15,7,0,24,3299619,0
1,43444,100,99,14,13,1,22,41978,0
0,4811681,74,73,15,7,0,24,4810350,1
1,1190683,120,119,5,9,1,55,1189121,1
1,1134,49,48,40,9,1,57,394,1
1,2751752,65,64,15,7,1,27,2750562,0
0,4592637,87,86,16,7,0,53,4591225,0
1,158094,102,101,14,9,1,22,156706,1
1,147872,14,14,19,9,1,52,146312,1
0,4790735,73,72,15,8,0,58,4789134,1
1,34085,99,98,14,11,1,22,32568,0
1,3088628,157,156,12,9,1,13,3087307,1
0,26455,57,56,15,11,0,58,24893,1
1,10376,56,55,15,6,1,27,9589,1
1,2557165,142,141,12,9,1,43,2556965,1
1,2991723,155,154,12,9,1,43,2990299,1
0,96632,121,120,6,7,0,34,95058,0
1,1583995,122,121,7,9,1,35,1582390,1
0,4918348,77,76,15,8,0,58,4916846,1
1,4070879,85,84,13,9,1,24,4070196,0
1,4769841,92,91,16,3,1,39,4768519,0
1,1554901,132,131,9,9,1,6,1553302,1
1,87159,60,59,15,11,1,15,85747,1
0,4109268,68,67,15,7,0,24,4108888,0
1,2842847,151,150,12,9,1,13,2842087,1
0,28198,38,37,33,7,0,38,26588,0
0,593688,113,112,14,7,0,4,592108,1
1,135030,13,13,19,9,1,52,133507,0
1,13271,47,46,38,9,1,18,11830,0
0,2161844,64,63,15,7,0,24,2161053,0
0,138222,160,159,12,8,0,38,136702,0
1,32771,50,49,40,9,1,57,31464,0
1,120397,12,12,19,9,1,52,118489,0
