Gene_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,25,38827,224,25,35924,3,1
1,0,185,4679,182,134,1893,3,0
0,0,140,9869,53,58,8244,0,1
1,0,69,825842,310,40,823350,3,0
0,0,141,502030,128,0,499289,0,0
1,0,97,79193,77,3,76656,3,1
1,0,144,2449,0,152,11,3,0
0,0,143,7010,291,148,4233,0,1
0,0,167,66235,246,41,64469,0,1
1,0,27,21822,317,13,18838,3,1
0,0,76,104384,71,65,101526,0,1
0,0,5,77950,17,24,74987,0,1
1,0,4,510295,140,27,507728,3,1
1,0,69,847503,311,40,845194,3,0
1,0,92,6673,231,139,3815,3,0
1,0,10,181574,314,30,180063,3,1
1,0,37,625252,227,28,622190,3,0
1,0,121,981807,277,52,979324,3,1
1,0,139,16715,185,46,14439,3,1
1,0,156,2940,211,136,73,3,1
0,0,20,8383,218,137,7271,0,0
1,0,134,2351295,263,58,2348338,3,0
1,0,175,13435,271,144,10745,3,0
0,0,164,86361,187,15,83876,0,1
1,0,4,225780,78,27,223900,3,0
1,0,4,578138,98,27,576360,3,0
1,0,28,504140,267,2,500865,3,0
1,0,27,636457,212,13,635763,3,0
1,0,1,847195,162,35,845501,3,0
1,0,169,492362,27,1,490971,3,0
1,0,46,236472,222,3,233641,3,0
0,0,140,779582,202,31,776703,0,0
1,0,109,7188,123,121,4384,3,0
1,0,110,8831,109,119,6234,3,1
0,0,51,650247,100,27,648161,0,0
1,0,107,984,304,151,31,3,0
1,0,149,976,20,74,2,3,1
0,0,135,24358,272,144,21590,0,0
0,0,68,2274,50,78,1,0,0
1,0,124,628999,142,12,626735,3,0
1,0,12,13990,114,16,11384,3,1
0,0,157,14595,65,67,12280,0,1
1,0,170,11256,252,94,8914,3,1
1,0,134,2327020,262,58,2324351,3,0
1,0,61,5339,51,103,2904,3,1
0,0,24,65081,83,25,62292,0,1
1,0,15,9052,245,142,7148,3,1
0,2,181,805554,313,40,804478,0,0
0,0,94,782600,203,31,781197,0,0
0,0,34,955,154,90,2,1,1
1,0,134,1573917,165,58,1571158,3,0
0,0,9,1995400,173,56,1993454,0,0
0,0,25,794113,241,33,793295,1,0
1,0,14,644271,96,58,641242,3,1
0,0,167,56433,247,41,54619,1,1
1,0,91,654938,251,27,652152,3,0
1,0,179,1032018,49,44,1029001,3,0
0,0,40,1140600,195,46,1138639,0,0
1,0,176,411506,57,33,408474,3,0
1,0,125,924785,235,57,922281,3,1
0,0,26,4734,122,87,2191,0,0
0,0,108,8397,15,9,5578,0,1
0,0,7,764760,201,31,762982,0,0
1,0,89,3210,22,73,616,3,1
1,0,104,587182,273,37,584897,3,1
0,0,174,4421,31,76,3684,0,1
0,0,30,9939,56,104,8926,0,0
0,0,13,606712,236,12,603989,0,0
1,0,72,21218,240,26,18921,3,1
0,0,138,2501,82,38,102,1,1
1,0,161,7457,213,41,4911,3,1
0,0,54,490870,45,1,489493,0,0
1,0,38,4073,5,69,1218,3,0
1,0,143,110366,248,64,107442,3,1
1,0,74,22430,44,34,19944,3,1
1,0,163,15107,261,2,12237,3,1
1,0,168,41742,307,44,39727,3,1
0,0,129,663320,257,24,660522,0,0
0,0,25,58458,113,16,55432,0,1
1,0,18,486237,24,47,483109,3,0
1,0,14,353345,137,58,350952,3,0
1,0,140,16574,221,138,14088,3,1
1,0,71,2693,280,98,396,3,0
1,0,14,44770,25,50,42977,3,1
0,0,2,3597,233,140,1834,0,0
1,0,102,5794,134,123,3014,3,0
0,1,0,655728,167,18,653962,0,0
0,0,135,33262,308,44,31331,0,1
0,0,55,791878,120,37,790079,0,0
1,0,176,760085,242,33,757590,3,0
0,0,127,1852491,172,54,1847980,0,0
1,0,179,130785,103,20,128263,3,0
1,0,77,122539,189,14,120197,3,1
0,0,119,594892,225,28,591674,0,0
0,0,53,571445,197,21,567813,0,0
1,0,113,690966,178,32,687994,3,0
1,0,78,18751,108,84,16475,3,1
1,0,75,582823,21,21,581135,3,0
0,0,180,67475,296,56,65139,0,1
1,0,77,25743,229,14,24748,3,1
1,0,107,71114,194,4,69705,3,1
0,0,120,103187,323,9,101616,1,0
0,0,61,702008,179,32,700188,0,0
1,0,16,585311,226,28,582390,3,0
1,0,152,2325261,42,59,2323705,3,0
1,0,131,491613,132,41,488857,3,1
1,0,19,12191,230,14,9909,3,1
1,0,133,7825,90,115,5795,3,0
1,0,122,59561,139,50,57681,3,1
0,0,106,4036,63,67,1289,0,1
1,0,67,3158,253,95,408,3,1
0,0,150,1434052,153,52,1432280,0,0
1,0,82,29749,160,29,26915,3,1
1,0,176,430057,184,33,427406,3,0
1,0,70,10910,88,114,8910,3,0
0,0,163,30562,278,18,28739,1,1
0,0,2,4524,239,141,2574,0,0
0,0,59,4216,131,47,1460,0,1
0,0,86,19758,183,135,17038,0,0
1,0,2,10460,76,112,8049,3,1
0,0,165,36437,101,117,35517,0,1
1,0,128,2892,67,108,97,3,0
1,0,137,912033,72,41,909235,3,0
1,0,173,15683,255,97,12888,3,0
1,0,108,30617,148,66,28410,3,1
0,0,42,75311,149,65,73533,0,1
1,0,132,14564,60,81,12819,3,1
1,0,44,706189,14,29,704129,3,0
0,0,151,120500,322,9,118605,0,0
1,0,163,26060,258,2,23298,3,1
0,0,131,201879,299,61,200095,0,0
0,0,157,8589,29,42,6541,0,1
0,0,66,1385359,152,52,1383590,0,0
1,0,8,688837,87,26,685982,3,0
0,0,167,54516,92,41,53479,0,1
1,0,49,1443,19,71,1,3,1
1,0,109,201254,157,60,198909,3,0
1,0,85,670094,37,59,667467,3,0
1,0,91,628364,99,27,625434,3,0
0,0,162,3779,181,133,1517,0,0
0,0,16,61849,46,65,60071,0,1
1,0,52,4799,270,144,2103,3,0
1,0,107,7313,234,140,4734,3,0
0,0,153,19476,158,128,17815,0,1
1,0,177,7957,141,126,5381,3,0
1,0,22,829858,118,37,827087,3,0
1,0,14,2071578,163,58,2068987,3,0
1,0,100,411543,243,31,408877,3,0
1,0,1,848494,161,35,847454,3,0
1,0,171,8756,144,45,5919,3,1
0,0,17,169188,306,44,166855,0,1
1,0,178,16396,294,149,13598,3,0
1,0,81,492103,127,0,489575,3,0
1,0,11,14953,302,53,12005,3,1
0,0,39,427483,287,46,425420,0,0
1,0,91,570499,250,27,567725,3,0
1,0,182,3857,102,118,1095,3,1
1,0,88,68621,190,57,67503,3,1
1,0,107,245943,61,4,244298,3,0
1,0,37,556405,238,28,554000,3,1
0,0,64,9141,219,137,8410,0,0
