Strand_Orientation,Gene_Description,Chromosome_Id,Genomic_Start_Position,Encoded_Protein,Gene_Db_Id,Gene_Classification,Genomic_End_Position
0,0,31,299487,2,242,0,301826
1,0,4,29866,1,96,1,32772
1,0,5,371611,2,29,0,373899
1,0,23,719244,2,74,0,721934
0,0,20,425755,3,86,0,428427
1,0,32,1514173,2,43,0,1516533
0,0,15,462814,2,161,0,465591
1,0,58,51578,2,32,0,54199
1,0,23,985546,2,207,0,988200
1,0,31,1060310,2,234,0,1062895
1,0,19,197364,1,36,1,199898
0,0,21,402206,2,118,0,404584
0,0,23,470631,3,202,0,473501
0,0,19,243767,2,85,0,246580
0,0,44,30969,2,27,0,33755
0,0,6,353552,2,244,0,355891
1,0,32,990858,2,44,0,993191
1,0,23,1147775,1,192,1,1150558
0,0,24,1149583,2,222,0,1152306
0,0,32,1158613,2,166,0,1161129
1,0,85,30248,1,216,1,32977
1,0,55,30843,2,26,0,33431
0,0,12,182293,2,6,0,184674
1,0,32,1755496,2,188,0,1757922
0,0,1,550610,3,173,0,553480
0,0,56,13502,2,30,0,16153
1,0,6,290183,2,245,0,292921
0,0,5,253732,2,178,0,256062
0,0,61,22811,2,50,0,25495
1,0,78,6085,2,195,0,8691
1,0,11,177890,2,213,0,180436
1,0,82,12538,2,212,0,15222
0,0,23,864531,2,115,0,867065
1,0,31,1963551,2,102,0,1966199
0,0,15,544250,2,142,0,546874
0,0,31,1022305,2,233,0,1024944
0,0,7,516413,2,251,0,519004
0,0,32,1173581,2,165,0,1176004
1,0,19,79808,3,137,0,82609
1,0,24,445458,2,176,0,447956
0,0,31,733043,2,128,0,735391
0,0,24,1099539,2,226,0,1102343
0,0,32,1311887,2,88,0,1314205
1,0,23,1031508,2,209,0,1034195
1,0,14,201761,2,62,0,204433
1,0,31,1797939,2,107,0,1800605
1,0,4,122370,2,79,0,125132
0,0,53,14982,1,22,1,17633
0,0,69,1423,2,121,0,4209
0,0,5,185287,2,232,0,187941
0,0,26,1063010,2,198,0,1065877
0,0,16,422410,2,135,0,425184
0,0,15,510834,3,257,0,513629
1,0,32,566338,2,172,0,568671
0,0,24,1120611,1,221,1,1123469
0,0,15,429818,1,158,1,432436
1,0,17,215884,2,55,0,218715
1,0,3,84020,1,152,1,86749
0,0,19,393418,1,69,1,396102
0,0,2,104540,1,254,1,107074
0,0,31,620053,2,41,0,622377
0,0,15,387120,1,163,1,389747
0,0,17,419294,2,200,0,422008
