Gene_Subclass,Gene_Type,Genomic_Start_Position,Ortholog_Id,Chromosome_Id,Strand_Orientation,Gene_Db_Id,Gene_Function,Genomic_End_Position
1,1,1656996,1,5,1,65,1,1657997
1,1,57471,1,5,0,61,1,58538
1,1,1601461,26,6,1,69,1,1602456
1,1,2777256,18,9,1,77,9,2778067
1,1,4928031,35,12,0,44,4,4928890
1,1,12861,21,3,0,55,1,13874
1,1,2700800,18,9,1,75,9,2701234
1,1,11651,9,17,1,12,9,12370
1,1,36634,10,18,0,13,1,37606
1,1,41643,19,1,1,5,1,42462
1,1,39787,24,8,0,71,1,40888
1,1,315103,34,10,0,32,7,316194
1,1,4680221,35,12,1,39,6,4680665
1,1,1524124,23,6,1,67,1,1525212
1,1,110240,12,9,0,86,1,110828
1,1,122167,23,0,1,0,10,123255
1,1,161114,34,10,0,45,3,161602
1,1,487527,17,10,1,52,1,488570
1,1,91237,18,9,0,85,1,91953
1,1,105019,24,8,0,73,1,106006
1,1,42899,21,3,0,56,1,43863
1,1,1,32,30,1,26,10,504
1,1,101223,24,8,0,72,1,102323
1,1,4624609,35,12,0,38,5,4624842
1,1,10372,19,1,1,3,10,11481
1,1,275810,18,9,0,74,9,276140
1,1,4616627,35,12,1,37,5,4617650
1,1,4885825,29,12,1,41,7,4886914
1,1,1457223,26,6,1,66,1,1458246
1,1,98736,21,3,0,58,1,99841
1,1,27603,20,16,0,11,1,28694
1,1,10914,28,21,0,16,9,11216
1,1,1626329,4,5,1,64,1,1627435
1,1,26928,8,1,1,4,0,27963
1,1,34899,24,27,1,23,10,35768
1,1,2828057,12,9,1,79,9,2828316
1,1,1058269,14,2,1,36,1,1059325
1,1,42775,31,13,1,2,1,43876
1,1,1518837,1,5,1,63,1,1519931
0,0,3880631,2,11,0,35,2,3881350
1,1,51868,21,3,0,57,1,52860
1,1,54090,18,9,0,84,1,54319
1,1,168184,30,15,1,8,1,169178
1,1,146132,23,0,1,1,1,147163
1,1,7658,22,31,0,27,1,8695
1,1,19761,0,23,0,18,1,20072
1,1,8812,4,19,0,14,9,9372
1,1,279292,34,10,0,46,1,280404
1,1,2893272,12,9,1,80,9,2894078
1,1,3660,3,25,1,20,1,4461
1,1,2768302,12,9,1,76,9,2768972
1,1,38872,6,15,0,7,1,39682
1,1,439669,34,10,1,51,1,440767
1,1,19786,13,33,1,29,1,20661
1,1,25214,5,26,0,22,1,26009
1,1,135143,18,9,0,87,8,136147
1,1,364669,17,10,1,48,1,365765
1,1,2792413,12,9,0,78,9,2793037
1,1,8451,25,22,1,17,1,9545
1,1,345770,17,10,0,47,1,346788
1,1,4916496,35,12,1,43,4,4917356
1,1,6656,6,7,0,70,1,7466
1,1,1549,0,29,1,25,1,2619
1,1,383880,17,10,1,49,5,384305
1,1,511387,17,10,1,53,1,512368
1,1,4451,16,34,0,30,1,5116
1,1,26720,18,9,0,83,1,27304
1,1,1551602,23,6,1,68,1,1552224
1,1,23647,32,24,1,19,1,24585
0,0,48272,33,11,1,33,2,48649
1,1,3039010,18,9,0,82,9,3039694
1,1,45070,4,5,0,60,1,46062
0,0,1336549,2,11,0,34,2,1336926
1,1,1479247,1,5,1,62,1,1480230
1,1,194282,30,15,1,10,9,194569
1,1,17621,5,26,0,21,1,17950
1,1,4901729,35,12,1,42,4,4902805
1,1,172157,30,15,1,9,1,173247
1,1,60688,15,14,0,6,1,61655
1,1,855,33,35,1,31,1,1748
1,1,1498235,27,4,1,59,1,1499119
1,1,388935,17,10,1,50,1,389934
1,1,4822273,35,12,1,40,4,4822708
1,1,10360,11,32,0,28,1,11287
1,1,1251,7,3,0,54,1,2402
1,1,6937,35,20,1,15,9,8016
1,1,2945082,12,9,1,81,9,2945516
1,1,53434,17,28,0,24,1,54340
