Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,1174010,188,188,43,1168695
0,7476,1,0,60,127
1,609988,155,155,10,605538
1,1168419,160,160,50,1158055
0,1169344,40,40,44,1158920
1,18759,149,149,106,8548
1,52109,58,58,5,41772
1,18044,36,36,30,13358
0,424181,138,138,10,413739
0,225503,222,222,8,215040
1,940675,88,88,50,930293
0,330111,107,107,15,322282
1,458221,52,52,10,447770
0,328819,66,66,30,318764
0,18045,173,173,109,7588
1,83617,100,100,27,73238
0,743366,12,12,28,733188
0,723117,129,129,33,714922
0,796435,42,42,32,786038
0,296067,108,108,33,288610
1,5595,7,7,63,1
0,818767,118,118,29,810066
0,573981,156,156,10,563530
1,390898,218,218,34,380639
1,6832,25,25,75,2
1,46065,190,190,38,35644
0,842551,211,211,35,832124
1,63253,174,174,110,52823
1,78813,196,196,52,72588
0,149649,113,113,23,143326
0,816094,68,68,33,805796
0,11516,31,31,78,2172
1,26884,63,63,16,16478
1,22907,2,1,51,17262
0,5929,148,148,70,3
0,193120,183,183,23,183374
0,9732,191,191,115,1
1,970184,184,184,46,959784
0,213628,99,99,53,203258
0,647211,114,114,46,636820
1,138304,215,215,13,127910
1,13701,150,150,107,3220
0,328850,46,46,29,318795
0,6482,4,4,62,3
0,2345195,165,165,52,2334792
0,24168,110,110,97,13795
1,459416,64,64,34,449073
0,3034,90,90,94,2
1,252973,111,111,34,245186
1,62951,93,93,54,52593
1,347060,219,219,34,339083
1,45907,205,205,51,38978
1,141214,130,130,27,130814
0,789447,212,212,35,779023
0,475972,78,78,2,470489
1,409474,179,179,33,399029
1,47512,123,123,29,39092
1,802151,13,13,51,791817
0,33876,199,199,120,23431
1,1717944,170,170,49,1709332
0,745319,39,39,32,734937
0,891588,19,19,37,881293
1,934030,201,201,49,926063
1,127475,171,171,55,117093
0,6144,65,65,86,3
1,31191,119,119,35,20812
0,7954,192,192,116,2
1,229560,213,213,28,219184
0,571102,14,14,39,563645
1,69531,217,217,13,59128
0,13163,67,67,87,2601
0,5956,21,21,74,733
1,12411,133,133,101,1858
1,7614,0,2,61,1030
1,54831,125,125,52,44338
0,2370774,163,163,51,2360422
1,40663,197,197,119,30197
1,24830,101,101,27,14646
1,79790,207,207,51,69342
1,64484,127,127,30,55971
1,127990,147,147,54,117557
1,32850,186,186,9,28143
0,207695,54,54,15,204667
1,36235,216,216,13,25871
1,11492,32,32,79,5925
1,1233807,177,177,46,1224493
0,30892,75,75,22,20468
1,54812,6,6,32,50482
0,311779,49,49,52,306168
1,53674,203,203,59,43286
1,21015,77,77,18,14486
0,5481,153,153,108,1
1,9243,23,23,66,3028
1,89016,116,116,42,78604
0,574518,141,141,12,565420
1,27113,193,193,117,16665
1,71128,82,82,45,60752
0,347622,84,84,51,337195
0,65194,22,22,0,54806
1,6388,121,121,99,323
0,243214,167,167,33,232769
0,42086,37,37,82,31758
0,11147,33,33,80,4143
1,22103,169,169,33,14689
0,239506,159,159,15,231410
0,217558,3,3,25,208664
0,1049310,61,61,48,1038856
0,8611,115,115,69,3
0,62219,38,38,82,51870
0,11755,17,17,73,1460
0,586972,45,45,8,576509
1,88568,198,198,119,78117
0,13525,106,106,96,3143
0,623676,89,89,12,613279
1,11537,175,175,111,1098
0,505288,11,11,4,494840
