Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,313057,145,145,15,312338
0,76658,39,39,45,76494
0,36547,222,222,37,35690
1,2151652,66,66,20,2150759
1,749937,93,93,14,749176
1,1088191,237,237,19,1087412
1,432941,203,203,14,432381
1,497744,121,121,15,496932
1,33929,165,165,2,32910
1,1227756,106,106,20,1227118
1,652441,52,52,8,651695
0,402463,85,85,5,401243
1,2521,109,109,58,1283
1,394684,23,23,14,394031
1,1098996,238,238,19,1097833
1,663709,104,104,19,662936
0,738,2,2,23,1
0,41030,151,151,68,39978
0,2162466,65,65,20,2161639
1,937169,156,156,19,936387
1,269718,147,147,20,269074
1,946792,5,5,14,945539
1,15525,110,110,32,14710
1,563168,89,89,14,561921
1,477748,120,120,15,476525
0,731234,56,56,20,730422
1,11189,50,50,46,10047
0,217780,244,244,5,216641
1,1034038,239,239,19,1032938
0,779639,94,94,14,778437
0,10709,218,218,77,9531
0,23056,191,191,73,22262
1,667923,92,92,14,666610
0,497406,34,34,4,496306
1,365512,36,36,4,364310
1,3650,148,148,65,2478
0,13702,26,26,41,12743
0,1057942,132,132,14,1056725
0,589228,206,206,14,588062
1,10217,29,29,42,9084
1,182780,42,42,12,181743
0,196658,242,242,5,195561
0,387281,11,11,14,386064
0,1887968,128,128,19,1886823
1,12258,153,153,69,11053
0,581117,205,205,14,580287
0,386514,171,171,15,385279
1,599280,204,204,14,598465
0,745129,159,159,9,744176
0,1422032,55,55,20,1421220
1,1921338,126,126,19,1920505
0,28969,25,25,40,28568
0,1173402,230,230,15,1172566
0,210588,243,243,5,209491
0,9998,76,76,50,9753
0,1049347,133,133,14,1048619
0,358168,102,102,19,357524
0,1247221,176,176,18,1246121
0,878597,141,141,14,877761
1,2004,95,95,52,790
0,1778534,130,130,19,1777443
0,1193619,231,231,15,1192936
0,18090,96,96,53,17131
1,2202990,64,64,20,2202343
0,153559,234,234,79,152606
0,4472,216,216,75,3321
1,975187,117,117,20,974237
0,1745136,190,190,20,1744339
1,19523,47,47,29,18321
0,38006,197,197,74,37197
1,1147481,173,173,18,1146423
1,226729,43,43,12,226322
1,10011,38,38,44,9199
1,983808,115,115,20,982858
0,914563,155,155,19,913814
0,400728,172,172,15,399566
1,979496,116,116,20,978543
1,493669,122,122,15,492404
1,3831,166,166,72,3070
1,1860,160,160,70,1114
1,19594,30,30,43,18863
1,1447013,54,54,20,1446237
0,31870,221,221,37,31118
1,531335,169,169,1,530982
0,462427,170,170,15,461594
1,1905082,67,67,20,1904309
0,1474427,53,53,20,1473666
0,1098330,232,232,15,1097515
0,41345,78,78,31,40839
0,18040,108,108,58,16886
0,1062126,196,196,16,1060936
0,705599,91,91,14,704769
1,77581,7,7,8,76523
0,837722,210,210,14,837087
0,39296,62,62,48,38151
0,272963,214,214,15,272211
0,11639,198,198,74,10170
1,2187940,182,182,19,2187290
0,1471918,179,179,18,1470884
0,11872,131,131,61,11348
1,1675,215,215,35,854
1,551759,87,87,14,550737
1,9906,4,4,24,8728
0,863354,140,140,14,862533
0,2556,167,167,33,1318
1,2049687,185,185,19,2048413
0,384191,37,37,4,383100
1,323886,158,158,11,323095
0,571633,48,48,7,570836
0,663114,17,17,20,662260
1,826530,13,13,19,825718
0,14090,63,63,48,12945
0,1229889,175,175,18,1228786
0,1218003,107,107,20,1217665
0,290434,80,80,14,289571
1,1022329,213,213,14,1021526
1,27009,45,45,29,25858
1,987733,114,114,20,987176
1,11743,224,224,37,10985
1,295086,100,100,12,293887
1,941707,6,6,14,940901
0,12102,220,220,36,11231
0,1588977,123,123,18,1588012
0,644758,119,119,6,643769
1,17814,235,235,79,16873
1,750678,154,154,19,750031
1,1790,8,8,25,1116
1,7239,180,180,0,5971
0,13009,152,152,68,11804
0,19059,164,164,71,18244
1,1152958,193,193,14,1151783
0,1694274,68,68,20,1693627
0,1863,103,103,57,1015
0,247509,144,144,15,246700
0,684782,57,57,20,683826
0,1070767,194,194,14,1069991
0,137805,157,157,12,136807
1,461022,201,201,14,460051
0,1577124,187,187,19,1576114
1,614,51,51,46,222
0,5008,9,9,26,4142
0,31139,61,61,48,29922
1,375903,35,35,4,374896
0,12268,236,236,80,10958
1,2029082,21,21,20,2027874
0,13418,150,150,67,12669
0,550504,49,49,7,549704
1,7162,223,223,37,6368
0,556235,168,168,1,555144
0,1148502,228,228,15,1147669
0,381597,15,15,10,380962
1,36628,46,46,29,35402
0,2155792,183,183,19,2155145
1,9178,74,74,30,8375
0,29968,162,162,71,28721
0,1648331,124,124,18,1647294
0,492438,202,202,14,491209
0,23852,33,33,28,23046
1,1522877,178,178,18,1521903
1,178084,111,111,17,176870
0,15379,219,219,77,14528
0,77977,41,41,3,77144
0,617253,207,207,14,616495
0,12388,136,136,64,11468
1,537352,88,88,14,536177
1,35179,44,44,13,34406
1,81801,40,40,45,80905
1,1912694,127,127,19,1911738
1,287088,99,99,12,285889
0,1165493,229,229,15,1164663
1,37248,163,163,71,35989
0,37518,31,31,28,36670
1,1783506,129,129,19,1782673
0,432927,247,247,5,431740
1,2102,112,112,59,1101
0,320234,146,146,15,319014
1,827468,209,209,14,826311
1,4723,24,24,39,4340
1,3769,1,1,22,3023
0,335,10,10,26,3
1,227094,20,20,12,226831
1,23810,60,60,47,22572
1,1026,225,225,78,841
1,13592,101,101,56,12324
1,1989097,189,189,20,1988282
0,445921,19,19,4,445157
0,247162,12,12,14,246347
1,1018268,212,212,14,1017216
1,2879,134,134,62,2091
1,1338,195,195,34,835
0,26635,161,161,71,25832
1,2097143,188,188,20,2096334
0,2142542,184,184,19,2141583
0,392050,86,86,12,391007
1,55904,32,32,28,55386
0,1679298,71,71,20,1678525
0,17599,77,77,51,16553
0,255296,142,142,15,254511
0,305564,84,84,14,304740
0,486743,58,58,1,485586
0,277578,82,82,14,276769
0,822069,208,208,14,821287
0,177073,105,105,21,175745
1,265814,200,200,11,265029
1,5205,97,97,54,4201
1,992655,211,211,14,991897
0,297062,79,79,14,295851
0,18784,98,98,55,18002
1,26139,27,27,42,25351
0,422034,18,18,4,420934
0,907521,139,139,14,906301
0,23025,135,135,63,22318
1,2202884,181,181,19,2202237
1,65754,233,233,79,64810
1,1487286,177,177,18,1486264
1,17173,217,217,76,16040
0,61556,28,28,42,60249
0,313431,83,83,14,312547
0,285745,81,81,14,284939
1,970864,118,118,20,969914
0,1631767,70,70,20,1631120
0,6002,241,241,81,5043
1,1564778,72,72,20,1564014
1,643595,16,16,20,642765
1,407549,137,137,14,406749
0,251858,22,22,14,251211
1,15410,226,226,38,14340
0,18582,59,59,47,17713
0,231201,246,246,5,230431
1,2089274,125,125,19,2088630
0,9985,149,149,66,9303
0,1687805,69,69,20,1687044
0,25842,199,199,74,24370
1,1677,75,75,49,712
0,1153229,240,240,19,1151997
0,1221966,174,174,18,1220947
0,1604402,186,186,19,1603254
1,1075329,3,3,14,1075195
1,884301,138,138,14,883339
1,13960,14,14,27,13361
0,1106541,227,227,15,1105297
1,655,0,0,82,2
0,223492,245,245,5,222386
1,1592913,73,73,20,1591840
0,658646,90,90,14,657867
0,266241,143,143,15,265438
1,13082,113,113,60,12327
0,1207750,192,192,14,1206605
