Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,1160395,347,347,3,1,22,1159709
0,0,18293,404,404,3,1,95,17649
0,0,7200,135,135,4,0,45,6637
0,0,55025,359,359,4,0,83,54438
0,0,1464254,89,89,4,0,28,1463646
1,0,494817,204,204,4,0,23,494134
0,0,2016292,329,329,4,0,27,2015537
0,0,9057,388,388,4,0,90,8128
0,0,4555,133,133,4,0,64,3962
0,0,683253,99,99,4,0,28,682675
0,0,844685,368,368,3,1,22,844098
0,0,112468,401,401,1,1,94,111971
0,0,4870,340,340,4,0,78,4217
0,0,2682,265,265,4,0,76,1954
1,0,163066,8,8,4,0,8,162521
0,0,1955674,332,332,4,0,28,1955171
1,0,756041,100,100,4,0,28,755460
1,0,1368555,309,309,4,0,28,1367977
1,0,1487064,93,93,4,0,28,1486369
1,0,36247,73,73,4,0,15,35642
0,0,265007,259,259,4,0,23,264339
0,0,120884,35,35,2,0,14,120498
1,0,1921473,109,109,4,0,28,1920904
0,0,458814,352,352,4,0,17,458125
0,0,308712,370,370,4,0,16,308044
0,0,548591,227,227,2,0,19,548190
0,0,1604078,117,117,4,0,28,1603452
0,0,85370,62,62,4,0,58,84681
0,0,17407,262,262,4,0,74,16820
0,0,1033564,299,299,4,0,18,1032920
0,0,1738968,28,28,3,1,27,1738420
1,0,6677,379,379,4,0,86,6162
1,0,278070,223,223,4,0,3,277438
0,0,1731530,336,336,4,0,28,1730895
0,0,477620,207,207,4,0,6,476973
0,0,567879,381,381,2,0,20,567310
0,0,10321,127,127,4,0,61,9749
0,0,1686468,113,113,4,0,28,1685914
0,0,7629,231,231,4,0,70,6979
0,0,1645,356,356,4,0,83,1004
1,0,376974,56,56,4,0,3,376393
1,0,807869,25,25,3,1,27,807330
1,0,426818,138,138,4,0,4,426186
1,0,39701,53,53,4,0,57,39237
0,0,307213,260,260,4,0,23,306524
1,0,782,47,47,4,0,54,129
1,0,1132814,317,317,4,0,28,1132212
1,0,30799,74,74,4,0,15,30158
1,0,159847,68,68,4,0,14,159101
1,0,717564,271,271,4,0,27,716974
1,0,1637787,115,115,4,0,28,1637185
0,0,487905,171,171,4,0,3,487330
1,0,356421,430,430,3,1,13,355831
0,0,1932015,108,108,4,0,28,1931470
0,0,2027,40,40,4,0,52,1341
0,0,1743790,335,335,4,0,28,1743146
0,0,515441,208,208,4,0,6,514617
1,0,1118634,319,319,4,0,28,1117975
0,0,347837,18,18,3,1,3,347313
0,0,250738,323,323,4,0,3,250097
1,0,1579,3,3,4,0,34,1004
0,0,570400,77,77,4,0,7,569783
1,0,552848,146,146,4,0,22,552180
0,0,52129,266,266,4,0,76,51491
1,0,19103,380,380,3,1,86,18480
0,0,4829,258,258,4,0,73,4128
1,0,599763,234,234,4,0,10,598996
0,0,436400,12,12,4,0,16,435816
0,0,1148872,410,410,4,0,27,1148204
0,0,339516,226,226,4,0,3,338926
1,0,1581481,216,216,4,0,26,1580900
1,0,1081012,406,406,4,0,27,1080440
0,0,15668,344,344,4,0,79,15015
1,0,6518,304,304,4,0,1,5874
1,0,26110,306,306,4,0,14,25487
1,0,504309,428,428,3,1,4,503911
1,0,668902,150,150,4,0,22,668282
0,0,1995197,218,218,4,0,27,1994529
0,0,216763,322,322,4,0,3,216122
1,0,588625,158,158,3,1,4,587969
0,0,416038,383,383,4,0,31,415541
1,0,463493,102,102,3,1,0,462885
1,0,14001,394,394,4,0,92,13402
0,0,385637,21,21,3,1,22,384969
1,0,602338,320,320,4,0,6,601643
1,0,1845,389,389,2,0,91,1489
0,0,314714,124,124,4,0,12,314181
0,0,1473130,88,88,4,0,28,1472456
1,0,1134002,408,408,4,0,27,1133424
0,0,444695,32,32,4,0,3,444042
0,0,42175,386,386,4,0,88,41594
0,0,9261,129,129,4,0,62,8539
0,0,382637,58,58,4,0,3,382086
1,0,35038,303,303,4,0,1,34388
0,0,416102,249,249,4,0,16,415509
1,0,13194,349,349,3,1,81,12661
1,0,641578,84,84,4,0,11,640880
1,0,320021,423,423,4,0,4,319437
0,0,70385,300,300,4,0,15,69732
0,0,2893,384,384,4,0,87,2228
1,0,36160,20,20,4,0,14,35462
1,0,628319,185,185,3,1,13,627354
1,0,1066542,405,405,4,0,27,1065931
0,0,438865,351,351,4,0,17,438233
0,0,331967,154,154,4,0,16,331098
0,0,499409,366,366,3,1,22,498789
0,0,262228,38,38,4,0,22,261515
0,1,340144,413,413,4,0,14,339536
0,0,224418,168,168,4,0,17,223792
0,0,17055,49,49,4,0,56,16375
1,0,1049,286,286,4,0,48,204
1,0,807166,153,153,4,0,22,806492
1,0,874302,276,276,3,1,27,873739
1,0,281,10,10,5,0,36,3
0,0,16035,342,342,4,0,78,15472
1,0,301818,280,280,4,0,14,301183
1,0,6125,11,11,4,0,36,5631
0,0,578960,78,78,4,0,7,578253
