Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,1160395,344,344,3,1,21,1159709
0,0,18293,401,401,3,1,94,17649
0,0,7200,132,132,4,0,44,6637
0,0,55025,356,356,4,0,82,54438
0,0,1464254,86,86,4,0,27,1463646
1,0,494817,199,199,4,0,22,494134
0,0,2016292,326,326,4,0,26,2015537
0,0,9057,385,385,4,0,89,8128
0,0,4555,130,130,4,0,63,3962
0,0,683253,96,96,4,0,27,682675
0,0,844685,365,365,3,1,21,844098
0,0,112468,398,398,1,1,93,111971
0,0,4870,337,337,4,0,77,4217
0,0,2682,259,259,4,0,75,1954
0,0,158502,17,17,4,0,8,158113
0,0,1955674,329,329,4,0,27,1955171
1,0,756041,97,97,4,0,27,755460
1,0,1368555,306,306,4,0,27,1367977
1,0,1487064,90,90,4,0,27,1486369
1,0,44362,297,297,3,1,14,43754
0,0,265007,253,253,4,0,22,264339
0,0,128464,413,413,2,0,13,128075
1,0,1921473,106,106,4,0,27,1920904
0,0,458814,349,349,4,0,16,458125
0,0,316703,368,368,4,0,15,316059
0,0,548591,220,220,2,0,18,548190
0,0,1604078,114,114,4,0,27,1603452
0,0,85370,59,59,4,0,57,84681
0,0,17407,256,256,4,0,73,16820
0,0,1033564,294,294,4,0,17,1032920
0,0,1738968,26,26,3,1,26,1738420
1,0,6677,376,376,4,0,85,6162
1,0,278070,217,217,4,0,3,277438
0,0,1731530,333,333,4,0,27,1730895
0,0,515441,202,202,4,0,6,514617
0,0,567879,378,378,2,0,19,567310
0,0,10321,124,124,4,0,60,9749
0,0,1686468,110,110,4,0,27,1685914
0,0,7629,224,224,4,0,69,6979
0,0,1645,353,353,4,0,82,1004
0,0,382637,55,55,4,0,3,382086
1,0,807869,23,23,3,1,26,807330
0,0,431207,424,424,4,0,4,430704
1,0,39701,50,50,4,0,56,39237
0,0,307213,254,254,4,0,22,306524
1,0,782,44,44,4,0,53,129
1,0,1132814,314,314,4,0,27,1132212
1,0,36247,70,70,4,0,14,35642
1,0,170789,66,66,4,0,13,170208
1,0,717564,265,265,4,0,26,716974
1,0,1637787,112,112,4,0,27,1637185
0,0,269583,417,417,4,0,4,268954
1,0,628319,180,180,3,1,12,627354
0,0,1932015,105,105,4,0,27,1931470
0,0,2027,38,38,4,0,51,1341
0,0,1743790,332,332,4,0,27,1743146
0,0,521226,203,203,4,0,6,520573
1,0,1118634,316,316,4,0,27,1117975
1,0,376974,53,53,4,0,3,376393
0,0,250738,320,320,4,0,3,250097
1,0,1579,2,2,4,0,33,1004
0,0,578960,74,74,4,0,7,578253
1,0,552848,142,142,4,0,21,552180
0,0,52129,260,260,4,0,75,51491
1,0,19103,377,377,3,1,85,18480
0,0,4829,252,252,4,0,72,4128
1,0,603114,233,233,4,0,9,602248
0,0,436400,10,10,4,0,15,435816
0,0,1148872,407,407,4,0,26,1148204
0,0,347837,16,16,3,1,3,347313
1,0,1581481,210,210,4,0,25,1580900
1,0,1081012,403,403,4,0,26,1080440
0,0,15668,341,341,4,0,78,15015
1,0,6518,300,300,4,0,1,5874
1,0,33001,18,18,4,0,13,32291
1,0,527500,426,426,4,0,4,526817
1,0,668902,146,146,4,0,21,668282
0,0,1995197,212,212,4,0,26,1994529
0,0,216763,319,319,4,0,3,216122
0,0,596495,157,157,4,0,4,595866
0,0,416038,380,380,4,0,30,415541
1,0,463493,99,99,3,1,0,462885
1,0,14001,391,391,4,0,91,13402
0,0,385637,19,19,3,1,21,384969
1,0,627298,98,98,4,0,6,626603
1,0,1845,386,386,2,0,90,1489
1,0,375081,120,120,4,0,11,374536
0,0,1473130,85,85,4,0,27,1472456
1,0,1134002,405,405,4,0,26,1133424
1,0,468801,293,293,4,0,3,468253
0,0,42175,383,383,4,0,87,41594
0,0,9261,126,126,4,0,61,8539
1,0,400683,54,54,4,0,3,400036
1,0,35038,299,299,4,0,1,34388
0,0,416102,242,242,4,0,15,415509
1,0,13194,346,346,3,1,80,12661
1,0,653543,82,82,4,0,10,652923
1,1,327963,422,422,4,0,4,327337
0,0,78452,296,296,4,0,14,77844
0,0,2893,381,381,4,0,86,2228
1,0,38888,77,77,4,0,13,38181
1,0,22995,301,301,2,0,13,22609
1,0,1066542,402,402,4,0,26,1065931
0,0,438865,348,348,4,0,16,438233
0,0,345916,151,151,4,0,15,345353
0,0,499409,363,363,3,1,21,498789
0,0,262228,36,36,4,0,21,261515
1,0,350824,411,411,2,0,13,350453
0,0,224418,164,164,4,0,16,223792
0,0,17055,46,46,4,0,55,16375
1,0,1049,279,279,4,0,47,204
1,0,807166,149,149,4,0,21,806492
1,0,874302,270,270,3,1,26,873739
1,0,281,8,8,5,0,35,3
0,0,16035,339,339,4,0,77,15472
1,0,311595,409,409,2,0,13,311224
1,0,6125,9,9,4,0,35,5631
0,0,582243,75,75,4,0,7,581596
0,0,1670681,27,27,4,0,26,1670067
0,0,544317,144,144,1,1,21,543658
0,0,285006,241,241,4,0,15,284026
0,0,482096,249,249,4,0,15,481446
0,0,16573,162,162,4,0,65,15977
0,0,1236,123,123,4,0,43,691
1,0,2152710,104,104,4,0,27,2152117
0,0,218124,163,163,4,0,16,217234
1,0,505974,290,290,4,0,9,505327
0,0,314714,121,121,4,0,11,314181
0,0,729959,94,94,4,0,27,729363
1,0,358436,273,273,2,0,13,358038
1,0,594102,227,227,4,0,9,593512
1,1,22696,71,71,4,0,14,22061
0,0,1261581,321,321,3,1,25,1260970
0,0,160801,400,400,4,0,93,160181
0,0,10872,102,102,3,1,59,10210
1,0,412598,275,275,4,0,29,411981
1,0,517192,289,289,4,0,9,516578
1,0,53893,303,303,4,0,10,53279
0,0,253563,283,283,4,0,15,252895
