Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1037760,370,370,4,22,1037092,1
1,0,18293,404,404,3,95,17649,0
0,0,1236,126,126,4,44,691,0
0,0,55025,360,360,4,83,54438,0
0,0,1457890,90,90,4,28,1457246,0
0,0,487260,205,205,4,23,486679,1
0,0,1995197,222,222,4,27,1994529,0
0,0,9057,388,388,4,90,8128,0
0,0,4555,134,134,4,64,3962,0
0,0,622513,28,28,4,28,621803,0
0,0,807166,155,155,4,22,806492,1
1,0,112468,401,401,1,94,111971,0
0,0,4870,342,342,4,78,4217,0
0,0,2682,269,269,4,76,1954,0
0,0,163066,9,9,4,8,162521,1
0,0,1943209,10,10,4,28,1942577,0
0,0,735451,96,96,4,28,734867,0
0,0,1357417,313,313,4,28,1356881,1
0,0,1481322,93,93,4,28,1480762,1
0,0,36247,73,73,4,15,35642,1
0,0,1187163,348,348,4,22,1186465,0
0,0,120884,36,36,2,14,120498,0
0,1,1894275,111,111,4,28,1893637,1
0,0,438865,353,353,4,17,438233,0
0,0,308712,371,371,4,16,308044,0
0,0,1033564,302,302,4,18,1032920,0
0,0,1578872,120,120,4,28,1578312,0
0,0,77237,62,62,4,58,76545,0
0,0,17407,266,266,4,74,16820,0
0,0,497483,127,127,4,17,496893,0
0,0,1707996,30,30,4,27,1707370,1
0,0,6677,380,380,4,86,6162,1
0,0,278070,227,227,4,3,277438,1
0,0,1686468,112,112,4,28,1685914,0
0,0,477620,210,210,4,6,476973,0
0,0,565167,383,383,2,20,564760,0
0,0,10321,128,128,4,61,9749,0
0,0,1685667,117,117,0,28,1685527,0
0,0,7629,235,235,4,70,6979,0
0,0,1645,357,357,4,83,1004,0
0,0,376974,57,57,4,3,376393,1
0,0,767988,276,276,4,27,767290,0
0,0,426818,140,140,4,4,426186,1
0,0,7249,55,55,4,57,6641,0
0,0,265007,264,264,4,23,264339,0
0,0,28027,46,46,4,53,27344,0
0,0,1118634,322,322,4,28,1117975,1
0,0,30799,74,74,4,15,30158,1
0,0,159847,68,68,4,14,159101,1
0,0,694973,310,310,4,27,694383,0
0,0,1610144,115,115,4,28,1609563,0
0,0,487905,172,172,4,3,487330,0
1,0,356421,430,430,3,13,355831,1
0,0,1921473,108,108,4,28,1920904,1
0,0,10499,40,40,2,51,10110,1
0,1,1739252,338,338,4,28,1738602,0
0,0,515441,211,211,4,6,514617,0
0,0,1109679,319,319,4,28,1109041,1
1,0,347837,19,19,3,3,347313,0
0,0,250738,326,326,4,3,250097,0
0,0,4939,8,8,4,33,4241,1
0,0,570400,76,76,4,7,569783,0
1,0,544317,149,149,1,22,543658,0
0,0,52129,270,270,4,76,51491,0
1,0,19103,381,381,3,86,18480,1
0,0,4829,263,263,4,73,4128,0
0,0,599763,238,238,4,10,598996,1
0,0,430625,13,13,4,16,430509,0
0,0,1142859,409,409,4,27,1142287,1
0,0,339516,230,230,4,3,338926,0
0,0,1413348,214,214,4,26,1412725,1
0,0,1066542,405,405,4,27,1065931,1
0,0,15668,346,346,4,79,15015,0
0,0,6518,307,307,4,1,5874,1
0,0,26110,309,309,4,14,25487,1
1,0,504309,428,428,3,4,503911,1
0,0,610947,368,368,4,22,610288,1
0,0,1935320,221,221,4,27,1934724,0
0,0,216763,325,325,4,3,216122,0
1,0,588625,160,160,3,4,587969,1
0,0,412598,286,286,4,30,411981,1
1,0,463493,101,101,3,0,462885,1
0,0,14001,394,394,4,92,13402,1
0,0,276224,139,139,4,22,275592,0
0,0,602338,323,323,4,6,601643,1
0,0,1845,389,389,2,91,1489,1
0,0,314714,123,123,4,12,314181,0
0,0,1464254,89,89,4,28,1463646,0
0,0,1100102,407,407,4,27,1099440,1
0,0,444695,33,33,4,3,444042,0
0,0,42175,386,386,4,88,41594,0
0,0,9261,130,130,4,62,8539,0
0,0,382637,59,59,4,3,382086,0
0,0,35038,306,306,4,1,34388,1
0,0,410050,253,253,4,16,409331,0
1,0,13194,351,351,3,81,12661,1
0,0,641578,83,83,4,11,640880,1
0,0,320021,423,423,4,4,319437,1
0,0,70385,303,303,4,15,69732,0
0,0,2893,384,384,4,87,2228,0
0,0,36160,21,21,4,14,35462,1
1,0,628319,187,187,3,13,627354,1
1,0,978860,281,281,1,27,978390,0
0,0,288480,177,177,4,17,287506,0
0,0,331967,156,156,4,16,331098,0
0,0,467996,366,366,4,22,467418,0
0,0,1344856,202,202,4,21,1344239,0
0,1,340144,413,413,4,14,339536,0
0,0,218124,169,169,4,17,217234,0
0,0,11303,52,52,4,56,10641,1
0,0,12594,201,201,4,47,11959,1
0,0,789660,154,154,4,22,789061,1
0,0,855201,25,25,4,27,854569,1
0,0,873,6,6,4,35,262,1
0,0,16035,344,344,4,78,15472,0
0,0,301818,284,284,4,14,301183,1
0,0,281,11,11,5,36,3,1
0,0,578960,77,77,4,7,578253,0
0,0,1665163,31,31,4,27,1664528,0
0,0,538452,148,148,4,22,537880,1
0,0,278450,249,249,4,16,277617,0
0,0,473006,259,259,4,16,472107,0
0,0,16573,168,168,4,66,15977,0
1,0,15631,124,124,1,43,14972,0
0,0,2130876,105,105,4,28,2130250,1
0,0,750998,204,204,4,16,750414,0
0,0,497850,299,299,4,10,497083,1
0,0,653543,84,84,4,11,652923,1
0,0,698962,97,97,4,28,698387,1
0,0,350824,414,414,2,14,350453,1
0,0,584282,135,135,4,10,583626,1
0,0,425782,144,144,2,14,425384,0
0,0,1183104,328,328,4,26,1182499,0
0,0,160801,403,403,4,94,160181,0
1,0,10872,104,104,3,60,10210,0
0,0,393310,287,287,4,30,392783,0
0,0,514088,298,298,4,10,513441,1
0,0,667099,5,5,4,10,666332,1
0,0,244449,293,293,4,16,243556,0
0,0,223254,294,294,4,16,222562,0
0,0,260483,179,179,4,17,259935,0
0,0,1069989,197,197,4,28,1069351,0
0,0,198335,44,44,4,10,197730,1
0,0,1235855,190,190,2,28,1235211,1
0,0,1109266,398,398,4,23,1108595,0
0,0,6197,387,387,4,89,5628,0
0,0,38888,79,79,4,14,38181,1
0,0,2159962,329,329,4,27,2159390,0
0,0,1411596,23,23,4,28,1410949,0
0,0,2152710,106,106,4,28,2152117,1
0,0,22912,60,60,2,58,22523,0
0,0,2442,290,290,4,48,1612,1
0,0,673589,188,188,4,27,672981,1
1,0,1671935,119,119,3,28,1671336,0
0,0,11230,375,375,4,49,10535,0
0,0,1875155,224,224,4,27,1874526,0
0,0,311313,422,422,4,4,310645,1
0,0,274287,175,175,4,14,273715,1
0,0,433446,209,209,4,23,432955,0
0,0,36542,385,385,4,88,35961,1
0,0,541203,103,103,4,6,540331,0
0,0,375081,122,122,4,12,374536,1
0,0,1134002,408,408,4,27,1133424,1
0,0,1473130,88,88,4,28,1472456,0
1,0,1261581,327,327,3,26,1260970,0
0,0,1121,3,3,4,32,531,0
0,0,405277,143,143,4,14,404699,0
0,0,1581481,219,219,4,26,1580900,1
0,0,1049,289,289,4,48,204,1
0,1,327963,424,424,4,4,327337,1
0,0,1392058,311,311,4,28,1391459,0
0,0,253089,180,180,4,17,252442,0
0,0,897457,278,278,4,27,896894,0
0,0,358436,283,283,2,14,358038,1
0,0,782,48,48,4,54,129,1
0,0,371048,282,282,4,14,370350,1
0,0,1932015,107,107,4,28,1931470,0
0,0,7470,274,274,4,77,6853,1
0,0,76266,285,285,4,14,75574,1
0,0,16265,14,14,4,37,15666,1
0,0,605996,244,244,4,10,605367,1
0,0,332148,411,411,4,14,331510,0
1,0,844685,369,369,3,22,844098,0
0,0,1790185,225,225,4,27,1789544,1
0,0,617680,239,239,4,10,617066,1
0,0,17055,50,50,4,56,16375,0
0,0,1591262,333,333,4,27,1590720,0
0,0,31626,358,358,4,83,31012,0
0,0,67780,415,415,4,14,67067,0
0,0,425359,254,254,4,16,424565,0
0,0,281837,181,181,4,17,281250,0
0,0,1169771,349,349,4,22,1169145,0
0,0,1192370,318,318,4,28,1191744,1
0,0,18926,390,390,4,92,18276,0
0,0,2103139,226,226,4,28,2102468,1
0,0,1094415,321,321,4,28,1093786,1
0,0,59685,51,51,4,56,58891,0
0,0,395098,43,43,4,28,394403,1
0,0,128464,416,416,2,14,128075,0
0,0,1132814,320,320,4,28,1132212,1
1,0,385637,22,22,3,22,384969,0
0,0,1348,170,170,4,67,512,1
0,0,567879,382,382,2,20,567310,0
0,0,190891,67,67,4,14,190256,1
0,0,3660,199,199,4,68,3085,1
0,0,756041,99,99,4,28,755460,1
0,0,1653046,113,113,4,28,1652444,1
0,0,7200,137,137,4,45,6637,0
0,0,17644,350,350,4,80,17072,0
0,0,388432,198,198,2,29,388043,1
0,0,1001979,95,95,4,28,1001410,0
0,0,1611491,332,332,4,27,1610868,0
0,0,6125,12,12,4,36,5631,1
0,0,1806636,339,339,4,28,1806064,0
0,0,1150552,317,317,4,28,1149983,1
0,0,377041,364,364,4,12,376496,1
0,0,389569,255,255,4,16,388676,0
0,0,1212108,314,314,4,28,1211533,0
0,0,1793869,335,335,4,28,1793264,1
0,0,1559,53,53,4,57,987,1
0,0,421453,417,417,4,28,420860,0
0,0,410649,145,145,2,14,410251,0
1,0,2936,1,1,3,31,2637,1
1,0,690105,151,151,3,22,689434,0
0,0,7534,345,345,2,79,7151,0
0,0,8892,377,377,4,50,8245,0
0,0,237931,291,291,4,16,237338,0
0,0,615493,18,18,4,28,614912,0
0,0,253619,173,173,4,14,252897,0
0,0,244194,183,183,4,17,243160,0
0,0,1176204,399,399,4,23,1175530,0
0,0,668902,152,152,4,22,668282,1
0,0,22995,308,308,2,14,22609,1
0,0,47042,80,80,4,14,46335,1
0,0,6670,233,233,4,69,6140,1
0,0,462219,365,365,4,22,461563,1
0,0,1079,129,129,2,62,750,0
