Gene_Classification,Gene_Description,Ortholog_Id,Gene_Id,Gene_Db_Id,Genomic_End_Position,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,88,244,244,301826,2,0,31,299487,0
1,0,116,97,97,32772,1,1,4,29866,1
0,0,27,28,28,373899,2,0,5,371611,1
0,0,71,78,78,736453,3,0,23,733583,0
0,1,51,79,79,190552,2,0,21,188093,1
0,0,61,42,42,1516533,2,0,32,1514173,1
0,0,106,160,160,476728,2,0,15,474101,0
0,0,46,31,31,54199,2,0,58,51578,1
0,0,35,208,208,988200,2,0,23,985546,1
0,0,84,235,235,1062895,2,0,31,1060310,1
0,0,6,86,86,246580,2,0,19,243767,0
0,0,22,44,44,758419,2,0,22,756089,0
0,0,23,204,204,488327,3,0,23,485541,0
1,0,92,238,238,322020,1,1,19,319249,0
0,0,55,26,26,33755,2,0,44,30969,0
0,0,116,246,246,355891,2,0,6,353552,0
0,0,61,43,43,993191,2,0,32,990858,1
1,0,87,194,194,1150558,1,1,23,1147775,1
0,0,115,223,223,1152306,2,0,24,1149583,0
0,0,111,167,167,1161129,2,0,32,1158613,0
1,0,114,217,217,32977,1,1,85,30248,1
0,0,97,25,25,33431,2,0,55,30843,1
0,0,94,5,5,184674,2,0,12,182293,0
0,0,34,190,190,1757922,2,0,32,1755496,1
0,0,65,175,175,553480,3,0,1,550610,0
0,0,46,29,29,16153,2,0,56,13502,0
0,0,119,247,247,292921,2,0,6,290183,1
0,0,121,180,180,256062,2,0,5,253732,0
0,0,97,49,49,25495,2,0,61,22811,0
0,0,30,197,197,8691,2,0,78,6085,1
0,0,44,214,214,180436,2,0,11,177890,1
0,0,8,213,213,15222,2,0,82,12538,1
0,0,71,116,116,867065,2,0,23,864531,0
0,0,40,103,103,1966199,2,0,31,1963551,1
0,0,106,144,144,557682,2,0,15,555076,0
0,0,84,234,234,1024944,2,0,31,1022305,0
0,0,74,253,253,519004,2,0,7,516413,0
0,0,104,166,166,1176004,2,0,32,1173581,0
0,0,84,33,33,156435,3,0,19,153649,1
0,0,64,178,178,447956,2,0,24,445458,1
0,0,73,128,128,735391,2,0,31,733043,0
0,0,77,227,227,1102343,2,0,24,1099539,0
0,0,111,89,89,1314205,2,0,32,1311887,0
0,0,5,210,210,1034195,2,0,23,1031508,1
0,0,38,38,38,650434,3,0,14,647633,1
0,0,73,108,108,1800605,2,0,31,1797939,1
0,0,47,80,80,125132,2,0,4,122370,1
1,0,64,21,21,17633,1,1,53,14982,0
0,0,67,121,121,4209,2,0,69,1423,0
0,0,37,233,233,187941,2,0,5,185287,0
0,0,110,200,200,1065877,2,0,26,1063010,0
0,0,18,135,135,432191,2,0,16,429708,0
0,0,86,258,258,536061,2,0,15,533287,0
0,0,2,174,174,568671,2,0,32,566338,1
1,0,93,222,222,1123469,1,1,24,1120611,0
0,0,105,158,158,443238,2,0,15,440629,0
0,0,33,202,202,422008,2,0,17,419294,0
1,0,68,153,153,86749,1,1,3,84020,1
0,0,52,152,152,50888,2,0,20,48174,1
1,0,72,256,256,107074,1,1,2,104540,0
0,0,10,40,40,622377,2,0,31,620053,0
0,0,86,162,162,404953,2,0,15,402317,0
0,0,110,251,251,352788,2,0,18,350182,1
0,0,130,23,23,185153,2,0,27,182502,0
1,0,128,165,165,389747,1,1,15,387120,0
0,0,121,110,110,309384,2,0,5,306937,0
0,0,119,81,81,585607,2,0,6,583331,1
0,0,46,19,19,7162,2,0,51,4697,0
0,0,86,164,164,378614,2,0,15,375975,0
0,0,73,219,219,23290,2,0,50,20606,1
0,0,97,59,59,9867,2,0,63,7462,0
0,0,122,203,203,473501,3,0,23,470631,0
0,0,85,7,7,1713823,2,0,30,1711409,0
0,0,18,239,239,381075,2,0,16,378301,0
0,0,51,46,46,14845,3,0,60,11996,0
0,0,43,215,215,8092,2,0,83,5759,0
1,0,0,199,199,13979,1,1,80,11352,1
0,0,3,112,112,1053239,2,0,23,1050549,0
0,0,46,85,85,15062,2,0,66,12438,0
1,0,39,196,196,1100880,1,1,23,1098211,1
0,0,45,173,173,8115,3,0,49,5269,1
0,0,52,171,171,379418,2,0,34,376740,1
0,0,80,186,186,2047179,2,0,31,2044399,1
0,0,23,73,73,665447,3,0,23,662586,1
0,0,113,142,142,475012,2,0,7,472298,0
0,0,61,88,88,1324430,2,0,32,1322082,0
