Gene_Classification,Gene_Description,Ortholog_Id,Gene_Id,Gene_Db_Id,Genomic_End_Position,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,87,244,244,301826,2,0,31,299487,0
1,0,116,97,97,32772,1,1,4,29866,1
0,0,26,28,28,373899,2,0,5,371611,1
0,0,70,78,78,736453,3,0,23,733583,0
0,1,50,79,79,190552,2,0,21,188093,1
0,0,60,42,42,1516533,2,0,32,1514173,1
0,0,105,162,162,476728,2,0,15,474101,0
0,0,45,31,31,54199,2,0,58,51578,1
0,0,34,210,210,988200,2,0,23,985546,1
0,0,83,235,235,1062895,2,0,31,1060310,1
0,0,6,86,86,246580,2,0,19,243767,0
0,0,21,44,44,758419,2,0,22,756089,0
0,0,22,206,206,488327,3,0,23,485541,0
1,0,91,238,238,322020,1,1,19,319249,0
0,0,54,26,26,33755,2,0,44,30969,0
0,0,116,246,246,355891,2,0,6,353552,0
0,0,60,43,43,993191,2,0,32,990858,1
1,0,86,196,196,1150558,1,1,23,1147775,1
0,0,115,224,224,1152306,2,0,24,1149583,0
0,0,111,169,169,1161129,2,0,32,1158613,0
1,0,114,218,218,32977,1,1,85,30248,1
0,0,96,25,25,33431,2,0,55,30843,1
0,0,110,248,248,504459,2,0,12,501763,1
0,0,33,192,192,1757922,2,0,32,1755496,1
0,0,64,177,177,553480,3,0,1,550610,0
0,0,45,29,29,16153,2,0,56,13502,0
0,0,119,247,247,292921,2,0,6,290183,1
0,0,121,182,182,256062,2,0,5,253732,0
0,0,96,49,49,25495,2,0,61,22811,0
0,0,29,199,199,8691,2,0,78,6085,1
0,0,48,152,152,200907,2,0,11,198367,0
0,0,8,215,215,15222,2,0,82,12538,1
0,0,70,116,116,867065,2,0,23,864531,0
0,0,39,103,103,1966199,2,0,31,1963551,1
0,0,105,144,144,557682,2,0,15,555076,0
0,0,83,234,234,1024944,2,0,31,1022305,0
0,0,73,253,253,519004,2,0,7,516413,0
0,0,103,168,168,1176004,2,0,32,1173581,0
0,0,83,33,33,156435,3,0,19,153649,1
0,0,63,180,180,447956,2,0,24,445458,1
0,0,72,128,128,735391,2,0,31,733043,0
0,0,76,228,228,1102343,2,0,24,1099539,0
0,0,111,89,89,1314205,2,0,32,1311887,0
0,0,5,212,212,1034195,2,0,23,1031508,1
0,0,37,38,38,650434,3,0,14,647633,1
0,0,72,108,108,1800605,2,0,31,1797939,1
0,0,46,80,80,125132,2,0,4,122370,1
1,0,63,21,21,17633,1,1,53,14982,0
0,0,66,121,121,4209,2,0,69,1423,0
0,0,36,233,233,187941,2,0,5,185287,0
0,0,109,202,202,1065877,2,0,26,1063010,0
0,0,17,135,135,432191,2,0,16,429708,0
0,0,85,258,258,536061,2,0,15,533287,0
0,0,2,176,176,568671,2,0,32,566338,1
1,0,92,223,223,1123469,1,1,24,1120611,0
0,0,104,160,160,443238,2,0,15,440629,0
0,0,32,204,204,422008,2,0,17,419294,0
1,0,67,155,155,86749,1,1,3,84020,1
0,0,51,154,154,50888,2,0,20,48174,1
1,0,71,256,256,107074,1,1,2,104540,0
0,0,10,40,40,622377,2,0,31,620053,0
0,0,85,164,164,404953,2,0,15,402317,0
0,0,109,251,251,352788,2,0,18,350182,1
0,0,130,23,23,185153,2,0,27,182502,0
1,0,128,167,167,389747,1,1,15,387120,0
0,0,121,110,110,309384,2,0,5,306937,0
0,0,119,81,81,585607,2,0,6,583331,1
0,0,45,19,19,7162,2,0,51,4697,0
0,0,85,166,166,378614,2,0,15,375975,0
0,0,72,220,220,23290,2,0,50,20606,1
0,0,96,59,59,9867,2,0,63,7462,0
0,0,122,205,205,473501,3,0,23,470631,0
0,0,84,7,7,1713823,2,0,30,1711409,0
0,0,17,239,239,381075,2,0,16,378301,0
0,0,50,46,46,14845,3,0,60,11996,0
0,0,43,216,216,8092,2,0,83,5759,0
1,0,0,201,201,13979,1,1,80,11352,1
0,0,3,112,112,1053239,2,0,23,1050549,0
0,0,45,85,85,15062,2,0,66,12438,0
1,0,38,198,198,1100880,1,1,23,1098211,1
0,0,44,175,175,8115,3,0,49,5269,1
0,0,51,173,173,379418,2,0,34,376740,1
0,0,79,188,188,2047179,2,0,31,2044399,1
0,0,22,73,73,665447,3,0,23,662586,1
0,0,113,142,142,475012,2,0,7,472298,0
0,0,60,88,88,1324430,2,0,32,1322082,0
0,0,30,237,237,1156973,2,0,31,1154469,0
1,0,37,200,200,9580,1,1,79,6749,1
0,0,81,87,87,428427,3,0,20,425755,0
0,0,99,236,236,1096585,2,0,31,1093946,1
0,0,124,172,172,810651,2,0,22,808318,0
0,0,45,153,153,12594,2,0,76,9967,0
0,0,23,219,219,9089,2,0,85,6579,1
1,0,25,124,124,45075,1,1,72,42286,0
1,0,80,100,100,1611964,1,1,30,1609262,1
0,0,83,107,107,1828534,2,0,31,1825916,0
0,0,106,96,96,483376,2,0,24,480707,1
0,0,72,105,105,1865809,2,0,31,1862957,0
0,0,88,255,255,139709,2,0,1,138117,0
0,0,90,118,118,404584,2,0,22,402206,0
0,0,9,194,194,1731005,3,0,29,1728183,0
0,0,99,187,187,2060220,2,0,31,2057611,1
1,0,38,17,17,255561,1,1,23,253126,0
0,0,53,10,10,12158,2,0,43,9363,1
0,0,45,83,83,21771,2,0,64,19363,0
0,0,70,18,18,506933,3,0,23,504105,0
0,0,112,165,165,465591,2,0,15,462814,0
0,0,81,245,245,262330,2,0,6,259847,0
