Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
1,6912,13,1,37,4054
0,152656,70,1,6,149750
1,3512,39,1,46,570
0,2374,42,3,47,2
1,613086,35,1,12,611617
1,39716,23,1,15,38265
0,623307,62,1,4,621664
0,2321780,60,1,21,2320431
0,2321637,24,3,22,2320534
1,513352,30,3,13,509741
1,5459,14,3,38,369
1,85207,71,3,4,81746
1,6009,72,3,57,1594
0,241168,59,1,2,239609
0,10189,67,1,56,8723
1,12357,16,1,40,7624
1,13981,7,3,17,12296
0,166284,41,3,6,162214
0,2470,33,1,44,2
1,48747,75,3,16,45235
0,585395,45,1,3,582072
1,1879,4,2,25,2
0,685088,8,1,11,683411
1,187784,11,1,8,184617
1,3165,36,2,45,1
1,467386,68,0,11,461438
0,2326,15,3,39,2
0,463665,38,1,5,460870
0,769652,6,1,10,767703
0,576641,69,3,1,572922
0,219070,19,1,7,217661
1,1251315,40,3,19,1250056
1,14382,53,1,4,9970
1,31870,55,3,51,22712
0,574606,46,1,3,573398
0,2053,49,1,33,2
1,13747,21,3,18,12191
1,6974,52,3,50,1995
1,1537,1,2,27,2
1,1556,2,2,60,3
0,1997,5,1,26,1
1,26175,26,2,21,23011
0,375450,18,3,23,373273
1,11280,10,3,35,2713
1,72487,44,1,22,68564
0,3322,12,2,36,2
0,2309,32,1,32,3
1,5982,0,1,59,4234
0,4784,28,1,43,3
0,1059473,74,1,20,1058121
1,2868,27,1,29,1600
1,348754,58,1,22,344585
1,4686,64,2,54,1
1,24031,25,1,28,21731
1,478366,54,1,14,476669
0,4676,66,1,55,3
0,1271,29,1,30,3
0,8695,50,3,34,5075
0,2498,43,1,48,3
1,1119042,65,3,19,1112740
1,595601,34,1,12,591036
1,78154,47,1,0,73799
1,37338,37,1,24,35617
1,35785,3,1,9,34078
1,89064,48,1,0,84641
1,50380,9,1,10,48473
1,5803,63,1,53,896
0,4720,22,1,42,2
1,4039,61,1,52,1
0,2312,51,1,49,2
1,22057,56,1,9,19652
1,5221,31,1,31,2141
0,4653,17,3,41,1
1,72456,20,3,6,65872
0,2190,73,1,58,1
1,21673,57,1,24,20189
