Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,25,38827,226,226,25,35924,3
0,185,4679,184,184,134,1893,3
1,139,9869,53,53,58,8244,0
0,69,825842,310,310,40,823350,3
0,140,502030,130,130,0,499289,0
1,97,79193,77,77,3,76656,3
0,143,2449,0,0,152,11,3
1,142,7010,291,291,148,4233,0
1,166,66235,248,248,41,64469,0
1,27,21822,317,317,13,18838,3
1,83,3014,94,94,66,228,3
1,5,77950,17,17,24,74987,0
1,4,510295,141,141,27,507728,3
0,69,847503,311,311,40,845194,3
0,92,6673,233,233,139,3815,3
1,10,181574,314,314,30,180063,3
0,37,625252,229,229,28,622190,3
1,121,981807,277,277,52,979324,3
1,138,16715,187,187,46,14439,3
1,155,2940,213,213,136,73,3
0,20,8383,220,220,137,7271,0
1,184,17724,293,293,59,14986,1
0,174,13435,271,271,144,10745,3
1,163,86361,189,189,15,83876,0
0,4,225780,78,78,27,223900,3
0,4,578138,99,99,27,576360,3
0,28,504140,267,267,2,500865,3
0,27,636457,214,214,13,635763,3
0,1,847195,164,164,35,845501,3
0,168,492362,27,27,1,490971,3
0,46,236472,224,224,3,233641,3
0,139,779582,204,204,31,776703,0
0,110,7188,124,124,121,4384,3
1,111,8831,110,110,119,6234,3
0,51,650247,101,101,27,648161,0
0,108,984,304,304,151,31,3
1,107,1094,23,23,75,159,3
0,134,24358,272,272,144,21590,0
1,90,1225,52,52,79,1,0
0,124,628999,143,143,12,626735,3
1,12,13990,115,115,16,11384,3
1,135,28068,64,64,67,25282,3
1,67,3158,255,255,93,408,3
0,133,2351295,264,264,58,2348338,3
0,30,9939,56,56,102,8926,0
1,24,65081,83,83,25,62292,0
1,15,9052,247,247,142,7148,3
0,180,805554,313,313,40,804478,0
0,94,782600,205,205,31,781197,0
0,86,3790,211,211,89,806,3
0,133,1573917,167,167,58,1571158,3
0,9,1995400,175,175,56,1993454,0
0,25,794113,243,243,33,793295,1
1,14,644271,97,97,58,641242,3
1,166,56433,249,249,41,54619,1
0,91,654938,253,253,27,652152,3
0,178,1032018,49,49,44,1029001,3
0,40,1140600,197,197,46,1138639,0
0,175,411506,58,58,33,408474,3
1,125,924785,237,237,57,922281,3
0,84,1204,126,126,87,2,0
1,109,8397,15,15,9,5578,0
0,7,764760,203,203,31,762982,0
1,148,976,20,20,74,2,3
1,105,587182,273,273,37,584897,3
0,6,3258,40,40,77,436,3
1,181,6116,57,57,103,4224,3
