Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,313057,145,145,0,15,312338,0
1,76658,39,39,1,45,76494,0
0,36547,222,222,0,37,35690,0
0,2151652,66,66,0,20,2150759,1
0,749937,93,93,0,14,749176,1
0,1088191,237,237,0,19,1087412,1
1,432941,203,203,1,14,432381,1
1,497744,121,121,1,15,496932,1
0,33929,165,165,0,2,32910,1
0,1227756,106,106,0,20,1227118,1
1,652441,52,52,1,8,651695,1
0,402463,85,85,0,5,401243,0
1,2521,109,109,1,58,1283,1
0,394684,23,23,0,14,394031,1
0,1098996,238,238,0,19,1097833,1
0,663709,104,104,0,19,662936,1
0,738,2,2,0,23,1,0
1,41030,151,151,1,68,39978,0
0,2162466,65,65,0,20,2161639,0
1,937169,156,156,1,19,936387,1
1,269718,147,147,1,20,269074,1
0,946792,5,5,0,14,945539,1
0,15525,110,110,0,32,14710,1
1,563168,89,89,1,14,561921,1
1,477748,120,120,1,15,476525,1
0,731234,56,56,0,20,730422,0
0,11189,50,50,0,46,10047,1
0,217780,244,244,0,5,216641,0
0,1034038,239,239,0,19,1032938,1
1,779639,94,94,1,14,778437,0
1,10709,218,218,1,77,9531,0
0,23056,191,191,0,73,22262,0
1,667923,92,92,1,14,666610,1
1,497406,34,34,1,4,496306,0
0,365512,36,36,0,4,364310,1
0,3650,148,148,0,65,2478,1
1,13702,26,26,1,41,12743,0
0,1057942,132,132,0,14,1056725,0
0,589228,206,206,0,14,588062,0
0,10217,29,29,0,42,9084,1
1,182780,42,42,1,12,181743,1
0,196658,242,242,0,5,195561,0
0,387281,11,11,0,14,386064,0
1,1887968,128,128,1,19,1886823,0
0,12258,153,153,0,69,11053,1
0,581117,205,205,0,14,580287,0
0,386514,171,171,0,15,385279,0
0,599280,204,204,0,14,598465,1
1,745129,159,159,1,9,744176,0
0,1422032,55,55,0,20,1421220,0
1,1921338,126,126,1,19,1920505,1
0,28969,25,25,0,40,28568,0
0,1173402,230,230,0,15,1172566,0
0,210588,243,243,0,5,209491,0
1,9998,76,76,1,50,9753,0
0,1049347,133,133,0,14,1048619,0
0,358168,102,102,0,19,357524,0
1,1247221,176,176,1,18,1246121,0
0,878597,141,141,0,14,877761,0
0,2004,95,95,0,52,790,1
0,1778534,130,130,0,19,1777443,0
0,1193619,231,231,0,15,1192936,0
0,18090,96,96,0,53,17131,0
0,2202990,64,64,0,20,2202343,1
0,153559,234,234,0,79,152606,0
0,4472,216,216,0,75,3321,0
0,975187,117,117,0,20,974237,1
0,1745136,190,190,0,20,1744339,0
0,19523,47,47,0,29,18321,1
0,38006,197,197,0,74,37197,0
0,1147481,173,173,0,18,1146423,1
0,226729,43,43,0,12,226322,1
0,10011,38,38,0,44,9199,1
0,983808,115,115,0,20,982858,1
0,914563,155,155,0,19,913814,0
0,400728,172,172,0,15,399566,0
0,979496,116,116,0,20,978543,1
1,493669,122,122,1,15,492404,1
1,3831,166,166,1,72,3070,1
0,1860,160,160,0,70,1114,1
0,19594,30,30,0,43,18863,1
0,1447013,54,54,0,20,1446237,1
0,31870,221,221,0,37,31118,0
0,531335,169,169,0,1,530982,1
0,462427,170,170,0,15,461594,0
0,1905082,67,67,0,20,1904309,1
0,1474427,53,53,0,20,1473666,0
0,1098330,232,232,0,15,1097515,0
1,41345,78,78,1,31,40839,0
0,18040,108,108,0,58,16886,0
0,1062126,196,196,0,16,1060936,0
0,705599,91,91,0,14,704769,0
0,77581,7,7,0,8,76523,1
0,837722,210,210,0,14,837087,0
0,39296,62,62,0,48,38151,0
0,272963,214,214,0,15,272211,0
1,11639,198,198,1,74,10170,0
0,2187940,182,182,0,19,2187290,1
0,1471918,179,179,0,18,1470884,0
1,11872,131,131,1,61,11348,0
0,1675,215,215,0,35,854,1
1,551759,87,87,1,14,550737,1
0,9906,4,4,0,24,8728,1
0,863354,140,140,0,14,862533,0
1,2556,167,167,1,33,1318,0
1,2049687,185,185,1,19,2048413,1
0,384191,37,37,0,4,383100,0
0,323886,158,158,0,11,323095,1
0,571633,48,48,0,7,570836,0
1,663114,17,17,1,20,662260,0
0,826530,13,13,0,19,825718,1
0,14090,63,63,0,48,12945,0
0,1229889,175,175,0,18,1228786,0
0,1218003,107,107,0,20,1217665,0
1,290434,80,80,1,14,289571,0
0,1022329,213,213,0,14,1021526,1
1,27009,45,45,1,29,25858,1
0,987733,114,114,0,20,987176,1
0,11743,224,224,0,37,10985,1
1,295086,100,100,1,12,293887,1
0,941707,6,6,0,14,940901,1
0,12102,220,220,0,36,11231,0
0,1588977,123,123,0,18,1588012,0
0,644758,119,119,0,6,643769,0
0,17814,235,235,0,79,16873,1
0,750678,154,154,0,19,750031,1
1,1790,8,8,1,25,1116,1
1,7239,180,180,1,0,5971,1
0,13009,152,152,0,68,11804,0
0,19059,164,164,0,71,18244,0
1,1152958,193,193,1,14,1151783,1
0,1694274,68,68,0,20,1693627,0
0,1863,103,103,0,57,1015,0
0,247509,144,144,0,15,246700,0
0,684782,57,57,0,20,683826,0
0,1070767,194,194,0,14,1069991,0
1,137805,157,157,1,12,136807,0
0,461022,201,201,0,14,460051,1
0,1577124,187,187,0,19,1576114,0
0,614,51,51,0,46,222,1
0,5008,9,9,0,26,4142,0
0,31139,61,61,0,48,29922,0
0,375903,35,35,0,4,374896,1
0,12268,236,236,0,80,10958,0
0,2029082,21,21,0,20,2027874,1
0,13418,150,150,0,67,12669,0
0,550504,49,49,0,7,549704,0
0,7162,223,223,0,37,6368,1
1,556235,168,168,1,1,555144,0
0,1148502,228,228,0,15,1147669,0
1,381597,15,15,1,10,380962,0
0,36628,46,46,0,29,35402,1
0,2155792,183,183,0,19,2155145,0
0,9178,74,74,0,30,8375,1
1,29968,162,162,1,71,28721,0
0,1648331,124,124,0,18,1647294,0
0,492438,202,202,0,14,491209,0
1,23852,33,33,1,28,23046,0
0,1522877,178,178,0,18,1521903,1
0,178084,111,111,0,17,176870,1
0,15379,219,219,0,77,14528,0
0,77977,41,41,0,3,77144,0
0,617253,207,207,0,14,616495,0
0,12388,136,136,0,64,11468,0
0,537352,88,88,0,14,536177,1
1,35179,44,44,1,13,34406,1
0,81801,40,40,0,45,80905,1
0,1912694,127,127,0,19,1911738,1
1,287088,99,99,1,12,285889,1
0,1165493,229,229,0,15,1164663,0
0,37248,163,163,0,71,35989,1
0,37518,31,31,0,28,36670,0
0,1783506,129,129,0,19,1782673,1
0,432927,247,247,0,5,431740,0
1,2102,112,112,1,59,1101,1
0,320234,146,146,0,15,319014,0
1,827468,209,209,1,14,826311,1
1,4723,24,24,1,39,4340,1
0,3769,1,1,0,22,3023,1
0,335,10,10,0,26,3,0
0,227094,20,20,0,12,226831,1
0,23810,60,60,0,47,22572,1
0,1026,225,225,0,78,841,1
1,13592,101,101,1,56,12324,1
0,1989097,189,189,0,20,1988282,1
1,445921,19,19,1,4,445157,0
0,247162,12,12,0,14,246347,0
0,1018268,212,212,0,14,1017216,1
0,2879,134,134,0,62,2091,1
0,1338,195,195,0,34,835,1
1,26635,161,161,1,71,25832,0
0,2097143,188,188,0,20,2096334,1
0,2142542,184,184,0,19,2141583,0
0,392050,86,86,0,12,391007,0
1,55904,32,32,1,28,55386,1
0,1679298,71,71,0,20,1678525,0
1,17599,77,77,1,51,16553,0
0,255296,142,142,0,15,254511,0
0,305564,84,84,0,14,304740,0
0,486743,58,58,0,1,485586,0
0,277578,82,82,0,14,276769,0
0,822069,208,208,0,14,821287,0
1,177073,105,105,1,21,175745,0
0,265814,200,200,0,11,265029,1
1,5205,97,97,1,54,4201,1
0,992655,211,211,0,14,991897,1
0,297062,79,79,0,14,295851,0
0,18784,98,98,0,55,18002,0
0,26139,27,27,0,42,25351,1
0,422034,18,18,0,4,420934,0
0,907521,139,139,0,14,906301,0
0,23025,135,135,0,63,22318,0
0,2202884,181,181,0,19,2202237,1
0,65754,233,233,0,79,64810,1
0,1487286,177,177,0,18,1486264,1
0,17173,217,217,0,76,16040,1
0,61556,28,28,0,42,60249,0
0,313431,83,83,0,14,312547,0
0,285745,81,81,0,14,284939,0
0,970864,118,118,0,20,969914,1
0,1631767,70,70,0,20,1631120,0
1,6002,241,241,1,81,5043,0
0,1564778,72,72,0,20,1564014,1
0,643595,16,16,0,20,642765,1
0,407549,137,137,0,14,406749,1
0,251858,22,22,0,14,251211,0
1,15410,226,226,1,38,14340,1
0,18582,59,59,0,47,17713,0
0,231201,246,246,0,5,230431,0
0,2089274,125,125,0,19,2088630,1
0,9985,149,149,0,66,9303,0
0,1687805,69,69,0,20,1687044,0
1,25842,199,199,1,74,24370,0
0,1677,75,75,0,49,712,1
0,1153229,240,240,0,19,1151997,0
