Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1623870,29,29,0,18,1622425,0
0,384182,75,75,0,7,382887,0
0,1957918,56,56,0,20,1956215,0
1,603942,60,60,1,16,602953,1
0,1345315,49,49,0,20,1343381,1
0,401051,45,45,0,6,400292,0
1,411951,36,36,1,15,410611,0
0,802557,79,79,0,13,801154,0
1,120630,14,14,1,3,119065,0
0,2350,5,5,0,26,965,0
0,183296,63,63,0,4,181743,1
0,96204,71,71,0,38,95182,1
1,2122182,2,2,1,20,2120788,1
0,434782,74,74,0,7,433358,0
1,373406,51,51,1,21,371496,1
0,276965,34,34,0,2,276033,1
0,2077637,31,31,0,19,2076276,0
1,1662950,13,13,1,18,1661937,1
1,190053,62,62,1,12,189334,0
0,432759,18,18,0,9,431323,0
1,428550,44,44,1,6,427162,0
1,2196165,53,53,1,19,2194576,1
0,423414,17,17,0,9,422794,0
0,488962,25,25,0,2,488378,0
1,545819,21,21,1,16,544815,0
0,445437,42,42,0,20,444157,0
0,649350,3,3,0,20,647746,1
0,428424,40,40,0,7,427006,0
0,532018,81,81,0,6,530630,0
1,6897,4,4,1,25,5479,0
1,413826,41,41,1,7,412408,0
0,1356346,48,48,0,20,1354634,1
1,486119,27,27,1,17,484647,1
0,168069,0,0,0,5,166519,0
0,406516,39,39,0,7,405110,0
1,5338,43,43,1,1,4406,1
1,461547,46,46,1,6,460189,0
1,21584,9,9,1,11,19890,1
0,489416,6,6,0,2,489063,0
0,3277,16,16,0,22,1805,0
0,375903,7,7,0,2,374896,1
0,406809,78,78,0,20,405529,0
1,464293,19,19,1,9,462872,1
0,5790,23,23,0,30,4375,1
1,17774,66,66,1,24,16488,1
0,1412200,28,28,0,18,1410734,1
1,1111176,69,69,1,17,1109698,0
0,1053526,26,26,0,20,1052240,1
0,764059,22,22,0,16,762650,0
0,10843,64,64,0,35,9875,1
0,1876953,32,32,0,19,1875676,0
0,161,65,65,0,36,3,1
0,4346,58,58,0,33,2898,0
0,807440,72,72,0,14,806025,0
0,848504,1,1,0,19,847224,1
0,916885,35,35,0,16,915965,0
0,21672,12,12,0,29,20227,1
1,1720929,30,30,1,18,1719919,0
0,1673448,15,15,0,20,1672462,0
0,229325,57,57,0,8,227910,0
0,42175,59,59,0,34,40730,0
1,1613551,55,55,1,19,1612028,0
0,2133734,54,54,0,19,2133172,1
1,6645,68,68,1,37,5179,1
1,401095,20,20,1,10,399644,0
1,440871,73,73,1,7,439477,0
0,129767,80,80,0,0,128835,0
0,1142020,52,52,0,18,1140743,0
1,377047,76,76,1,7,375671,0
0,407538,24,24,0,0,407386,1
1,395492,77,77,1,7,394080,0
1,19699,10,10,1,28,17999,0
1,1461,38,38,1,32,1,0
1,1480218,11,11,1,20,1478512,1
0,56906,8,8,0,27,55425,1
1,5370,61,61,1,23,3925,0
1,587224,82,82,1,6,585836,0
0,1861827,33,33,0,19,1860490,0
0,1206373,50,50,0,20,1204937,0
1,385849,47,47,1,6,384458,0
0,18574,37,37,0,31,17966,0
0,1178108,70,70,0,17,1176633,0
0,39044,67,67,0,37,37485,1
