Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,0,25,38827,224,224,1,25,35924,1
1,0,186,4679,182,182,1,133,1893,0
0,0,140,9869,53,53,0,58,8244,1
1,0,69,825842,310,310,1,40,823350,0
0,0,141,502030,129,129,0,0,499289,0
1,0,98,79193,76,76,1,3,76656,1
1,0,144,2449,0,0,1,151,11,0
0,0,143,7010,291,291,0,147,4233,1
0,0,167,66235,246,246,0,41,64469,1
1,0,27,21822,317,317,1,13,18838,1
0,0,77,104384,70,70,0,65,101526,1
0,0,5,77950,17,17,0,24,74987,1
1,0,4,510295,140,140,1,27,507728,1
1,0,69,847503,311,311,1,40,845194,0
1,0,93,6673,231,231,1,138,3815,0
1,0,10,181574,314,314,1,30,180063,1
1,0,37,625252,227,227,1,28,622190,0
1,0,123,981807,277,277,1,52,979324,1
1,0,139,16715,185,185,1,46,14439,1
1,0,156,2940,211,211,1,135,73,1
0,0,20,8383,218,218,0,136,7271,0
1,0,134,2351295,263,263,1,58,2348338,0
1,0,175,13435,271,271,1,143,10745,0
0,0,164,86361,187,187,0,15,83876,1
1,0,4,225780,77,77,1,27,223900,0
1,0,4,578138,98,98,1,27,576360,0
1,0,28,504140,267,267,1,2,500865,0
1,0,27,636457,212,212,1,13,635763,0
1,0,1,847195,162,162,1,35,845501,0
1,0,169,492362,27,27,1,1,490971,0
1,0,46,236472,222,222,1,3,233641,0
0,0,140,779582,202,202,0,31,776703,0
1,0,111,7188,123,123,1,120,4384,0
1,0,112,8831,109,109,1,118,6234,1
0,0,51,650247,100,100,0,27,648161,0
1,0,109,984,304,304,1,150,31,0
1,0,149,976,20,20,1,74,2,1
0,0,135,24358,272,272,0,143,21590,0
0,0,68,2274,50,50,0,78,1,0
1,0,126,628999,142,142,1,12,626735,0
1,0,12,13990,114,114,1,16,11384,1
0,0,157,14595,64,64,0,67,12280,1
1,0,67,3158,253,253,1,92,408,1
1,0,134,2327020,262,262,1,58,2324351,0
0,0,30,9939,56,56,0,101,8926,0
0,0,24,65081,82,82,0,25,62292,1
1,0,15,9052,245,245,1,141,7148,1
0,2,181,805554,313,313,0,40,804478,0
0,0,95,782600,203,203,0,31,781197,0
1,0,87,3790,209,209,1,88,806,0
1,0,134,1573917,165,165,1,58,1571158,0
0,0,9,1995400,173,173,0,56,1993454,0
0,0,25,794113,241,241,0,33,793295,0
1,0,14,644271,96,96,1,58,641242,1
0,0,167,56433,247,247,0,41,54619,1
1,0,92,654938,251,251,1,27,652152,0
1,0,179,1032018,49,49,1,44,1029001,0
0,0,40,1140600,195,195,0,46,1138639,0
1,0,176,411506,58,58,1,33,408474,0
1,0,127,924785,235,235,1,57,922281,1
0,0,85,1204,125,125,0,86,2,0
0,0,110,8397,15,15,0,9,5578,1
0,0,7,764760,201,201,0,31,762982,0
1,0,90,3210,22,22,1,73,616,1
1,0,106,587182,273,273,1,37,584897,1
0,0,174,4421,31,31,0,76,3684,1
1,0,182,6116,57,57,1,102,4224,1
0,0,13,606712,236,236,0,12,603989,0
