Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,23,65081,87,87,0,24,62292,1
1,0,185,4679,184,184,1,134,1893,0
1,0,13,308397,304,304,1,58,305485,0
1,0,70,847503,312,312,1,39,845194,0
0,0,138,502030,131,131,0,0,499289,0
1,0,96,79193,80,80,1,3,76656,1
1,0,141,2449,0,0,1,152,11,0
0,0,140,7010,292,292,0,148,4233,1
1,0,129,491613,134,134,1,40,488857,1
1,0,26,21822,317,317,1,13,18838,1
1,0,84,3014,97,97,1,66,228,1
1,0,93,639965,258,258,1,23,637563,0
1,0,91,570499,252,252,1,26,567725,0
1,0,158,7457,214,214,1,40,4911,1
1,0,92,6673,233,233,1,139,3815,0
0,0,106,716265,36,36,0,29,713932,0
1,0,83,29749,162,162,1,28,26915,1
1,0,144,1133115,272,272,1,52,1130755,1
1,0,136,60671,176,176,1,46,58218,1
1,0,153,2940,212,212,1,136,73,1
0,0,19,8383,219,219,0,137,7271,0
0,0,183,17724,294,294,0,59,14986,1
1,0,173,13435,274,274,1,144,10745,0
0,0,162,86361,189,189,0,15,83876,1
1,0,4,510295,141,141,1,26,507728,1
1,0,91,628364,102,102,1,26,625434,0
1,0,27,504140,269,269,1,2,500865,0
1,0,26,636457,213,213,1,13,635763,0
1,0,1,848494,163,163,1,34,847454,0
1,0,167,492362,28,28,1,1,490971,0
1,0,47,236472,223,223,1,3,233641,0
0,0,94,782600,206,206,0,30,781197,0
1,0,109,7188,125,125,1,121,4384,0
1,0,110,8831,111,111,1,119,6234,1
1,0,91,654938,253,253,1,26,652152,0
1,0,107,984,306,306,1,151,31,0
1,0,106,1094,24,24,1,75,159,1
0,0,133,24358,275,275,0,144,21590,0
0,0,90,1225,54,54,0,79,1,1
1,0,123,628999,143,143,1,12,626735,0
1,0,11,13990,116,116,1,16,11384,1
1,0,134,28068,66,66,1,67,25282,1
1,0,68,3158,255,255,1,93,408,1
1,0,132,2351295,266,266,1,58,2348338,0
0,0,29,9939,58,58,0,102,8926,0
1,0,76,10214,242,242,1,25,7875,1
1,0,14,9052,247,247,1,142,7148,1
0,0,46,811998,313,313,0,39,810235,0
1,0,112,4342,85,85,1,31,1385,1
1,0,87,3790,210,210,1,89,806,0
1,0,13,1721524,41,41,1,58,1718519,1
0,0,154,2010044,11,11,0,56,2009265,0
0,0,143,4119,43,43,0,33,967,1
1,0,13,1008775,190,190,1,58,1006142,0
0,0,165,66235,248,248,0,40,64469,1
1,0,36,556405,240,240,1,27,554000,1
1,0,169,8756,145,145,1,45,5919,1
0,0,61,4216,133,133,0,47,1460,1
1,0,174,430057,186,186,1,32,427406,0
0,0,155,1137976,137,137,0,57,1133828,0
0,0,85,1204,127,127,0,87,2,0
0,0,108,8397,16,16,0,9,5578,1
0,0,137,779582,205,205,0,30,776703,0
1,0,146,976,21,21,1,74,2,1
1,0,21,690828,276,276,1,36,688522,0
1,0,6,3258,40,40,1,77,436,0
1,0,180,6116,59,59,1,103,4224,1
0,0,12,606712,238,238,0,12,603989,0
1,0,8,688837,90,90,1,25,685982,0
1,0,116,9121,289,289,1,38,6152,1
1,0,129,33240,56,56,1,40,30436,1
0,0,55,490870,47,47,0,1,489493,0
1,0,170,4777,19,19,1,70,2027,1
0,0,77,26225,207,207,0,65,24447,1
1,0,74,783456,83,83,1,33,780772,0
1,0,161,15107,264,264,1,2,12237,1
0,0,16,169188,308,308,0,44,166855,1
1,0,36,683526,259,259,1,23,681076,0
0,0,24,58458,115,115,0,16,55432,1
0,0,61,1185502,71,71,0,47,1183688,0
1,0,13,644271,100,100,1,58,641242,1
1,0,137,16574,222,222,1,138,14088,1
0,0,156,3713,285,285,0,97,2106,0
1,0,121,59561,140,140,1,50,57681,1
0,0,2,3597,235,235,0,140,1834,0
1,0,102,5794,136,136,1,123,3014,0
0,1,0,655728,168,168,0,18,653962,0
1,0,166,41742,309,309,1,44,39727,1
1,0,21,829858,120,120,1,36,827087,0
0,0,24,794113,243,243,0,32,793295,0
0,0,80,169312,68,68,0,55,166550,0
1,0,75,471708,199,199,1,20,469507,0
1,0,78,122539,191,191,1,14,120197,1
1,0,36,625252,229,229,1,27,622190,0
1,0,75,582823,22,22,1,20,581135,0
0,0,63,702008,180,180,0,31,700188,0
1,0,28,9553,114,114,1,85,7784,0
1,0,144,648458,160,160,1,21,645735,0
0,0,154,1917064,173,173,0,56,1914173,1
1,0,78,25743,231,231,1,14,24748,1
1,0,107,71114,196,196,1,4,69705,1
0,0,119,103187,322,322,0,9,101616,0
1,0,174,411506,60,60,1,32,408474,0
0,0,118,594892,227,227,0,27,591674,0
1,0,86,2350211,167,167,1,59,2347587,0
1,0,135,912033,75,75,1,40,909235,0
1,0,18,12191,232,232,1,14,9909,1
1,0,114,1182,94,94,1,115,1,1
0,0,60,4231,135,135,0,51,1391,1
0,0,154,14595,67,67,0,67,12280,1
1,0,48,9360,256,256,1,94,6577,0
1,0,10,14953,303,303,1,53,12005,1
1,0,45,88710,161,161,1,28,87850,1
1,0,174,760085,244,244,1,32,757590,0
1,0,59,14455,92,92,1,113,11690,0
0,0,161,30562,280,280,0,18,28739,1
0,0,2,4524,241,241,0,141,2574,0
1,0,17,486237,25,25,1,47,483109,0
0,0,87,19758,185,185,0,135,17038,0
0,0,98,47207,84,84,0,112,45534,1
0,0,163,36437,104,104,0,117,35517,1
1,0,38,5595,70,70,1,107,2761,1
1,0,135,931453,225,225,1,40,928565,0
1,0,72,2693,282,282,1,96,396,0
0,0,106,4036,65,65,0,67,1289,1
1,0,60,93761,74,74,1,65,90201,1
1,0,61,11733,76,76,1,82,9154,0
1,0,136,27235,148,148,1,29,24623,1
