Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,37,435022,85,14,434327,1,1
1,8,905931,42,8,905182,3,0
1,20,570089,26,8,569511,3,0
1,0,435780,38,9,435106,3,0
1,38,1654501,40,12,1653854,1,1
1,24,9043,54,18,8369,3,0
1,5,605502,67,5,604933,3,1
1,28,1565614,1,12,1565111,3,1
1,32,37689,21,24,37021,3,0
1,7,4852,23,25,4175,3,1
1,28,509037,87,2,508240,3,0
1,0,1091842,80,9,1091081,3,0
1,12,624606,14,13,623983,3,0
0,3,1204819,52,14,1204091,4,0
1,20,1064488,66,8,1063814,3,0
1,25,1153891,10,11,1153361,3,0
0,23,226568,58,1,225903,4,0
0,39,1728460,2,12,1728161,2,0
1,12,2105453,22,13,2104848,3,1
1,0,179239,36,10,178622,3,1
1,0,1142124,78,9,1141357,3,0
1,15,430900,25,6,430274,3,0
1,0,23414,74,36,22770,3,1
1,0,1104782,82,9,1104102,3,0
1,37,743660,15,14,742947,3,1
0,30,487905,30,1,487330,4,0
1,38,1560119,60,12,1559271,3,1
1,1,674303,16,14,673725,3,0
1,13,40393,24,16,39713,3,0
1,33,947466,43,8,947014,6,1
1,8,458055,68,8,457426,1,1
1,8,17347,19,23,16595,3,0
1,18,16318,34,28,15653,3,0
1,20,829209,72,8,828511,1,0
0,12,388745,86,2,388080,4,1
1,22,28212,63,34,27637,3,0
1,38,1690792,3,12,1690151,3,1
1,27,547641,32,3,547144,3,1
1,36,10697,76,19,10023,3,0
1,33,738855,27,8,738181,3,0
1,0,590414,56,0,589821,3,1
1,4,136301,83,7,135930,3,0
1,0,1192387,81,9,1191707,3,0
1,11,17274,12,21,16765,1,1
0,23,430064,8,1,429414,4,1
1,26,18257,75,37,17595,1,1
1,9,7133,45,30,6462,1,0
1,17,17466,29,26,16792,3,0
1,38,1732531,55,12,1731896,3,0
1,38,1702393,4,12,1701380,3,1
1,35,7796,50,32,7137,3,0
1,28,1607447,39,12,1606965,3,1
1,14,1832,11,21,1149,1,1
1,32,1682099,7,13,1681482,3,0
1,2,11162,77,38,10509,3,0
1,22,20358,62,34,19783,3,1
1,38,1507852,59,12,1507205,1,1
1,12,840636,5,13,840031,3,1
1,28,1661430,18,12,1660327,1,1
1,21,9429,44,29,8836,3,0
1,32,696859,33,13,696377,6,0
1,34,755,53,18,93,3,0
1,0,478865,37,9,478194,3,1
1,19,4297,73,35,3704,3,1
1,12,974933,46,13,974307,3,0
1,32,2154696,61,13,2154196,3,0
1,23,5579,84,39,4953,3,1
1,0,1172053,79,9,1171373,3,0
1,20,1154177,65,8,1153497,1,1
1,16,25270,48,31,24593,3,0
1,11,468982,17,0,468374,3,0
1,38,1728056,35,12,1727928,1,0
1,20,490761,70,8,490084,3,0
1,0,524975,57,0,524382,3,1
1,33,587573,71,8,586902,3,0
1,16,4340,20,23,3579,3,0
1,6,5600,51,33,4947,0,1
1,12,2529,28,17,1873,5,1
1,10,3403,13,22,2810,1,0
1,4,71817,9,20,71311,1,0
1,29,1266,0,40,595,3,0
1,33,475933,69,8,475256,1,0
1,12,989314,47,13,988862,1,0
1,31,7594,6,15,6935,3,1
1,22,472195,49,4,471323,3,1
1,6,4574,31,27,3870,1,0
0,17,1721960,41,12,1721430,4,0
1,22,68829,64,34,68515,3,1
