Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,301826,242,242,2,87,31,299487
1,32772,96,96,1,115,4,29866
1,373899,28,28,2,26,5,371611
0,736453,79,79,3,70,23,733583
1,190552,80,80,2,50,21,188093
1,1516533,42,42,2,60,32,1514173
0,476728,160,160,2,104,15,474101
1,54199,31,31,2,45,58,51578
1,988200,208,208,2,34,23,985546
1,1062895,233,233,2,83,31,1060310
0,246580,87,87,2,6,19,243767
0,758419,45,45,2,21,22,756089
0,488327,204,204,3,22,23,485541
0,322020,236,236,1,91,19,319249
0,33755,26,26,2,54,44,30969
1,423886,67,67,2,115,6,421607
1,993191,43,43,2,60,32,990858
1,1150558,194,194,1,86,23,1147775
0,1152306,222,222,2,114,24,1149583
0,1161129,167,167,2,110,32,1158613
1,32977,216,216,1,113,85,30248
1,33431,25,25,2,96,55,30843
1,504459,247,247,2,109,12,501763
1,1757922,190,190,2,33,32,1755496
0,553480,175,175,3,64,1,550610
0,16153,29,29,2,45,56,13502
0,355891,244,244,2,115,6,353552
0,256062,180,180,2,120,5,253732
0,25495,51,51,2,96,61,22811
1,8691,197,197,2,29,78,6085
0,200907,150,150,2,48,11,198367
1,15222,213,213,2,8,82,12538
0,867065,115,115,2,70,23,864531
1,1966199,102,102,2,39,31,1963551
0,557682,143,143,2,104,15,555076
0,1024944,232,232,2,83,31,1022305
0,556640,254,254,2,95,7,553878
0,1176004,166,166,2,102,32,1173581
1,156435,33,33,3,83,19,153649
1,447956,178,178,2,63,24,445458
0,735391,127,127,2,72,31,733043
0,1102343,226,226,2,76,24,1099539
0,1314205,90,90,2,110,32,1311887
1,1034195,210,210,2,5,23,1031508
1,650434,38,38,3,37,14,647633
1,1800605,107,107,2,72,31,1797939
1,125132,81,81,2,46,4,122370
0,17633,21,21,1,63,53,14982
0,4209,120,120,2,66,69,1423
0,187941,231,231,2,36,5,185287
0,1065877,200,200,2,108,26,1063010
0,432191,134,134,2,17,16,429708
0,536061,258,258,2,85,15,533287
1,568671,174,174,2,2,32,566338
0,1123469,221,221,1,92,24,1120611
0,443238,158,158,2,103,15,440629
0,422008,202,202,2,32,17,419294
1,86749,153,153,1,67,3,84020
1,50888,152,152,2,51,20,48174
0,107074,256,256,1,71,2,104540
0,622377,40,40,2,10,31,620053
0,404953,162,162,2,85,15,402317
1,352788,251,251,2,108,18,350182
0,185153,23,23,2,129,27,182502
0,389747,165,165,1,127,15,387120
0,309384,109,109,2,120,5,306937
0,475012,141,141,2,112,7,472298
0,7162,19,19,2,45,51,4697
0,378614,164,164,2,85,15,375975
1,23290,218,218,2,72,50,20606
0,9867,61,61,2,96,63,7462
0,473501,203,203,3,121,23,470631
0,1713823,7,7,2,84,30,1711409
0,381075,237,237,2,17,16,378301
0,14845,48,48,3,50,60,11996
0,8092,214,214,2,43,83,5759
1,13979,199,199,1,0,80,11352
0,1053239,111,111,2,3,23,1050549
0,15062,86,86,2,45,66,12438
1,1100880,196,196,1,38,23,1098211
1,8115,173,173,3,44,49,5269
1,379418,171,171,2,51,34,376740
1,2047179,186,186,2,79,31,2044399
1,665447,74,74,3,22,23,662586
0,519004,253,253,2,73,7,516413
0,1324430,89,89,2,60,32,1322082
0,1156973,235,235,2,30,31,1154469
1,9580,198,198,1,37,79,6749
0,428427,88,88,3,82,20,425755
1,1096585,234,234,2,99,31,1093946
0,810651,170,170,2,123,22,808318
0,12594,151,151,2,45,76,9967
1,9089,217,217,2,23,85,6579
0,45075,123,123,1,25,72,42286
1,1611964,99,99,1,81,30,1609262
0,1828534,106,106,2,83,31,1825916
1,483376,95,95,2,105,24,480707
