Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
1,419867,28,28,4,0,33,419010
0,1465514,80,80,20,0,47,1464672
0,25097,62,62,34,0,25,24648
1,1795788,48,48,21,0,9,1795339
1,360949,36,36,22,0,30,360191
1,2126663,22,22,22,0,34,2125983
0,106626,2,2,0,0,49,106183
1,1512529,19,19,22,0,30,1511897
0,1801028,85,85,22,0,6,1800459
0,187539,4,4,8,0,17,186739
0,249755,31,31,16,0,1,248955
0,18478,13,13,28,0,25,17702
0,455384,88,88,16,0,48,454782
1,582312,0,0,4,0,4,581629
1,334491,37,37,22,0,50,333733
0,249191,30,30,12,0,27,247920
0,192020,69,69,7,0,28,191304
1,390327,11,11,22,0,30,389875
1,5270,61,61,33,0,25,4815
1,1249825,35,35,22,0,34,1249373
1,541726,15,15,13,0,25,540743
1,260224,52,52,11,0,52,259535
1,1915099,47,47,21,0,9,1914353
1,1404526,44,44,20,0,53,1403861
0,229245,104,104,4,0,36,228751
0,439937,91,91,11,0,2,439305
0,47774,64,64,34,0,25,46746
0,215252,107,107,9,0,7,214692
1,2055769,82,82,21,0,2,2055320
0,241884,25,25,10,0,35,241294
1,404244,66,66,24,0,51,403621
1,171000,38,38,19,2,16,170227
1,1351182,74,74,22,0,50,1350433
0,407069,58,58,15,0,36,406629
0,190450,99,99,3,0,43,190100
0,1500372,20,20,22,0,6,1500022
0,19040,55,55,32,0,25,18594
0,1292754,32,32,22,0,6,1292116
0,873951,10,10,14,0,11,873346
1,491545,93,93,11,0,2,490745
1,447197,92,92,11,0,17,446745
1,1335494,33,33,22,0,32,1334871
0,311877,51,51,3,1,29,310678
1,508560,16,16,13,3,30,507559
1,930230,65,65,21,0,9,929781
1,1962152,46,46,21,0,21,1961658
1,2108845,49,49,22,0,6,2108303
0,24241,27,27,30,0,25,23690
1,369901,12,12,3,0,42,369557
1,533902,105,105,4,0,0,533237
0,1327169,34,34,22,0,6,1326369
1,17745,71,71,2,0,11,16912
0,509814,68,68,5,4,18,509014
0,58473,1,1,12,0,19,57784
1,1040614,101,101,21,0,39,1040054
1,374729,77,77,23,1,10,373830
0,258510,79,79,3,0,43,258202
1,981065,40,40,22,0,23,980400
0,3241,97,97,27,0,20,2789
1,2054734,8,8,22,0,32,2054069
0,469905,60,60,15,0,15,469240
0,293595,57,57,15,0,41,292942
0,21345,87,87,36,0,27,20596
1,533360,14,14,13,0,14,532377
1,1188592,75,75,22,0,6,1187834
0,398759,78,78,18,0,50,398094
1,30522,86,86,35,0,40,29761
0,2006097,83,83,21,0,8,2005645
1,2046738,9,9,22,0,6,2046013
1,989439,21,21,22,0,6,989029
1,535778,102,102,12,3,53,534804
0,574747,29,29,17,0,14,573722
1,985522,39,39,22,0,5,984710
1,548988,17,17,13,0,53,548008
1,976756,41,41,22,0,45,976091
0,2720,96,96,27,0,20,1839
1,522763,56,56,17,0,28,521789
0,1771495,45,45,21,0,12,1771046
0,434224,90,90,11,0,17,433772
0,25672,63,63,34,0,25,25139
0,835812,95,95,17,5,25,835600
0,1133852,98,98,18,0,37,1133403
1,6198,5,5,25,0,44,5503
1,614408,94,94,11,0,22,613791
1,213832,24,24,11,0,17,212933
1,2014286,50,50,22,0,40,2013333
1,3147,53,53,31,0,25,2389
0,121362,106,106,1,0,26,120919
0,386361,59,59,15,0,15,385708
1,166893,3,3,7,0,46,166510
1,16682,72,72,2,0,3,16377
0,203789,70,70,7,0,28,203085
1,1589372,23,23,22,0,34,1589025
1,1379076,73,73,22,0,5,1378327
1,1474,7,7,26,0,38,1025
1,972438,42,42,22,0,6,971773
1,26420,54,54,32,0,25,25257
1,1694721,6,6,21,1,13,1693825
1,430215,103,103,22,0,30,429457
1,2189977,81,81,21,0,21,2189303
0,4118,26,26,29,0,25,3549
0,45033,89,89,37,0,24,44497
1,576203,43,43,6,0,4,575301
0,1027295,100,100,21,0,31,1026840
0,1966887,84,84,22,0,30,1966264
1,561672,67,67,4,0,0,560914
1,1125325,76,76,22,0,5,1124525
0,1533448,18,18,22,0,6,1532690
