Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,493953,86,86,14,2,17,493609
0,9446,81,81,39,2,3,7647
0,5255,73,73,20,3,34,2763
0,287968,35,35,14,0,42,286817
1,2113129,4,4,18,2,1,2112008
1,339503,95,95,5,2,17,338613
0,571876,57,57,5,2,38,570902
0,446968,56,56,18,2,1,445976
0,747945,58,58,9,3,40,745645
0,415,77,77,38,3,18,74
0,34900,83,83,41,2,44,34403
1,1568049,33,33,18,3,23,1567459
0,806760,70,70,12,2,37,805210
1,752839,23,23,18,2,1,752246
1,1050401,91,91,17,2,7,1050087
1,434997,7,7,4,0,19,434554
0,796791,67,67,13,2,39,795304
1,57693,63,63,11,2,12,56791
1,1786875,47,47,17,2,27,1786159
0,776048,25,25,12,2,46,775092
0,155295,89,89,42,2,14,154171
0,14817,15,15,26,4,18,14209
0,74492,20,20,3,2,39,73803
1,1037381,92,92,17,2,27,1036476
0,1751697,6,6,17,1,7,1751281
0,318778,36,36,14,2,6,318386
1,1078009,0,0,14,2,17,1077569
0,994934,12,12,13,2,11,993237
0,524283,28,28,6,2,30,523744
0,1575106,48,48,17,2,27,1574483
0,810033,66,66,13,2,11,808633
1,1226536,43,43,18,2,1,1225625
0,292232,49,49,4,0,8,291777
1,520133,87,87,14,2,17,519183
1,579,45,45,32,4,18,1
0,1605890,79,79,17,2,7,1605162
1,1285729,42,42,18,2,1,1284860
0,767190,26,26,12,2,37,766081
1,624101,24,24,6,2,29,623469
1,6256,13,13,24,3,18,4343
1,3678,41,41,30,2,32,1996
0,415202,8,8,4,0,20,414870
0,456990,38,38,5,2,20,456034
1,26464,54,54,34,2,17,24623
0,43740,64,64,2,0,5,43105
0,556441,27,27,6,0,28,555500
0,310242,37,37,14,2,17,309811
0,409340,94,94,18,0,10,408633
1,14261,88,88,21,3,2,11517
1,69017,90,90,4,5,35,68592
1,1643722,31,31,18,2,41,1642802
1,84542,19,19,28,2,4,84111
1,2665,11,11,23,3,18,1541
1,1180888,78,78,16,2,33,1179752
0,309976,52,52,15,3,17,309383
1,598,60,60,35,4,18,2
0,876723,51,51,14,0,42,875551
1,1445532,21,21,18,2,41,1444765
1,829655,3,3,17,2,7,828978
1,1493,82,82,40,2,24,471
1,1115404,69,69,18,2,1,1114712
1,2418,10,10,22,2,25,715
1,447558,85,85,14,2,21,447142
0,1735953,72,72,16,0,36,1735636
0,1067748,80,80,14,2,17,1067248
1,2026309,9,9,18,0,23,2025506
1,483,18,18,28,2,4,1
0,1735532,71,71,16,3,26,1734645
1,647282,5,5,18,2,41,646296
0,787501,68,68,13,2,11,786539
1,18905,62,62,37,3,18,17574
0,703062,65,65,17,2,7,702091
0,1021876,55,55,17,2,7,1021316
1,3924,61,61,36,2,15,2239
0,302448,34,34,14,2,17,301999
0,796821,75,75,12,2,46,795886
1,15756,44,44,31,2,37,14755
0,232541,29,29,0,2,35,231249
0,459577,76,76,15,3,16,458618
1,75990,1,1,8,2,31,74263
0,156954,97,97,1,2,22,155782
1,389254,84,84,10,2,0,388238
0,12112,17,17,27,0,18,11726
1,3821,14,14,25,3,18,1521
0,1680779,32,32,18,2,1,1680060
1,11816,46,46,33,3,18,9516
1,571767,74,74,18,2,41,570709
1,1658775,30,30,18,2,26,1658077
0,1430208,22,22,18,2,1,1429318
0,1217,96,96,43,2,22,24
1,145136,59,59,7,2,7,143469
1,828817,2,2,17,0,43,828224
0,408301,93,93,18,2,1,407363
0,1000,40,40,29,2,9,2
0,457660,39,39,5,0,13,457121
1,2307,50,50,19,2,2,1621
0,322283,53,53,15,2,45,321357
0,11716,16,16,27,0,18,11321
