Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,2058,40,89,1
0,326018,98,22,323649
0,476915,37,3,476025
1,114401,60,59,112584
0,2332647,195,54,2330257
1,80177,230,13,78453
1,8014,80,10,5234
1,38673,85,105,38134
1,74182,14,21,73355
1,346408,201,60,346178
0,921959,61,35,919047
0,1129891,141,42,1128836
0,1242,4,88,1100
1,40192,221,63,38090
1,612,67,43,103
0,929,170,128,3
1,9109,148,27,6119
1,35665,146,27,33647
0,223303,151,24,221369
1,30441,191,131,27628
0,1639600,194,53,1637255
1,67398,219,52,66466
0,122795,35,8,121053
0,1121147,211,42,1120731
1,216652,229,26,216302
1,53404,239,37,53066
1,20561,116,40,20007
1,215357,59,25,214062
0,543960,133,6,542011
1,23503,234,5,21764
1,56787,222,63,55507
0,857583,105,32,854629
0,615828,182,24,612868
1,282,114,84,1
0,640889,120,14,638082
1,119855,177,7,118959
0,202126,73,57,201683
0,157631,180,50,157230
0,218,150,122,3
0,578507,183,24,577500
1,1238,209,87,288
1,12423,124,25,10753
1,100170,26,13,98553
1,74123,119,58,73479
0,18217,115,114,15659
0,3521,171,85,564
0,1415811,19,46,1415230
0,229154,238,7,227562
1,47729,118,58,46503
1,10942,196,30,10619
1,45868,108,45,44981
0,11981,100,111,9216
0,706956,36,27,704473
0,6341,58,99,3546
1,2270,55,96,1968
0,1034156,71,38,1031220
0,1842055,205,49,1840004
1,7838,212,134,7741
1,4117,6,64,2168
0,1411,1,71,1097
0,51751,103,21,49106
1,2184398,82,54,2181870
1,76293,27,58,74227
1,28437,215,54,25624
0,1399795,23,46,1397420
0,8610,75,102,7165
1,46358,88,15,44298
0,1122061,140,42,1121249
1,57738,223,63,56893
0,11717,172,129,11061
0,629366,204,46,627348
1,34648,28,37,31775
1,41471,152,54,39177
1,42976,227,39,42014
0,2400,162,125,211
0,3058,134,119,647
1,71748,32,52,71398
0,202086,210,56,201577
0,368350,47,56,367493
1,83691,192,2,83233
1,33312,76,38,32212
0,1050263,154,47,1049748
0,358301,168,56,355485
1,23148,135,41,20869
1,1686,2,74,1
0,4959,96,109,2632
0,1130987,142,42,1130442
1,33975,34,26,32362
1,47107,231,13,46339
1,25397,147,27,23602
0,215,5,117,3
1,254233,176,35,251879
0,6051,106,83,3256
0,270124,225,53,267929
0,3364,166,127,1112
1,8105,56,97,5802
0,27721,87,82,25157
0,88109,216,24,87465
0,794,8,65,3
1,36817,145,27,35931
1,2248,20,76,1520
0,903359,156,53,902475
0,513917,236,5,513297
1,24472,184,14,23342
1,46075,232,13,44094
1,4117,224,47,1346
1,1991,174,130,321
1,6985,78,103,4031
0,281858,149,54,279111
0,581031,237,19,580762
0,783875,65,29,783721
0,228,17,73,1
0,8634,57,98,6310
1,28634,137,17,28311
0,392192,101,28,389835
1,1874,54,96,3
1,17833,30,46,17345
0,609376,203,11,606950
1,2735,213,135,1362
0,1444050,22,46,1442287
0,922,9,66,412
0,481120,104,0,478592
1,4965,123,116,2173
1,2208,139,120,1
1,15743,202,31,15195
1,2190,94,108,1
1,7580,83,104,6150
0,317768,188,54,315381
0,781276,163,30,779186
1,46181,179,14,45609
0,703894,110,22,701207
0,2011553,3,51,2010699
1,563,43,91,3
1,1066,0,68,947
0,617,52,94,1
0,498493,235,5,497942
0,6017,218,137,3066
1,52798,121,115,51977
0,585603,185,12,583600
0,805,62,80,2
1,89160,178,3,86623
1,88412,91,42,86619
1,101201,25,13,100433
0,5632,13,69,4214
0,1161359,89,53,1159086
0,929,16,73,492
1,10351,173,130,7736
0,1338938,189,46,1337487
0,699100,68,23,696140
1,16367,31,46,13620
