Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,1160395,346,22,1159709
0,18293,403,95,17649
0,7200,132,45,6637
0,55025,358,83,54438
0,1464254,86,28,1463646
1,494817,200,23,494134
0,2016292,328,27,2015537
0,9057,387,90,8128
0,4555,130,64,3962
0,683253,96,28,682675
0,844685,367,22,844098
0,112468,400,94,111971
0,4870,339,78,4217
0,2682,262,76,1954
1,163066,7,8,162521
0,1955674,331,28,1955171
1,756041,97,28,755460
1,1368555,308,28,1367977
1,1487064,90,28,1486369
1,44362,299,15,43754
0,265007,256,23,264339
0,128464,415,14,128075
1,1921473,106,28,1920904
0,458814,351,17,458125
0,316703,370,16,316059
0,548591,223,19,548190
0,1604078,114,28,1603452
0,85370,59,58,84681
0,17407,259,74,16820
0,1033564,296,18,1032920
0,1738968,26,27,1738420
1,6677,378,86,6162
1,278070,219,3,277438
0,1731530,335,28,1730895
0,477620,203,6,476973
0,567879,380,20,567310
0,10321,124,61,9749
0,1686468,110,28,1685914
0,7629,227,70,6979
0,1645,355,83,1004
1,376974,53,3,376393
1,807869,23,27,807330
1,426818,134,4,426186
1,39701,50,57,39237
0,307213,257,23,306524
1,782,44,54,129
1,1132814,316,28,1132212
1,36247,70,15,35642
1,170789,66,14,170208
1,717564,268,27,716974
1,1637787,112,28,1637185
0,487905,167,3,487330
1,628319,181,13,627354
0,1932015,105,28,1931470
0,2027,38,52,1341
0,1743790,334,28,1743146
0,515441,204,6,514617
1,1118634,318,28,1117975
0,347837,17,3,347313
0,250738,322,3,250097
1,1579,2,34,1004
0,570400,74,7,569783
1,552848,142,22,552180
0,52129,263,76,51491
1,19103,379,86,18480
0,4829,255,73,4128
1,603114,236,10,602248
0,436400,11,16,435816
0,1148872,409,27,1148204
0,339516,222,3,338926
1,1581481,212,26,1580900
1,1081012,405,27,1080440
0,15668,343,79,15015
1,6518,302,1,5874
1,33001,18,14,32291
1,504309,427,4,503911
1,668902,146,22,668282
0,1995197,214,27,1994529
0,216763,321,3,216122
1,588625,154,4,587969
0,416038,382,31,415541
1,463493,99,0,462885
1,14001,393,92,13402
0,385637,19,22,384969
1,602338,319,6,601643
1,1845,388,91,1489
1,375081,120,12,374536
0,1473130,85,28,1472456
1,1134002,407,27,1133424
0,444695,30,3,444042
0,42175,385,88,41594
0,9261,126,62,8539
0,382637,55,3,382086
1,35038,301,1,34388
0,416102,245,16,415509
1,13194,348,81,12661
1,653543,82,11,652923
1,320021,422,4,319437
0,78452,298,15,77844
0,2893,383,87,2228
1,38888,77,14,38181
1,22995,303,14,22609
1,1066542,404,27,1065931
0,438865,350,17,438233
0,345916,151,16,345353
0,499409,365,22,498789
0,262228,36,22,261515
1,350824,413,14,350453
0,224418,164,17,223792
0,17055,46,56,16375
1,1049,282,48,204
1,807166,149,22,806492
1,874302,273,27,873739
1,281,9,36,3
0,16035,341,78,15472
1,311595,411,14,311224
1,6125,10,36,5631
0,578960,75,7,578253
0,1670681,27,27,1670067
0,544317,144,22,543658
0,285006,244,16,284026
0,482096,252,16,481446
0,16573,162,66,15977
0,1236,123,44,691
1,2152710,104,28,2152117
0,218124,163,17,217234
1,505974,293,10,505327
0,314714,121,12,314181
0,729959,94,28,729363
1,358436,276,14,358038
1,594102,230,10,593512
1,22696,71,15,22061
0,1261581,323,26,1260970
0,160801,402,94,160181
0,10872,102,60,10210
1,412598,278,30,411981
1,517192,292,10,516578
1,53893,305,11,53279
0,253563,286,16,252895
0,237931,284,16,237338
0,266589,174,17,265723
0,1078119,190,28,1077559
1,468817,295,10,467864
1,1243238,184,28,1242540
0,1176204,398,23,1175530
0,6197,386,89,5628
1,47042,78,14,46335
0,374682,40,28,374062
0,1420673,89,28,1420101
1,388432,192,29,388043
0,70633,57,58,70109
0,11230,373,49,10535
0,694973,306,27,694383
0,1677970,116,28,1677395
0,5761,374,50,5141
0,1886263,215,27,1885670
1,311313,421,4,310645
1,282372,171,14,281740
0,456160,320,23,455483
1,36542,384,88,35961
0,541203,101,6,540331
1,377041,362,12,376496
1,1142859,408,27,1142287
1,1481322,91,28,1480762
1,1306828,206,26,1306226
1,1739,5,33,1236
0,410649,138,14,410251
0,1587490,209,26,1586741
1,2442,283,48,1612
1,327963,423,4,327337
0,1411596,20,28,1410949
0,260483,175,17,259935
0,917604,272,27,916954
1,371048,275,14,370350
1,11470,45,55,11081
0,377176,139,14,376607
0,1943209,8,28,1942577
1,7470,267,77,6853
0,120884,33,14,120498
1,21243,14,38,20602
