Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,301826,242,0,31,299487
1,125132,82,0,4,122370
0,387675,28,1,5,385183
0,736453,80,0,23,733583
1,190552,81,0,21,188093
1,1516533,43,0,32,1514173
0,476728,160,0,15,474101
1,54199,31,0,58,51578
1,988200,208,0,23,985546
1,1062895,233,0,31,1060310
0,246580,88,0,19,243767
0,758419,46,0,22,756089
0,488327,204,0,23,485541
0,322020,236,1,19,319249
0,33755,25,0,44,30969
1,423886,68,0,6,421607
1,993191,44,0,32,990858
1,1150558,194,1,23,1147775
0,1152306,222,0,24,1149583
0,1161129,167,0,32,1158613
1,32977,216,1,85,30248
1,33431,24,0,55,30843
1,504459,247,0,12,501763
1,1757922,190,0,32,1755496
0,553480,175,0,1,550610
0,16153,29,0,56,13502
0,355891,244,0,6,353552
0,309384,109,0,5,306937
0,25495,52,0,61,22811
1,8691,197,0,78,6085
0,200907,151,0,11,198367
1,15222,213,0,82,12538
0,867065,115,0,23,864531
1,1966199,102,0,31,1963551
0,557682,143,0,15,555076
0,1024944,232,0,31,1022305
0,556640,254,0,7,553878
0,1176004,166,0,32,1173581
1,156435,33,0,19,153649
1,447956,178,0,24,445458
0,735391,127,0,31,733043
0,1102343,226,0,24,1099539
0,1314205,91,0,32,1311887
1,1034195,210,0,23,1031508
1,650434,39,0,14,647633
1,1800605,107,0,31,1797939
0,187941,231,0,5,185287
0,17633,20,1,53,14982
0,4209,120,0,69,1423
0,198843,126,0,5,196225
0,1065877,200,0,26,1063010
0,432191,134,0,16,429708
0,536061,258,0,15,533287
1,568671,174,0,32,566338
0,1123469,221,1,24,1120611
0,443238,158,0,15,440629
0,422008,202,0,17,419294
1,125047,38,0,3,122324
1,50888,153,0,20,48174
0,107074,256,1,2,104540
0,622377,41,0,31,620053
0,404953,162,0,15,402317
1,352788,251,0,18,350182
0,185153,22,0,27,182502
0,389747,165,1,15,387120
1,373899,27,0,5,371611
0,475012,141,0,7,472298
0,7162,18,0,51,4697
0,378614,164,0,15,375975
1,23290,218,0,50,20606
0,9867,62,0,63,7462
0,473501,203,0,23,470631
0,1713823,7,0,30,1711409
0,381075,237,0,16,378301
0,14845,49,0,60,11996
0,8092,214,0,83,5759
1,13979,199,1,80,11352
0,1053239,111,0,23,1050549
0,15062,87,0,66,12438
1,1100880,196,1,23,1098211
1,8115,173,0,49,5269
1,379418,171,0,34,376740
1,2047179,186,0,31,2044399
1,665447,75,0,23,662586
0,519004,253,0,7,516413
0,1324430,90,0,32,1322082
0,1156973,235,0,31,1154469
1,9580,198,1,79,6749
0,428427,89,0,20,425755
1,1096585,234,0,31,1093946
0,810651,170,0,22,808318
0,12594,152,0,76,9967
1,9089,217,0,85,6579
0,45075,123,1,72,42286
1,1611964,99,1,30,1609262
0,1828534,106,0,31,1825916
1,483376,96,0,24,480707
0,1865809,104,0,31,1862957
0,139709,255,0,1,138117
0,404584,117,0,22,402206
0,1731005,192,0,29,1728183
1,2060220,185,0,31,2057611
0,255561,16,1,23,253126
1,12158,10,0,43,9363
0,21771,85,0,64,19363
0,506933,17,0,23,504105
0,465591,163,0,15,462814
1,292921,245,0,6,290183
0,579976,259,0,15,577358
1,16377,145,0,74,13513
1,199898,35,1,19,197364
0,1633076,188,1,31,1630521
0,602587,42,0,31,600077
0,768058,77,0,23,765323
1,1129346,169,0,32,1126764
0,20976,59,0,46,18310
0,5331,150,0,75,2932
1,204433,64,0,14,201761
0,1825289,189,0,32,1822929
0,700388,14,0,15,697620
1,6553,119,0,68,4166
0,1169591,223,0,24,1166769
1,21057,156,0,3,18763
1,565683,139,0,6,563344
0,262330,243,0,6,259847
0,1251196,182,0,30,1248512
1,1015945,209,0,23,1013150
1,1147282,168,0,32,1144757
1,721934,76,0,23,719244
0,1582479,187,1,31,1579936
1,237391,72,0,9,234584
1,218715,57,0,17,215884
0,11062,4,0,39,8450
1,1570228,98,0,30,1568267
0,308185,67,1,23,306188
0,561205,47,0,8,558770
0,410579,135,0,16,407808
0,57145,58,0,46,54284
0,849988,206,0,23,847319
1,456596,15,0,5,453903
1,60414,227,0,87,57859
1,1007699,207,0,23,1005114
1,7898,9,0,42,5274
0,245264,50,0,0,242583
0,4732,122,0,71,2051
0,21506,60,0,62,18858
1,23129,125,0,73,20358
0,472189,71,0,18,469499
0,1014233,133,1,31,1011738
0,34218,61,0,62,31414
1,2102129,101,0,31,2099463
1,82609,137,0,19,79808
0,1317329,97,0,30,1314768
1,396615,252,1,18,394090
1,585607,83,0,6,583331
1,10603,6,0,40,7772
1,460231,148,0,13,457457
0,276688,211,1,24,274223
1,187696,249,0,9,185057
1,10893,92,0,33,8359
1,4709,30,0,57,2067
0,119436,257,0,2,116878
1,14331,230,0,88,11776
1,1650945,11,0,31,1648582
0,7054,121,0,70,4541
0,476059,149,1,5,473501
1,3590,212,0,82,942
0,1816759,191,0,32,1814429
1,2010450,108,0,32,2008033
1,529696,177,0,1,526820
0,280853,65,0,23,278046
0,436968,246,1,6,434224
1,408724,138,1,35,406415
0,1036042,116,0,25,1033382
0,25731,8,0,41,22858
0,35248,53,0,61,32438
1,2099,2,0,37,3
0,903444,114,1,23,900637
1,559805,147,1,13,557001
1,2171498,184,0,31,2169063
0,817323,79,0,23,814468
1,35322,193,0,77,32611
0,585177,205,0,23,582301
1,41459,219,0,86,38613
0,584285,176,0,1,581721
0,421319,161,0,15,418704
0,16042,110,0,67,13142
1,629809,112,0,13,627020
1,620072,45,0,8,617640
1,86749,154,1,3,84020
0,1115182,220,0,24,1112378
0,546370,48,0,8,543824
0,22835,146,0,74,20457
0,65602,23,0,54,62846
0,321121,172,0,32,318503
1,3099,86,0,65,313
1,2201057,56,0,32,2198634
0,1882048,103,1,31,1879670
0,2065088,100,1,31,2062416
1,8030,144,0,74,5538
1,54570,26,0,44,51787
1,12466,229,0,87,9926
0,1745786,12,0,31,1743231
0,1189938,225,0,24,1187140
1,596823,95,0,8,594229
1,565358,84,0,32,563163
1,935144,130,0,31,932427
1,7331,93,0,48,4482
