Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1174010,188,188,43,1168695,0
0,7476,1,0,60,127,0
0,609988,155,155,10,605538,1
1,1168419,160,160,50,1158055,1
0,1169344,40,40,44,1158920,0
1,18759,149,149,106,8548,1
0,52109,58,58,5,41772,1
0,18044,36,36,30,13358,1
0,424181,138,138,10,413739,0
0,225503,222,222,8,215040,0
0,940675,88,88,50,930293,1
0,330111,107,107,15,322282,0
0,458221,52,52,10,447770,1
0,328819,66,66,30,318764,0
0,18045,173,173,109,7588,0
0,83617,100,100,27,73238,1
1,743366,12,12,28,733188,0
1,723117,129,129,33,714922,0
1,796435,42,42,32,786038,0
1,296067,108,108,33,288610,0
0,5595,7,7,63,1,1
0,818767,118,118,29,810066,0
0,573981,156,156,10,563530,0
0,390898,218,218,34,380639,1
0,6832,25,25,75,2,1
0,46065,190,190,38,35644,1
0,842551,211,211,35,832124,0
0,63253,174,174,110,52823,1
0,78813,196,196,52,72588,1
0,149649,113,113,23,143326,0
0,816094,68,68,33,805796,0
1,11516,31,31,78,2172,0
0,26884,63,63,16,16478,1
0,22907,2,1,51,17262,1
0,5929,148,148,70,3,0
0,193120,183,183,23,183374,0
0,9732,191,191,115,1,0
0,970184,184,184,46,959784,1
0,213628,99,99,53,203258,0
1,647211,114,114,46,636820,0
0,138304,215,215,13,127910,1
0,13701,150,150,107,3220,1
0,328850,46,46,29,318795,0
0,6482,4,4,62,3,0
0,2345195,165,165,52,2334792,0
1,24168,110,110,97,13795,0
0,459416,64,64,34,449073,1
0,3034,90,90,94,2,0
0,252973,111,111,34,245186,1
0,62951,93,93,54,52593,1
0,347060,219,219,34,339083,1
0,45907,205,205,51,38978,1
0,141214,130,130,27,130814,1
1,789447,212,212,35,779023,0
0,475972,78,78,2,470489,0
0,409474,179,179,33,399029,1
0,47512,123,123,29,39092,1
0,802151,13,13,51,791817,1
0,33876,199,199,120,23431,0
0,1717944,170,170,49,1709332,1
0,745319,39,39,32,734937,0
0,891588,19,19,37,881293,0
1,934030,201,201,49,926063,1
0,127475,171,171,55,117093,1
0,6144,65,65,86,3,0
0,31191,119,119,35,20812,1
0,7954,192,192,116,2,0
0,229560,213,213,28,219184,1
0,571102,14,14,39,563645,0
0,69531,217,217,13,59128,1
0,13163,67,67,87,2601,0
0,5956,21,21,74,733,0
1,12411,133,133,101,1858,1
0,7614,0,2,61,1030,1
0,54831,125,125,52,44338,1
0,2370774,163,163,51,2360422,0
0,40663,197,197,119,30197,1
0,24830,101,101,27,14646,1
1,79790,207,207,51,69342,1
0,64484,127,127,30,55971,1
1,127990,147,147,54,117557,1
0,32850,186,186,9,28143,1
0,207695,54,54,15,204667,0
0,36235,216,216,13,25871,1
0,11492,32,32,79,5925,1
1,1233807,177,177,46,1224493,1
0,30892,75,75,22,20468,0
0,54812,6,6,32,50482,1
0,311779,49,49,52,306168,0
0,53674,203,203,59,43286,1
0,21015,77,77,18,14486,1
0,5481,153,153,108,1,0
1,9243,23,23,66,3028,1
0,89016,116,116,42,78604,1
1,574518,141,141,12,565420,0
1,27113,193,193,117,16665,1
0,71128,82,82,45,60752,1
0,347622,84,84,51,337195,0
0,65194,22,22,0,54806,0
0,6388,121,121,99,323,1
0,243214,167,167,33,232769,0
0,42086,37,37,82,31758,0
0,11147,33,33,80,4143,0
0,22103,169,169,33,14689,1
0,239506,159,159,15,231410,0
1,217558,3,3,25,208664,0
0,1049310,61,61,48,1038856,0
0,8611,115,115,69,3,0
0,62219,38,38,82,51870,0
0,11755,17,17,73,1460,0
0,586972,45,45,8,576509,0
0,88568,198,198,119,78117,1
1,13525,106,106,96,3143,0
0,623676,89,89,12,613279,0
0,11537,175,175,111,1098,1
0,505288,11,11,4,494840,0
0,780586,126,126,36,770171,0
0,158064,214,214,13,147781,1
0,12312,195,195,52,7990,1
0,1352921,105,105,50,1342479,0
0,353296,96,96,52,348857,1
0,13465,34,34,81,4539,0
0,1147531,122,122,43,1137248,0
1,595061,50,50,25,584655,0
0,1048694,137,137,41,1038261,0
1,214744,9,9,38,206012,1
0,3341,189,189,114,3,0
0,7213,73,73,90,1,1
0,225073,35,35,27,217409,1
0,5392,79,79,92,2,0
0,610602,140,140,26,600223,0
0,548110,151,151,18,541838,0
1,47046,60,60,68,36631,0
0,2017022,5,5,49,2011656,0
1,566844,202,202,17,556376,0
0,39653,24,24,37,33702,1
0,5905,55,55,84,1,1
1,1020605,200,200,49,1014285,0
0,17336,69,69,12,6891,1
0,18048,70,70,88,7666,0
0,19647,57,57,85,9304,1
0,796416,187,187,29,789632,0
0,252780,210,210,16,242332,0
0,18102,16,16,72,7759,0
1,8750,10,10,65,352,0
0,230403,209,209,10,222871,0
0,638425,172,172,18,628055,0
0,34341,15,15,32,26002,1
0,5467,74,74,91,2,0
0,6239,135,135,103,3,1
0,5231,26,26,67,1,1
0,1301475,103,103,50,1291027,1
0,536745,47,47,18,531839,0
1,1351353,152,152,46,1340908,0
0,107347,18,18,57,100946,1
0,5029,28,28,77,2,1
0,82139,162,162,3,71676,1
0,534898,112,112,33,529028,1
0,97751,81,81,23,91272,1
0,1028641,20,20,40,1018586,0
0,64329,97,97,1,53935,0
0,6046,80,80,93,2,1
0,364064,59,59,33,353619,1
0,501262,102,102,20,494255,0
0,1392969,104,104,50,1382515,1
1,736142,224,224,29,726108,0
0,13390,158,158,71,2987,0
0,635740,95,95,14,625292,0
0,29124,136,136,103,18715,1
0,510863,220,220,6,500484,0
0,288082,208,208,51,277652,0
0,12200,8,8,64,1905,1
1,12299,144,144,105,2049,1
0,775910,131,131,33,765552,0
0,424985,124,124,31,418893,0
1,11317,86,86,30,5433,1
0,487135,85,85,38,478468,1
0,656937,154,154,22,646543,0
0,400877,72,72,31,396354,0
0,490459,109,109,7,480062,0
0,188433,128,128,10,178087,1
0,34480,143,143,24,24017,1
0,76316,29,29,31,71757,1
0,22220,223,223,39,11901,1
0,508446,157,157,10,497998,0
0,1684949,56,56,50,1674489,1
0,72152,146,146,28,61794,1
0,7036,194,194,118,1,1
1,40882,91,91,41,30431,1
1,14711,134,134,102,4479,1
0,6131,48,48,83,890,0
1,8139,178,178,112,1,1
1,15047,120,120,98,4680,1
0,563694,142,142,26,556752,1
0,46671,98,98,95,36289,1
0,138943,51,51,23,131411,0
0,600090,181,181,33,589645,1
0,656716,87,87,21,646334,0
0,56068,176,176,111,45617,0
0,2345983,164,164,51,2335691,0
0,19621,53,53,57,13649,1
1,25728,92,92,56,21774,1
0,60872,206,206,51,50520,1
0,698669,83,83,23,688299,0
0,545365,221,221,19,535076,0
1,6309,71,71,89,1,1
1,12287,132,132,100,1776,1
0,572820,182,182,11,566630,0
0,1211309,161,161,50,1200861,0
0,53597,30,30,58,43140,1
0,7785,139,139,104,1726,0
0,1848415,41,41,47,1838054,0
0,902706,94,94,38,892584,0
1,52443,43,43,49,42064,1
0,34912,168,168,33,27714,1
0,685626,117,117,30,675331,0
1,11957,27,27,76,1581,1
0,31572,76,76,36,21127,1
0,12152,204,204,121,4158,1
0,102066,44,44,11,91621,1
1,364951,62,62,56,356759,1
0,6015,145,145,28,103,1
1,571446,180,180,33,561022,1
1,9497,185,185,113,3,0
0,332104,166,166,33,321641,0
