Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,691121,77,1,0,47,26,690219,0,7
0,13686177,101,1,0,6,59,13681198,0,8
1,243279,50,3,1,29,20,239581,1,7
0,68272,3,1,0,7,3,58754,0,3
1,429433,59,3,1,17,11,427442,0,7
1,350186,26,3,1,12,19,346785,1,7
0,66842,1,1,0,4,1,57327,0,1
1,335949,41,3,1,41,13,332707,0,7
0,691157,94,1,0,49,25,690288,0,7
1,12430,55,3,1,25,49,10808,0,7
1,788786,11,3,1,16,31,784983,1,7
1,515535,65,3,1,10,11,511714,0,7
1,1065895,85,3,1,9,28,1062773,0,7
1,213136,66,3,1,56,13,209912,0,7
1,523896,83,3,1,24,19,520486,1,7
0,682558,13,1,0,52,25,680154,0,7
1,11747,62,3,1,17,36,8811,1,7
0,13341943,99,2,0,41,4,13338355,0,6
1,75404,52,3,1,41,24,71586,1,7
1,142018,88,3,1,19,55,138758,0,7
0,5300473,98,1,0,7,4,5299394,0,6
0,15212101,100,2,0,27,4,15211018,0,6
0,683957,10,2,0,0,25,682659,0,7
1,259348,93,3,1,11,14,255518,0,7
1,49886,74,3,1,28,52,46212,1,7
1,605221,45,3,1,40,15,603080,0,7
1,4154,15,3,1,15,37,495,1,7
0,66669,0,1,0,2,0,58960,0,0
1,608315,33,3,1,47,20,604602,1,7
0,1167562,7,1,0,56,7,1158722,0,5
0,681513,78,2,0,25,26,680680,0,7
1,1109524,76,3,1,51,27,1105571,1,7
1,300213,43,3,1,12,19,298375,0,7
1,337613,96,3,1,22,20,336009,1,7
1,45188,12,3,1,26,18,41949,1,7
1,581064,64,3,1,10,11,577246,0,7
1,44223,89,3,1,32,56,37483,0,7
1,602157,20,3,1,13,17,598276,0,7
1,1379419,39,3,1,36,30,1376159,1,7
1,469174,17,3,1,23,9,465341,0,7
1,458499,82,3,1,12,19,454699,1,7
1,506172,35,3,1,24,28,503089,1,7
1,5940,31,3,1,36,42,2119,1,7
1,11129,47,3,1,5,46,7485,1,7
1,469188,90,3,1,50,10,465982,0,7
1,430849,58,3,1,17,11,429539,0,7
1,1515,27,3,1,57,35,1,1,7
0,3249490,5,1,0,5,6,3247895,1,4
1,605437,63,3,1,17,11,602729,1,7
1,250445,44,3,1,15,19,248646,0,7
1,956510,84,3,1,53,27,952710,1,7
1,22025,18,3,1,18,39,18780,1,7
1,89728,25,3,1,46,8,86798,1,7
1,1287934,38,3,1,32,30,1284098,1,7
1,2438,53,3,1,33,48,6,1,7
1,1560,56,3,1,42,50,1,0,7
1,1219117,102,3,1,14,58,1216267,0,8
1,377243,97,3,1,47,20,373542,1,7
1,8619,79,3,1,30,54,6454,1,7
1,24589,81,3,1,47,20,20873,1,7
1,7843,42,3,1,35,44,4586,1,7
1,1054897,57,3,1,46,23,1051832,0,7
0,8248,8,1,0,1,57,38,1,7
1,1056376,80,3,1,8,29,1052489,0,7
1,26933,86,3,1,39,55,23172,1,7
1,3051,9,3,1,45,33,1,0,7
1,337509,70,3,1,12,19,335044,0,7
1,233680,60,3,1,14,21,230456,1,7
1,65270,54,3,1,28,32,61929,1,7
1,296568,95,3,1,47,20,292768,1,7
1,66045,92,3,1,48,31,62704,1,7
1,37473,48,3,1,9,47,33883,1,7
1,80768,61,3,1,14,21,77490,1,7
1,31420,91,3,1,9,28,29030,1,7
1,507690,37,3,1,38,16,504439,0,7
1,74860,87,3,1,39,55,71606,1,7
1,280505,29,3,1,14,21,278556,1,7
1,81642,30,3,1,43,25,72760,1,7
1,22348,46,3,1,44,45,18539,1,7
1,248545,71,3,1,12,19,245762,0,7
1,643039,72,3,1,37,15,641519,0,7
1,2692,73,3,1,33,51,2,0,7
0,1413533,6,1,0,3,5,1404693,0,4
1,587652,32,3,1,47,20,583996,1,7
1,43248,36,3,1,25,12,39526,1,7
0,3247776,4,1,0,3,6,3246661,1,4
1,247107,67,3,1,41,13,243913,0,7
1,7274,21,3,1,10,41,4287,1,7
1,4357,16,3,1,31,38,527,1,7
1,1671383,24,3,1,32,30,1667499,1,7
1,10865,75,3,1,22,53,9594,1,7
1,1372594,34,3,1,51,27,1368890,0,7
1,1529406,69,3,1,32,30,1525576,1,7
1,1217402,68,3,1,21,30,1214406,0,7
0,68055,2,1,0,3,2,58540,0,2
0,6687,14,0,0,55,12,6370,1,7
1,250771,49,3,1,53,22,246869,1,7
1,654188,51,3,1,51,27,650496,0,7
1,19296,40,3,1,20,43,16819,0,7
1,444498,23,3,1,10,11,440737,1,7
1,1690,22,3,1,34,34,2,0,7
1,446032,28,3,1,47,20,442286,1,7
1,8539,19,3,1,54,40,4712,0,7
