Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,6912,10,1,36,4054,1
1,166284,41,3,5,162214,0
0,3512,39,1,45,570,1
1,2374,42,3,46,2,0
0,613086,35,1,11,611617,1
0,39716,20,1,14,38265,1
1,106904,21,3,4,101847,0
0,2321780,60,1,20,2320431,0
1,2321637,22,3,21,2320534,0
1,513352,29,3,12,509741,1
1,5459,11,3,37,369,1
0,588483,38,1,3,586278,0
1,6009,72,3,56,1594,1
0,574606,47,1,2,573398,0
0,10189,66,1,55,8723,0
0,12357,13,1,39,7624,1
1,13981,7,3,16,12296,1
0,219070,16,1,6,217661,0
0,2470,33,1,43,2,0
1,48747,75,3,15,45235,1
0,14382,54,1,3,9970,1
0,1879,4,2,24,2,1
0,826483,26,1,10,824891,0
0,22057,57,1,7,19652,1
0,3165,36,2,44,1,1
0,528926,68,1,10,526836,1
1,2326,12,3,38,2,0
1,72456,17,3,5,65872,1
1,467386,67,0,10,461438,1
1,576641,69,3,1,572922,0
0,515521,32,1,6,512909,1
1,1251315,40,3,18,1250056,1
1,85207,71,3,3,81746,1
1,31870,56,3,50,22712,1
0,585395,46,1,2,582072,0
0,2053,50,1,32,2,0
1,13747,18,3,17,12191,1
1,6974,53,3,49,1995,1
0,1537,1,2,26,2,1
0,1556,2,2,59,3,1
0,1997,5,1,25,1,0
0,26175,24,2,20,23011,1
1,375450,15,3,22,373273,0
1,11280,8,3,34,2713,1
0,72487,45,1,21,68564,1
0,3322,9,2,35,2,0
0,2309,31,1,31,3,0
0,5982,0,1,58,4234,1
0,4784,27,1,42,3,0
0,1059473,74,1,19,1058121,0
0,2868,25,1,28,1600,1
0,348754,59,1,21,344585,1
0,4686,63,2,53,1,1
0,24031,23,1,27,21731,1
0,478366,55,1,13,476669,1
0,4676,65,1,54,3,0
0,1271,28,1,29,3,0
1,8695,51,3,33,5075,0
0,2498,43,1,47,3,0
1,1119042,64,3,18,1112740,1
0,595601,34,1,11,591036,1
0,78154,48,1,0,73799,1
0,37338,37,1,23,35617,1
0,799963,44,1,8,796517,0
0,89064,49,1,0,84641,1
0,769652,6,1,9,767703,0
0,5803,62,1,52,896,1
0,4720,19,1,41,2,0
0,4039,61,1,51,1,1
0,2312,52,1,48,2,0
0,35785,3,1,7,34078,1
0,5221,30,1,30,2141,1
1,4653,14,3,40,1,0
0,152656,70,1,5,149750,0
0,2190,73,1,57,1,0
0,21673,58,1,23,20189,1
