Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,1160395,346,346,21,3,1,55,1159709,0
1,18293,403,403,94,3,1,155,17649,0
0,7200,132,132,44,4,0,24,6637,0
0,55025,358,358,82,4,0,100,54438,0
0,1464254,86,86,27,4,0,96,1463646,0
0,494817,200,200,22,4,0,14,494134,1
0,2016292,328,328,26,4,0,62,2015537,0
0,9057,387,387,89,4,0,90,8128,0
0,4555,130,130,63,4,0,130,3962,0
0,683253,96,96,27,4,0,57,682675,0
1,844685,367,367,21,3,1,112,844098,0
1,112468,400,400,93,1,1,37,111971,0
0,4870,339,339,77,4,0,139,4217,0
0,2682,262,262,75,4,0,130,1954,0
0,158502,17,17,8,4,0,1,158113,0
0,1955674,331,331,27,4,0,159,1955171,0
0,756041,97,97,27,4,0,96,755460,1
0,1368555,308,308,27,4,0,75,1367977,1
0,1487064,90,90,27,4,0,28,1486369,1
1,44362,299,299,14,3,1,121,43754,1
0,265007,256,256,22,4,0,5,264339,0
0,128464,415,415,13,2,0,7,128075,0
0,1921473,106,106,27,4,0,57,1920904,1
0,458814,351,351,16,4,0,99,458125,0
0,316703,370,370,15,4,0,46,316059,0
0,548591,223,223,18,2,0,41,548190,0
0,1604078,114,114,27,4,0,75,1603452,0
0,85370,59,59,57,4,0,76,84681,0
0,17407,259,259,73,4,0,43,16820,0
0,1033564,296,296,17,4,0,166,1032920,0
1,1738968,26,26,26,3,1,41,1738420,0
0,6677,378,378,85,4,0,89,6162,1
0,278070,219,219,3,4,0,156,277438,1
0,1731530,335,335,27,4,0,57,1730895,0
0,477620,203,203,6,4,0,112,476973,0
0,567879,380,380,19,2,0,88,567310,0
0,10321,124,124,60,4,0,43,9749,0
0,1686468,110,110,27,4,0,96,1685914,0
0,7629,227,227,69,4,0,43,6979,0
0,1645,355,355,82,4,0,104,1004,0
0,376974,53,53,3,4,0,149,376393,1
1,807869,23,23,26,3,1,117,807330,1
0,426818,134,134,4,4,0,128,426186,1
0,39701,50,50,56,4,0,43,39237,1
0,307213,257,257,22,4,0,14,306524,0
0,782,44,44,53,4,0,126,129,1
0,1132814,316,316,27,4,0,57,1132212,1
0,36247,70,70,14,4,0,63,35642,1
0,170789,66,66,13,4,0,31,170208,1
0,717564,268,268,26,4,0,122,716974,1
0,1637787,112,112,27,4,0,57,1637185,1
0,487905,167,167,3,4,0,149,487330,0
1,628319,181,181,12,3,1,65,627354,1
0,1932015,105,105,27,4,0,96,1931470,0
0,2027,38,38,51,4,0,71,1341,0
0,1743790,334,334,27,4,0,57,1743146,0
0,515441,204,204,6,4,0,65,514617,0
0,1118634,318,318,27,4,0,151,1117975,1
1,347837,16,16,3,3,1,9,347313,0
0,250738,322,322,3,4,0,156,250097,0
0,1579,2,2,33,4,0,165,1004,1
0,578960,74,74,7,4,0,114,578253,0
0,552848,142,142,21,4,0,162,552180,1
0,52129,263,263,75,4,0,130,51491,0
1,19103,379,379,85,3,1,31,18480,1
0,4829,255,255,72,4,0,38,4128,0
0,603114,236,236,9,4,0,15,602248,1
0,436400,10,10,15,4,0,26,435816,0
0,1148872,409,409,26,4,0,34,1148204,0
0,339516,222,222,3,4,0,82,338926,0
0,1581481,212,212,25,4,0,84,1580900,1
0,1081012,405,405,26,4,0,168,1080440,1
0,15668,343,343,78,4,0,20,15015,0
0,6518,302,302,1,4,0,149,5874,1
0,33001,18,18,13,4,0,47,32291,1
1,504309,427,427,4,3,1,144,503911,1
0,668902,146,146,21,4,0,77,668282,1
0,1995197,214,214,26,4,0,148,1994529,0
0,216763,321,321,3,4,0,142,216122,0
1,588625,154,154,4,3,1,108,587969,1
0,416038,382,382,30,4,0,64,415541,0
1,463493,99,99,0,3,1,79,462885,1
0,14001,393,393,91,4,0,152,13402,1
1,385637,19,19,21,3,1,55,384969,0
0,602338,319,319,6,4,0,92,601643,1
0,1845,388,388,90,2,0,87,1489,1
0,375081,120,120,11,4,0,25,374536,1
0,1473130,85,85,27,4,0,27,1472456,0
0,1134002,407,407,26,4,0,48,1133424,1
0,444695,30,30,3,4,0,110,444042,0
0,42175,385,385,87,4,0,148,41594,0
0,9261,126,126,61,4,0,43,8539,0
0,382637,55,55,3,4,0,156,382086,0
0,35038,301,301,1,4,0,120,34388,1
0,416102,245,245,15,4,0,23,415509,0
1,13194,348,348,80,3,1,105,12661,1
0,653543,82,82,10,4,0,54,652923,1
0,320021,422,422,4,4,0,97,319437,1
0,78452,298,298,14,4,0,85,77844,0
0,2893,383,383,86,4,0,146,2228,0
0,38888,77,77,13,4,0,56,38181,1
0,22995,303,303,13,2,0,56,22609,1
0,1066542,404,404,26,4,0,69,1065931,1
0,438865,350,350,16,4,0,21,438233,0
0,345916,151,151,15,4,0,133,345353,0
1,499409,365,365,21,3,1,55,498789,0
0,262228,36,36,21,4,0,167,261515,0
0,350824,413,413,13,2,0,98,350453,1
0,224418,164,164,16,4,0,21,223792,0
0,17055,46,46,55,4,0,43,16375,0
0,1049,282,282,47,4,0,68,204,1
0,807166,149,149,21,4,0,116,806492,1
1,874302,273,273,26,3,1,117,873739,1
0,281,8,8,35,5,0,73,3,1
0,16035,341,341,77,4,0,53,15472,0
0,311595,411,411,13,2,0,98,311224,1
0,6125,9,9,35,4,0,73,5631,1
0,582243,75,75,7,4,0,158,581596,0
0,1670681,27,27,26,4,0,122,1670067,0
1,544317,144,144,21,1,1,112,543658,0
0,285006,244,244,15,4,0,133,284026,0
0,482096,252,252,15,4,0,109,481446,0
0,16573,162,162,65,4,0,126,15977,0
0,1236,123,123,43,4,0,0,691,0
0,2152710,104,104,27,4,0,159,2152117,1
0,218124,163,163,16,4,0,21,217234,0
0,505974,293,293,9,4,0,15,505327,1
0,314714,121,121,11,4,0,25,314181,0
0,729959,94,94,27,4,0,17,729363,0
0,358436,276,276,13,2,0,56,358038,1
0,594102,230,230,9,4,0,43,593512,1
0,22696,71,71,14,4,0,61,22061,1
1,1261581,323,323,25,3,1,129,1260970,0
0,160801,402,402,93,4,0,49,160181,0
1,10872,102,102,59,3,1,102,10210,0
0,412598,278,278,29,4,0,45,411981,1
0,517192,292,292,9,4,0,6,516578,1
0,53893,305,305,10,4,0,42,53279,1
0,253563,286,286,15,4,0,131,252895,0
0,237931,284,284,15,4,0,23,237338,0
0,266589,174,174,16,4,0,21,265723,0
0,1078119,190,190,27,4,0,159,1077559,0
0,468817,295,295,9,4,0,6,467864,1
0,1243238,184,184,27,4,0,159,1242540,1
0,1176204,398,398,22,4,0,5,1175530,0
0,6197,386,386,88,4,0,153,5628,0
0,47042,78,78,13,4,0,31,46335,1
0,374682,40,40,27,4,0,17,374062,0
0,1420673,89,89,27,4,0,159,1420101,0
0,388432,192,192,28,2,0,74,388043,1
0,70633,57,57,57,4,0,126,70109,0
0,11230,373,373,48,4,0,125,10535,0
0,694973,306,306,26,4,0,70,694383,0
0,1677970,116,116,27,4,0,136,1677395,0
0,5761,374,374,49,4,0,22,5141,0
0,1886263,215,215,26,4,0,101,1885670,0
0,311313,421,421,4,4,0,135,310645,1
0,282372,171,171,13,4,0,47,281740,1
0,456160,320,320,22,4,0,118,455483,0
0,36542,384,384,87,4,0,148,35961,1
0,541203,101,101,6,4,0,65,540331,0
0,377041,362,362,11,4,0,25,376496,1
0,1142859,408,408,26,4,0,48,1142287,1
0,1481322,91,91,27,4,0,75,1480762,1
0,1306828,206,206,25,4,0,91,1306226,1
0,1739,5,5,32,4,0,34,1236,1
0,410649,138,138,13,2,0,31,410251,0
0,1587490,209,209,25,4,0,91,1586741,0
0,2442,283,283,47,4,0,29,1612,1
0,327963,423,423,4,4,0,97,327337,1
0,1411596,20,20,27,4,0,17,1410949,0
0,260483,175,175,16,4,0,99,259935,0
0,917604,272,272,26,4,0,101,916954,0
0,371048,275,275,13,4,0,98,370350,1
0,11470,45,45,54,2,0,126,11081,1
0,377176,139,139,13,4,0,98,376607,0
0,1943209,7,7,27,4,0,57,1942577,0
0,7470,267,267,76,4,0,126,6853,1
0,120884,33,33,13,2,0,106,120498,0
0,21243,13,13,37,4,0,16,20602,1
0,617680,231,231,9,4,0,15,617066,1
0,340144,412,412,13,4,0,98,339536,0
1,862102,240,240,21,3,1,1,861431,0
0,1875155,216,216,26,4,0,48,1874526,0
0,633183,232,232,9,2,0,95,632827,1
0,59685,47,47,55,4,0,76,58891,0
0,1611491,329,329,26,4,0,122,1610868,0
0,31626,356,356,82,4,0,22,31012,0
0,76266,277,277,13,4,0,47,75574,1
0,430625,11,11,15,4,0,133,430509,0
0,288480,173,173,16,4,0,99,287506,0
0,1187163,345,345,21,4,0,167,1186465,0
0,1200244,311,311,27,4,0,57,1199621,0
0,18926,389,389,91,4,0,150,18276,0
0,2115566,24,24,27,4,0,96,2114982,1
