Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position
0,301826,242,242,31,2,86,299487
1,125132,82,82,4,2,46,122370
0,387675,28,28,5,1,101,385183
0,736453,80,80,23,3,70,733583
1,190552,81,81,21,2,50,188093
1,1516533,43,43,32,2,60,1514173
0,476728,160,160,15,2,104,474101
1,54199,31,31,58,2,45,51578
1,988200,208,208,23,2,34,985546
1,1062895,233,233,31,2,82,1060310
0,246580,88,88,19,2,6,243767
0,758419,46,46,22,2,21,756089
0,488327,204,204,23,3,22,485541
0,322020,236,236,19,1,90,319249
0,33755,25,25,44,2,54,30969
1,423886,68,68,6,2,115,421607
1,993191,44,44,32,2,60,990858
1,1150558,194,194,23,1,85,1147775
0,1152306,222,222,24,2,114,1149583
0,1161129,167,167,32,2,110,1158613
1,32977,216,216,85,1,113,30248
1,33431,24,24,55,2,95,30843
1,504459,247,247,12,2,109,501763
1,1757922,190,190,32,2,33,1755496
0,553480,175,175,1,3,64,550610
0,16153,29,29,56,2,45,13502
0,355891,244,244,6,2,115,353552
0,309384,109,109,5,2,120,306937
0,25495,52,52,61,2,95,22811
1,8691,197,197,78,2,29,6085
0,200907,151,151,11,2,48,198367
1,15222,213,213,82,2,8,12538
0,867065,115,115,23,2,70,864531
1,1966199,102,102,31,2,39,1963551
0,557682,143,143,15,2,104,555076
0,1024944,232,232,31,2,82,1022305
0,556640,254,254,7,2,94,553878
0,1176004,166,166,32,2,102,1173581
1,156435,33,33,19,3,82,153649
1,447956,178,178,24,2,63,445458
0,735391,127,127,31,2,72,733043
0,1102343,226,226,24,2,75,1099539
0,1314205,91,91,32,2,110,1311887
1,1034195,210,210,23,2,5,1031508
1,650434,39,39,14,3,37,647633
1,1800605,107,107,31,2,72,1797939
0,187941,231,231,5,2,36,185287
0,17633,20,20,53,1,63,14982
0,4209,120,120,69,2,66,1423
0,198843,126,126,5,2,76,196225
0,1065877,200,200,26,2,108,1063010
0,432191,134,134,16,2,17,429708
0,536061,258,258,15,2,84,533287
1,568671,174,174,32,2,2,566338
0,1123469,221,221,24,1,91,1120611
0,443238,158,158,15,2,103,440629
0,422008,202,202,17,2,32,419294
1,125047,38,38,3,2,43,122324
1,50888,153,153,20,2,51,48174
0,107074,256,256,2,1,71,104540
0,622377,41,41,31,2,10,620053
0,404953,162,162,15,2,84,402317
1,352788,251,251,18,2,108,350182
0,185153,22,22,27,2,129,182502
0,389747,165,165,15,1,127,387120
1,373899,27,27,5,2,26,371611
0,475012,141,141,7,2,112,472298
0,7162,18,18,51,2,45,4697
0,378614,164,164,15,2,84,375975
1,23290,218,218,50,2,72,20606
0,9867,62,62,63,2,95,7462
0,473501,203,203,23,3,121,470631
0,1713823,7,7,30,2,83,1711409
0,381075,237,237,16,2,17,378301
0,14845,49,49,60,3,50,11996
0,8092,214,214,83,2,43,5759
1,13979,199,199,80,1,0,11352
0,1053239,111,111,23,2,3,1050549
0,15062,87,87,66,2,45,12438
1,1100880,196,196,23,1,38,1098211
1,8115,173,173,49,3,44,5269
1,379418,171,171,34,2,51,376740
1,2047179,186,186,31,2,78,2044399
1,665447,75,75,23,3,22,662586
0,519004,253,253,7,2,73,516413
0,1324430,90,90,32,2,60,1322082
0,1156973,235,235,31,2,30,1154469
1,9580,198,198,79,1,37,6749
0,428427,89,89,20,3,81,425755
1,1096585,234,234,31,2,98,1093946
0,810651,170,170,22,2,123,808318
0,12594,152,152,76,2,45,9967
1,9089,217,217,85,2,23,6579
0,45075,123,123,72,1,25,42286
1,1611964,99,99,30,1,80,1609262
0,1828534,106,106,31,2,82,1825916
1,483376,96,96,24,2,105,480707
0,1865809,104,104,31,2,72,1862957
0,139709,255,255,1,2,87,138117
0,404584,117,117,22,2,89,402206
0,1731005,192,192,29,3,9,1728183
1,2060220,185,185,31,2,98,2057611
0,255561,16,16,23,1,38,253126
1,12158,10,10,43,2,53,9363
0,21771,85,85,64,2,45,19363
0,506933,17,17,23,3,70,504105
0,465591,163,163,15,2,111,462814
1,292921,245,245,6,2,118,290183
0,579976,259,259,15,2,84,577358
1,16377,145,145,74,2,45,13513
1,199898,35,35,19,1,90,197364
0,1633076,188,188,31,1,28,1630521
0,602587,42,42,31,2,82,600077
0,768058,77,77,23,2,70,765323
1,1129346,169,169,32,2,60,1126764
0,20976,59,59,46,2,10,18310
0,5331,150,150,75,2,95,2932
1,204433,64,64,14,2,44,201761
0,1825289,189,189,32,2,60,1822929
0,700388,14,14,15,2,104,697620
1,6553,119,119,68,2,61,4166
0,1169591,223,223,24,3,105,1166769
1,13678,156,156,3,2,16,10931
1,565683,139,139,6,2,115,563344
0,262330,243,243,6,2,81,259847
0,1251196,182,182,30,2,119,1248512
1,1015945,209,209,23,2,70,1013150
1,1147282,168,168,32,2,60,1144757
1,721934,76,76,23,2,34,719244
0,1582479,187,187,31,1,93,1579936
1,237391,72,72,9,2,20,234584
1,218715,57,57,17,2,69,215884
0,11062,4,4,39,2,35,8450
1,1570228,98,98,30,4,40,1568267
0,308185,67,67,23,1,85,306188
0,561205,47,47,8,2,117,558770
0,410579,135,135,16,2,17,407808
0,57145,58,58,46,3,88,54284
0,849988,206,206,23,2,77,847319
1,456596,15,15,5,2,36,453903
1,60414,227,227,87,2,13,57859
1,1007699,207,207,23,2,70,1005114
1,7898,9,9,42,2,62,5274
0,245264,50,50,0,2,2,242583
0,4732,122,122,71,2,95,2051
0,21506,60,60,62,2,95,18858
1,23129,125,125,73,3,95,20358
0,472189,71,71,18,2,48,469499
0,1014233,133,133,31,1,28,1011738
0,34218,61,61,62,2,95,31414
1,2102129,101,101,31,2,98,2099463
1,82609,137,137,19,3,41,79808
0,1317329,97,97,30,2,83,1314768
1,396615,252,252,18,1,11,394090
1,585607,83,83,6,2,118,583331
1,10603,6,6,40,3,1,7772
1,460231,148,148,13,2,24,457457
0,276688,211,211,24,1,93,274223
1,187696,249,249,9,2,15,185057
1,10893,92,92,33,2,58,8359
1,4709,30,30,57,2,50,2067
0,119436,257,257,2,2,14,116878
1,14331,230,230,88,2,24,11776
1,1650945,11,11,31,2,126,1648582
0,7054,121,121,70,2,50,4541
0,476059,149,149,5,1,101,473501
1,3590,212,212,82,2,29,942
0,1816759,191,191,32,2,110,1814429
1,2010450,108,108,32,2,111,2008033
1,529696,177,177,1,2,64,526820
0,280853,65,65,23,2,128,278046
0,436968,246,246,6,1,79,434224
1,408724,138,138,35,1,31,406415
0,1036042,116,116,25,2,122,1033382
0,25731,8,8,41,3,56,22858
0,35248,53,53,61,2,95,32438
1,2099,2,2,37,4,125,3
0,903444,114,114,23,1,47,900637
1,559805,147,147,13,1,89,557001
1,2171498,184,184,31,2,98,2169063
0,817323,79,79,23,2,70,814468
1,35322,193,193,77,2,61,32611
0,585177,205,205,23,3,22,582301
1,41459,219,219,86,3,105,38613
0,584285,176,176,1,0,21,581721
0,421319,161,161,15,2,127,418704
0,16042,110,110,67,3,50,13142
1,629809,112,112,13,3,7,627020
1,620072,45,45,8,2,92,617640
1,86749,154,154,3,1,67,84020
0,1115182,220,220,24,2,75,1112378
0,546370,48,48,8,2,92,543824
0,22835,146,146,74,2,95,20457
0,65602,23,23,54,2,45,62846
0,321121,172,172,32,2,93,318503
1,3099,86,86,65,2,50,313
1,2201057,56,56,32,2,110,2198634
0,1882048,103,103,31,1,116,1879670
0,2065088,100,100,31,1,28,2062416
1,8030,144,144,74,2,50,5538
1,54570,26,26,44,3,54,51787
