Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,0,24,38827,226,25,35924,3
0,0,186,4679,185,135,1893,3
0,0,13,308397,303,59,305485,3
0,0,70,847503,311,40,845194,3
0,0,139,502030,132,0,499289,0
1,0,97,79193,80,3,76656,3
0,0,142,2449,0,153,11,3
1,0,141,7010,291,149,4233,0
1,0,130,491613,135,41,488857,3
1,0,26,21822,316,13,18838,3
1,0,84,3014,98,67,228,3
1,0,5,77950,18,24,74987,0
1,0,4,510295,142,27,507728,3
1,0,159,7457,214,41,4911,3
0,0,92,6673,233,140,3815,3
0,0,107,716265,36,30,713932,0
1,0,83,29749,163,29,26915,3
1,0,145,1133115,271,53,1130755,3
1,0,137,60671,177,47,58218,3
1,0,154,2940,212,137,73,3
0,0,19,8383,219,138,7271,0
1,0,184,17724,293,60,14986,1
0,0,174,13435,273,145,10745,3
1,0,163,86361,190,15,83876,0
0,0,4,225780,81,27,223900,3
0,0,91,628364,102,27,625434,3
0,0,27,504140,268,2,500865,3
0,0,26,636457,213,13,635763,3
0,0,1,848494,164,35,847454,3
0,0,168,492362,28,1,490971,3
0,0,47,236472,223,3,233641,3
0,0,94,782600,206,31,781197,0
0,0,110,7188,126,122,4384,3
1,0,111,8831,112,120,6234,3
0,0,91,654938,253,27,652152,3
0,0,108,984,305,152,31,3
1,0,107,1094,24,76,159,3
0,0,134,24358,274,145,21590,0
1,0,90,1225,54,80,1,0
0,0,124,628999,144,12,626735,3
1,0,11,13990,117,16,11384,3
1,0,135,28068,66,68,25282,3
1,0,68,3158,255,94,408,3
0,0,133,2351295,265,59,2348338,3
0,0,29,9939,58,103,8926,0
1,0,23,65081,87,25,62292,0
1,0,14,9052,247,143,7148,3
0,0,46,811998,312,40,810235,0
1,0,113,4342,85,32,1385,3
0,0,87,3790,210,90,806,3
1,0,13,1721524,41,59,1718519,3
0,0,155,2010044,11,57,2009265,2
1,0,144,4119,43,34,967,0
0,0,13,1008775,191,59,1006142,3
1,0,166,66235,248,41,64469,0
1,0,36,556405,240,28,554000,3
1,0,170,8756,146,46,5919,3
1,0,61,4216,134,48,1460,0
0,0,175,430057,187,33,427406,3
0,0,156,1137976,138,58,1133828,0
0,0,85,1204,128,88,2,0
1,0,109,8397,16,9,5578,0
0,0,138,779582,205,31,776703,0
1,0,147,976,21,75,2,3
0,0,21,690828,275,37,688522,3
0,0,6,3258,40,78,436,3
1,0,181,6116,59,104,4224,3
0,0,12,606712,238,12,603989,0
1,0,74,21218,242,26,18921,3
1,0,117,9121,288,39,6152,3
1,0,130,33240,56,41,30436,3
0,0,55,490870,47,1,489493,0
1,0,171,4777,19,71,2027,3
1,0,77,26225,207,66,24447,0
0,0,75,783456,83,34,780772,3
1,0,162,15107,263,2,12237,3
1,0,16,169188,307,45,166855,0
0,0,128,663320,259,24,660522,0
1,0,24,58458,116,16,55432,0
0,0,61,1185502,71,48,1183688,0
1,0,13,644271,101,59,641242,3
1,0,138,16574,222,139,14088,3
0,0,157,3713,284,98,2106,1
1,0,122,59561,141,51,57681,3
0,0,2,3597,235,141,1834,0
0,0,103,5794,137,124,3014,3
0,1,0,655728,169,18,653962,0
1,0,167,41742,308,45,39727,3
0,0,21,829858,121,37,827087,3
0,0,24,794113,243,33,793295,1
0,0,80,169312,68,56,166550,0
