Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,493953,86,2,1,13,493609,0
1,9446,80,2,1,38,7647,0
0,5255,72,3,0,19,2763,0
0,287968,35,0,0,13,286817,0
1,2113129,4,2,1,17,2112008,1
1,339503,95,2,1,5,338613,1
1,571876,57,2,1,5,570902,0
1,446968,56,2,1,17,445976,0
1,389254,83,2,1,9,388238,1
0,415,76,3,0,37,74,0
1,34900,82,2,1,40,34403,0
0,1568049,33,3,0,17,1567459,1
1,806760,69,2,1,11,805210,0
1,752839,23,2,1,17,752246,1
1,1050401,91,2,1,16,1050087,1
0,434997,7,0,0,4,434554,1
1,796791,66,2,1,12,795304,0
1,57693,62,2,1,10,56791,1
1,1786875,47,2,1,16,1786159,1
1,776048,25,2,1,11,775092,0
1,155295,89,2,1,41,154171,0
0,14817,15,4,0,25,14209,0
1,74492,20,2,1,3,73803,0
1,1037381,92,2,1,16,1036476,1
1,1751697,6,1,1,16,1751281,0
1,318778,36,2,1,13,318386,0
1,1078009,0,2,1,13,1077569,1
1,994934,12,2,1,12,993237,0
1,524283,28,2,1,6,523744,0
1,1575106,48,2,1,16,1574483,0
1,810033,65,2,1,12,808633,0
1,1226536,43,2,1,17,1225625,1
0,292232,49,0,0,4,291777,0
1,520133,87,2,1,13,519183,1
0,579,45,4,0,31,1,1
1,1605890,78,2,1,16,1605162,0
1,1285729,42,2,1,17,1284860,1
1,767190,26,2,1,11,766081,0
1,624101,24,2,1,6,623469,1
0,6256,13,3,0,23,4343,1
1,3678,41,2,1,29,1996,1
0,415202,8,0,0,4,414870,0
1,456990,38,2,1,5,456034,0
1,26464,54,2,1,33,24623,1
0,43740,63,0,0,2,43105,0
0,556441,27,0,0,6,555500,0
1,310242,37,2,1,13,309811,0
0,409340,94,0,0,17,408633,0
0,14261,88,3,0,20,11517,1
0,69017,90,5,0,4,68592,1
1,1643722,31,2,1,17,1642802,1
1,84542,19,2,1,27,84111,1
0,2665,11,3,0,22,1541,1
1,1180888,77,2,1,15,1179752,1
0,309976,52,3,0,14,309383,0
0,598,59,4,0,34,2,1
0,876723,51,0,0,13,875551,0
1,1445532,21,2,1,17,1444765,1
1,829655,3,2,1,16,828978,1
1,1493,81,2,1,39,471,1
1,1115404,68,2,1,17,1114712,1
1,2418,10,2,1,21,715,1
1,447558,85,2,1,13,447142,1
0,1735953,71,0,0,15,1735636,0
1,1067748,79,2,1,13,1067248,0
0,2026309,9,0,0,17,2025506,1
1,483,18,2,1,27,1,1
0,1735532,70,3,0,15,1734645,0
1,647282,5,2,1,17,646296,1
1,787501,67,2,1,12,786539,0
0,18905,61,3,0,36,17574,1
1,703062,64,2,1,16,702091,0
1,1021876,55,2,1,16,1021316,0
1,3924,60,2,1,35,2239,1
1,302448,34,2,1,13,301999,0
1,796821,74,2,1,11,795886,0
1,15756,44,2,1,30,14755,1
1,232541,29,2,1,0,231249,0
0,459577,75,3,0,14,458618,0
1,75990,1,2,1,8,74263,1
1,156954,97,2,1,1,155782,0
1,479784,84,2,1,9,478387,1
0,12112,17,0,0,26,11726,0
0,3821,14,3,0,24,1521,1
1,1680779,32,2,1,17,1680060,0
0,11816,46,3,0,32,9516,1
1,571767,73,2,1,17,570709,1
1,1658775,30,2,1,17,1658077,1
1,1430208,22,2,1,17,1429318,0
1,1217,96,2,1,42,24,0
1,145136,58,2,1,7,143469,1
0,828817,2,0,0,16,828224,1
1,408301,93,2,1,17,407363,0
1,1000,40,2,1,28,2,0
0,457660,39,0,0,5,457121,0
1,2307,50,2,1,18,1621,1
1,322283,53,2,1,14,321357,0
0,11716,16,0,0,26,11321,0
