Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,17,493953,88,1,14,493609
0,3,9446,82,1,39,7647
0,33,5255,74,0,20,2763
0,42,287968,36,0,14,286817
1,1,2113129,4,1,18,2112008
0,20,456990,39,1,5,456034
0,29,524283,29,1,6,523744
0,1,446968,57,1,18,445976
1,0,389254,85,1,10,388238
0,18,415,78,0,38,74
0,44,34900,84,1,41,34403
1,23,1568049,34,0,18,1567459
0,36,806760,71,1,12,805210
1,1,752839,24,1,18,752246
1,7,1050401,92,1,17,1050087
1,17,435956,9,1,4,435030
0,38,796791,68,1,13,795304
1,12,57693,64,1,11,56791
1,27,1786875,48,1,17,1786159
0,46,776048,26,1,12,775092
0,14,155295,91,1,42,154171
0,18,14817,16,0,26,14209
0,38,74492,21,1,3,73803
1,27,1037381,93,1,17,1036476
0,7,1751697,6,1,17,1751281
0,6,318778,37,1,14,318386
1,17,1078009,0,1,14,1077569
0,11,994934,13,1,13,993237
0,28,556441,28,0,6,555500
0,27,1575106,49,1,17,1574483
0,11,810033,67,1,13,808633
1,1,1226536,44,1,18,1225625
0,20,415202,8,0,4,414870
1,17,520133,89,1,14,519183
1,18,579,46,0,32,1
0,7,1605890,80,1,17,1605162
1,1,1285729,43,1,18,1284860
0,36,767190,27,1,12,766081
1,7,145136,60,1,7,143469
1,18,6256,14,0,24,4343
1,31,3678,42,1,30,1996
1,19,434997,7,0,4,434554
0,13,457660,40,0,5,457121
1,17,26464,55,1,34,24623
0,5,43740,65,0,2,43105
1,36,623355,25,0,6,622414
0,17,310242,38,1,14,309811
0,10,409340,95,0,18,408633
1,2,14261,90,0,21,11517
0,8,292232,50,0,4,291777
1,41,1643722,32,1,18,1642802
1,4,84542,20,1,28,84111
1,18,2665,12,0,23,1541
1,32,1180888,79,1,16,1179752
0,17,309976,53,0,15,309383
1,18,598,61,0,35,2
0,42,876723,52,0,14,875551
1,41,1445532,22,1,18,1444765
1,7,829655,3,1,17,828978
1,24,1493,83,1,40,471
1,1,1115404,70,1,18,1114712
1,25,2418,11,1,22,715
1,21,447558,87,1,14,447142
0,35,1735953,73,0,16,1735636
0,17,1067748,81,1,14,1067248
1,23,2026309,10,0,18,2025506
1,4,483,19,1,28,1
0,26,1735532,72,0,16,1734645
1,41,647282,5,1,18,646296
0,11,787501,69,1,13,786539
1,18,18905,63,0,37,17574
0,7,703062,66,1,17,702091
0,7,1021876,56,1,17,1021316
1,15,3924,62,1,36,2239
0,17,302448,35,1,14,301999
0,46,796821,76,1,12,795886
1,36,15756,45,1,31,14755
0,34,232541,30,1,0,231249
0,16,459577,77,0,15,458618
0,39,747945,59,0,9,745645
0,22,156954,97,1,1,155782
1,40,479784,86,1,10,478387
0,18,12112,18,0,27,11726
1,18,3821,15,0,25,1521
0,1,1680779,33,1,18,1680060
1,18,11816,47,0,33,9516
1,41,571767,75,1,18,570709
1,26,1658775,31,1,18,1658077
0,1,1430208,23,1,18,1429318
0,22,1217,96,1,43,24
1,30,75990,1,1,8,74263
1,43,828817,2,0,17,828224
0,1,408301,94,1,18,407363
0,9,1000,41,1,29,2
0,37,571876,58,1,5,570902
1,2,2307,51,1,19,1621
0,45,322283,54,1,15,321357
0,18,11716,17,0,27,11321
