Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,3818,116,116,69,1,30,2061,1
0,497232,54,54,1,0,67,497002,0
1,1362603,66,66,34,1,40,1360342,0
1,10034,9,9,43,1,4,9492,0
1,705460,55,55,23,1,51,703286,0
1,720,117,117,48,1,16,1,0
1,560632,58,58,17,1,57,560198,0
1,160581,125,125,12,1,65,159610,1
1,2942,38,38,56,1,54,882,1
1,53693,61,61,28,1,5,52560,1
1,1058918,107,107,32,1,69,1056777,0
1,1193345,104,104,30,1,17,1191366,0
1,590889,94,94,15,1,47,588715,1
1,2356776,5,5,36,1,60,2355799,0
1,5081,19,19,11,1,39,2874,1
1,82404,8,8,37,1,27,80149,1
1,3053,22,22,50,1,46,873,0
1,501852,63,63,31,1,53,499696,1
1,195717,4,4,7,1,45,194815,0
1,454212,110,110,23,1,62,451945,1
1,1166328,33,33,33,1,61,1164352,1
1,114991,84,84,3,1,10,114542,1
1,161676,78,78,12,1,17,160684,1
1,2832,57,57,59,1,37,619,0
1,26356,46,46,57,1,32,24182,1
1,603844,95,95,15,1,18,602780,1
1,60797,32,32,16,1,22,58671,1
1,508321,37,37,2,1,59,506186,0
1,29015,29,29,54,1,9,27780,1
1,646319,101,101,13,1,1,643902,0
1,395040,109,109,23,1,62,392911,1
1,2179419,98,98,35,1,63,2176948,1
1,742170,80,80,23,1,62,739927,0
1,203063,81,81,6,1,39,200871,0
1,9199,103,103,66,1,20,7001,1
1,606833,40,40,36,1,13,604902,0
1,53186,23,23,0,1,68,51024,0
0,12912,2,2,41,0,49,12295,0
1,5374,106,106,67,1,3,4073,1
1,346367,45,45,23,1,62,344166,1
0,551749,35,35,17,0,64,551012,0
1,656983,74,74,30,1,38,654773,0
0,302402,49,49,12,0,48,301785,1
1,18169,7,7,16,1,2,16115,1
1,2355697,99,99,36,1,13,2354525,0
1,141673,126,126,12,1,17,140918,1
1,38921,64,64,11,1,66,36609,1
0,356850,24,24,39,0,53,356083,1
1,246323,70,70,26,1,2,244452,1
1,258202,87,87,25,1,42,255983,1
1,802663,62,62,27,1,3,801878,0
1,628270,41,41,15,1,47,627785,1
1,1105132,105,105,30,1,38,1103840,1
0,1157244,30,30,29,0,33,1157023,0
1,2001346,68,68,35,1,63,1998842,0
1,122127,119,119,70,1,42,120202,0
1,32651,28,28,53,1,67,31587,1
1,576256,1,1,17,1,57,575726,0
1,13846,11,11,44,1,2,12761,0
1,69895,3,3,21,1,15,67685,1
1,292285,128,128,24,1,7,290090,1
1,479217,79,79,14,1,40,477172,0
1,967593,59,59,36,1,60,965515,1
1,18788,27,27,40,1,30,16752,1
1,1431,21,21,49,1,38,1,0
1,843337,67,67,22,1,34,841178,0
1,27802,123,123,72,1,11,25553,1
0,521,0,0,51,0,54,3,1
1,149082,120,120,70,1,42,147823,0
1,630544,12,12,18,1,12,630077,0
1,85717,43,43,3,1,10,84713,1
1,2356,6,6,42,1,36,188,0
0,116089,77,77,2,0,14,115388,1
1,5373,102,102,65,1,20,3175,0
1,414917,90,90,18,1,12,412986,0
1,551038,42,42,15,1,18,548948,0
1,879776,20,20,25,1,31,877512,0
1,16562,25,25,25,1,42,16113,1
1,522056,129,129,14,1,40,520707,0
1,573072,92,92,17,1,56,571858,0
1,8796,48,48,4,1,49,6766,1
1,194168,88,88,17,1,56,192141,0
1,804175,50,50,23,1,51,801998,0
1,7341,15,15,45,1,23,5542,1
1,1092022,122,122,35,1,63,1090076,1
1,853635,113,113,30,1,17,852247,0
1,6731,39,39,27,1,3,4560,1
1,24063,89,89,64,1,6,21859,0
0,569,76,76,61,0,28,3,1
1,605835,112,112,30,1,17,604711,1
1,20468,93,93,5,1,25,18309,1
1,47761,115,115,69,1,30,45575,0
1,80858,13,13,36,1,60,80019,1
1,143770,130,130,8,1,43,141896,0
1,40865,17,17,21,1,19,38190,1
1,17708,31,31,55,1,6,16425,1
1,107570,34,34,10,1,35,105642,1
1,238993,71,71,24,1,50,236726,1
1,5239,53,53,58,1,24,3059,1
1,2117,26,26,52,1,52,3,1
1,45873,85,85,63,1,2,43711,1
1,305003,100,100,23,1,51,302736,0
1,724179,14,14,18,1,56,722086,0
1,564263,36,36,35,1,32,562332,1
1,487684,132,132,18,1,12,485708,0
1,9794,121,121,71,1,23,7884,1
1,395811,52,52,20,1,29,393328,0
1,399746,91,91,18,1,56,397836,0
1,510087,18,18,30,1,17,508918,0
1,640806,111,111,10,1,35,638620,0
1,630340,44,44,19,1,44,629867,0
1,45587,118,118,70,1,13,43530,1
1,12118,56,56,46,1,8,9896,0
0,591642,60,60,15,0,21,591283,1
1,28251,114,114,68,1,41,27310,0
1,15656,51,51,1,1,58,13635,1
1,551317,82,82,18,1,56,549344,0
1,2323,69,69,60,1,28,1850,0
1,17469,86,86,47,1,16,15220,0
1,2747,83,83,62,1,24,2046,0
1,1525088,97,97,34,1,49,1523784,1
1,1220025,96,96,34,1,40,1218841,0
1,1560715,16,16,36,1,60,1558235,1
1,8315,10,10,30,1,17,7779,1
1,415880,47,47,24,1,7,413892,0
0,352533,108,108,38,0,0,352018,1
1,429,127,127,73,1,61,1,0
0,461012,73,73,10,0,42,460530,0
1,216636,72,72,24,1,7,214564,1
1,61722,124,124,35,1,63,61057,1
1,111044,131,131,9,1,55,109113,0
0,875271,75,75,30,0,26,874933,0
1,1428134,65,65,34,1,40,1426182,0
