Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,12909,146,146,113,0,3,10807,1
0,6110,102,103,101,0,124,3849,0
1,457048,92,93,9,1,40,454787,0
0,478833,231,231,6,0,137,476677,0
0,16869,155,155,116,0,93,14662,0
1,552888,220,220,15,1,51,550654,0
0,835809,99,100,28,0,100,833647,0
0,3770,52,53,89,0,124,732,1
1,828777,111,112,48,1,22,827212,1
1,9061,57,58,74,1,42,6806,1
0,2776,158,158,117,0,41,509,0
1,211189,120,120,34,1,30,209180,1
1,7765,30,31,43,1,48,5519,1
0,3747,24,25,72,0,1,1363,1
0,692573,71,72,19,0,91,690150,0
0,27924,6,7,17,0,90,26149,1
0,754574,178,178,26,0,0,752403,0
0,1178466,119,119,44,0,38,1176085,0
1,53359,118,118,40,1,36,52601,1
1,96434,223,223,5,1,25,94266,1
1,45480,199,199,122,1,24,43330,1
0,604953,82,83,20,0,67,602554,0
1,5633,12,13,62,1,2,4134,0
1,813661,184,184,38,1,113,811541,0
0,4215,73,74,19,0,50,1969,1
0,480713,39,40,4,0,88,478230,0
1,114439,8,9,3,1,68,112868,1
0,14957,65,66,76,0,62,12933,0
1,356577,109,110,53,1,29,354673,0
0,45278,103,104,18,0,21,42840,0
1,50723,124,124,106,1,56,48507,1
1,562476,176,176,10,1,69,560179,0
0,56175,87,88,5,0,31,53914,1
1,1621,66,67,95,1,86,2,1
0,4679,117,117,40,0,130,2307,1
0,11646,127,127,107,0,124,9286,1
0,487264,97,98,17,0,71,485114,0
0,47037,180,180,120,0,1,44773,1
0,371476,175,175,18,0,21,369323,0
0,477337,10,11,9,0,132,476408,0
0,828692,197,197,49,0,52,827244,1
1,909033,34,35,40,1,89,906619,0
0,1062,3,4,71,0,92,1,0
0,15153,209,209,30,0,61,12949,1
1,81519,11,12,5,1,7,79698,1
0,65232,219,219,52,0,60,62692,1
0,707127,50,51,23,0,119,704929,0
0,76316,29,30,52,0,102,74154,1
1,799420,226,226,32,1,66,796943,0
0,3230,131,131,22,0,55,921,1
0,2056,51,52,88,0,124,2,1
0,4947,47,48,86,0,124,2638,0
1,441740,95,96,29,1,12,439797,1
0,2326647,17,18,54,0,112,2325364,0
1,777368,225,225,32,1,114,775140,0
1,51771,234,234,36,1,131,49540,1
0,59089,42,43,57,0,87,56687,1
1,113111,171,171,15,1,51,111105,1
0,79561,121,121,57,0,87,77369,1
1,1451239,132,132,52,1,72,1449053,0
0,1009290,46,47,39,0,117,1006993,0
1,170211,126,126,50,1,93,168412,1
0,4516,55,56,91,0,124,3179,1
0,611448,114,114,10,0,98,610807,0
0,5046,163,163,118,0,110,2860,1
1,1375691,123,123,46,1,16,1373202,0
0,4025,169,169,16,0,16,1761,1
1,224206,204,204,35,1,38,222371,1
1,689616,84,85,54,1,10,687517,0
1,335828,159,159,29,1,9,333633,1
1,1204656,200,200,46,1,16,1202680,0
1,11060,145,145,32,1,66,8994,1
1,2096,149,149,114,1,118,747,1
0,1138,5,6,108,0,124,2,0
1,8253,105,106,42,1,31,6340,1
1,1189025,191,191,52,1,74,1186812,0
1,496899,104,105,1,1,126,495853,0
0,1474,16,17,31,0,101,101,1
0,1039862,78,79,38,0,132,1037046,0
0,20107,70,71,51,0,50,17801,1
0,14203,59,60,33,0,46,11819,1
0,391932,7,8,59,0,3,389746,1
0,3932,166,166,119,0,78,1401,0
0,915393,64,65,34,0,69,914149,0
0,244454,162,162,19,0,125,243822,0
