Strand_Orientation,Chromosome_Id,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
1,22,1037092,369,4,369,1037760
0,95,17649,404,3,404,18293
0,45,6637,137,4,137,7200
0,83,54438,359,4,359,55025
0,28,1463646,89,4,89,1464254
1,23,486679,205,4,205,487260
0,27,1994529,222,4,222,1995197
0,90,8128,388,4,388,9057
0,64,3962,134,4,134,4555
0,28,621803,27,4,27,622513
1,22,806492,155,4,155,807166
0,94,111971,401,1,401,112468
0,78,4217,341,4,341,4870
0,76,1954,269,4,269,2682
1,8,162521,8,4,8,163066
0,28,1955171,333,4,333,1955674
0,28,734867,97,4,97,735451
1,28,1367977,312,4,312,1368555
1,28,1486369,93,4,93,1487064
1,15,35642,73,4,73,36247
0,22,1186465,347,4,347,1187163
0,14,120498,35,2,35,120884
1,28,1920904,109,4,109,1921473
0,17,438233,352,4,352,438865
0,16,308044,370,4,370,308712
0,18,1032920,302,4,302,1033564
0,28,1603452,117,4,117,1604078
0,58,84681,62,4,62,85370
0,74,16820,266,4,266,17407
0,17,496893,127,4,127,497483
1,27,1707370,29,4,29,1707996
1,86,6162,379,4,379,6677
1,3,277438,227,4,227,278070
0,28,1730895,337,4,337,1731530
0,6,476973,210,4,210,477620
0,20,564760,382,2,382,565167
0,61,9749,128,4,128,10321
0,28,1685914,113,4,113,1686468
0,70,6979,235,4,235,7629
0,83,1004,356,4,356,1645
1,3,376393,56,4,56,376974
0,27,767290,276,4,276,767988
1,4,426186,140,4,140,426818
1,57,39237,53,4,53,39701
0,23,264339,264,4,264,265007
1,54,129,47,4,47,782
1,28,1117975,321,4,321,1118634
1,15,30158,74,4,74,30799
1,14,159101,68,4,68,159847
0,27,694383,310,4,310,694973
1,28,1637185,115,4,115,1637787
0,3,487330,172,4,172,487905
1,13,355831,430,3,430,356421
0,28,1931470,108,4,108,1932015
0,52,1341,40,4,40,2027
0,28,1743146,336,4,336,1743790
0,6,514617,211,4,211,515441
1,28,1109041,319,4,319,1109679
0,3,347313,18,3,18,347837
0,3,250097,325,4,325,250738
1,34,1004,3,4,3,1579
0,7,569783,77,4,77,570400
0,22,543658,149,1,149,544317
0,76,51491,270,4,270,52129
1,86,18480,380,3,380,19103
0,73,4128,263,4,263,4829
1,10,598996,238,4,238,599763
0,16,430509,12,4,12,430625
1,27,1142287,409,4,409,1142859
0,3,338926,230,4,230,339516
1,26,1412725,214,4,214,1413348
1,27,1065931,405,4,405,1066542
0,79,15015,345,4,345,15668
1,1,5874,307,4,307,6518
1,14,25487,309,4,309,26110
1,4,503911,428,3,428,504309
1,22,610288,367,4,367,610947
0,27,1934724,221,4,221,1935320
0,3,216122,324,4,324,216763
1,4,587969,160,3,160,588625
0,31,415541,383,4,383,416038
1,0,462885,102,3,102,463493
1,92,13402,394,4,394,14001
0,22,275592,139,4,139,276224
1,6,601643,322,4,322,602338
1,91,1489,389,2,389,1845
0,12,314181,124,4,124,314714
0,28,1472456,88,4,88,1473130
1,27,1099440,407,4,407,1100102
0,3,444042,32,4,32,444695
0,88,41594,386,4,386,42175
0,62,8539,130,4,130,9261
0,3,382086,58,4,58,382637
1,1,34388,306,4,306,35038
0,16,409331,253,4,253,410050
1,81,12661,350,3,350,13194
1,11,640880,84,4,84,641578
1,4,319437,423,4,423,320021
0,15,69732,303,4,303,70385
0,87,2228,384,4,384,2893
1,14,35462,20,4,20,36160
1,13,627354,187,3,187,628319
0,27,978390,281,1,281,978860
0,17,287506,177,4,177,288480
0,16,331098,156,4,156,331967
0,22,467418,365,4,365,467996
0,21,1344239,202,4,202,1344856
0,14,339536,413,4,413,340144
0,17,217234,169,4,169,218124
0,56,16375,49,4,49,17055
1,48,204,289,4,289,1049
1,22,789061,154,4,154,789660
1,27,854569,24,4,24,855201
1,36,3,10,5,10,281
