Strand_Orientation,Chromosome_Id,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
0,43,1168695,188,2,188,1174010
0,60,127,1,2,0,7476
1,10,605538,155,1,155,609988
1,50,1158055,160,3,160,1168419
0,44,1158920,40,1,40,1169344
1,106,8548,149,3,149,18759
1,5,41772,58,1,58,52109
1,30,13358,36,1,36,18044
0,10,413739,139,1,139,424181
0,8,215040,222,1,222,225503
1,50,930293,89,1,89,940675
0,15,322282,108,1,108,330111
1,10,447770,52,1,52,458221
0,30,318764,66,1,66,328819
0,109,7588,173,1,173,18045
1,27,73238,101,1,101,83617
0,28,733188,12,3,12,743366
0,33,714922,130,3,130,723117
0,32,786038,42,3,42,796435
0,33,288610,109,3,109,296067
1,63,1,7,2,7,5595
0,29,810066,119,1,119,818767
0,10,563530,156,1,156,573981
1,34,380639,218,1,218,390898
1,75,2,25,2,25,6832
1,38,35644,190,1,190,46065
0,35,832124,211,1,211,842551
1,110,52823,174,1,174,63253
1,52,72588,196,1,196,78813
0,23,143326,114,2,114,149649
0,33,805796,68,1,68,816094
0,78,2172,31,3,31,11516
1,16,16478,63,1,63,26884
1,51,17262,2,2,1,22907
0,70,3,148,1,148,5929
0,23,183374,183,2,183,193120
0,115,1,191,1,191,9732
1,46,959784,184,1,184,970184
0,53,203258,100,1,100,213628
0,46,636820,115,3,115,647211
1,13,127910,215,1,215,138304
1,107,3220,150,1,150,13701
0,29,318795,46,1,46,328850
0,62,3,4,2,4,6482
0,52,2334792,165,1,165,2345195
0,97,3143,107,3,107,13525
1,34,449073,64,1,64,459416
1,94,3015,85,1,85,13412
1,34,245186,112,1,112,252973
1,54,52593,94,1,94,62951
1,34,339083,219,2,219,347060
1,51,38978,205,2,205,45907
1,27,130814,131,1,131,141214
0,35,779023,212,3,212,789447
0,2,470489,78,2,78,475972
1,33,399029,179,1,179,409474
1,29,39092,123,1,123,47512
1,51,791817,13,1,13,802151
0,120,23431,199,1,199,33876
1,49,1709332,170,2,170,1717944
0,32,734937,39,1,39,745319
0,37,881293,19,1,19,891588
1,49,926063,201,3,201,934030
1,55,117093,171,1,171,127475
