Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,419867,27,0,0,4,419010,1
0,1465514,81,0,0,20,1464672,0
0,25097,63,0,0,34,24648,0
0,1795788,49,0,0,21,1795339,1
0,360949,37,0,0,22,360191,1
0,2126663,21,0,0,22,2125983,1
0,106626,2,0,0,0,106183,0
0,1512529,18,0,0,22,1511897,1
0,1801028,86,0,0,22,1800459,0
0,187539,4,0,0,8,186739,0
0,455384,89,0,0,16,454782,0
0,18478,13,0,0,28,17702,0
0,522763,58,0,0,17,521789,1
0,582312,0,0,0,4,581629,1
0,334491,38,0,0,22,333733,1
0,398960,28,0,0,12,398058,0
0,192020,70,0,0,7,191304,0
0,390327,11,0,0,22,389875,1
0,5270,62,0,0,33,4815,1
0,1249825,36,0,0,22,1249373,1
0,548988,16,0,0,13,548008,1
0,260224,53,0,0,11,259535,1
0,1915099,48,0,0,21,1914353,1
0,1404526,45,0,0,20,1403861,1
0,229245,104,0,0,4,228751,0
0,447197,92,0,0,11,446745,1
0,47774,65,0,0,34,46746,0
0,215252,107,0,0,9,214692,0
0,2055769,83,0,0,21,2055320,1
0,241884,24,0,0,10,241294,0
0,404244,67,0,0,24,403621,1
1,171000,39,2,1,19,170227,1
0,1351182,75,0,0,22,1350433,1
0,469905,61,0,0,15,469240,0
0,190450,99,0,0,3,190100,0
0,1500372,19,0,0,22,1500022,0
0,19040,56,0,0,32,18594,0
0,1292754,33,0,0,22,1292116,0
0,293595,59,0,0,15,292942,0
0,504446,93,0,0,11,503646,1
0,491545,94,0,0,11,490745,1
0,1335494,34,0,0,22,1334871,1
1,311877,52,1,1,3,310678,0
0,516832,14,0,0,13,515849,1
0,930230,66,0,0,21,929781,1
0,1962152,47,0,0,21,1961658,1
0,2108845,50,0,0,22,2108303,1
0,24241,26,0,0,30,23690,0
0,369901,12,0,0,3,369557,1
0,533902,105,0,0,4,533237,1
0,1327169,35,0,0,22,1326369,0
0,17745,72,0,0,2,16912,1
1,509814,69,3,1,5,509014,0
0,249191,31,0,0,12,247920,0
0,1040614,101,0,0,21,1040054,1
1,374729,78,1,1,23,373830,1
0,258510,80,0,0,3,258202,0
0,981065,41,0,0,22,980400,1
0,3241,97,0,0,27,2789,0
0,2054734,8,0,0,22,2054069,1
0,249755,32,0,0,16,248955,0
0,354499,30,0,0,15,353846,0
0,21345,88,0,0,36,20596,0
0,541726,15,0,0,13,540743,1
0,1188592,76,0,0,22,1187834,1
0,398759,79,0,0,18,398094,0
0,30522,87,0,0,35,29761,1
0,2006097,84,0,0,21,2005645,0
0,2046738,9,0,0,22,2046013,1
0,989439,20,0,0,22,989029,1
0,543870,102,0,0,12,542632,1
0,835812,95,4,0,17,835600,0
0,985522,40,0,0,22,984710,1
0,873951,10,0,0,14,873346,0
0,976756,42,0,0,22,976091,1
0,2720,96,0,0,27,1839,0
0,574747,29,0,0,17,573722,0
0,1771495,46,0,0,21,1771046,0
0,439937,91,0,0,11,439305,0
0,25672,64,0,0,34,25139,0
0,1055868,57,0,0,17,1055320,0
0,1133852,98,0,0,18,1133403,0
0,6198,5,0,0,25,5503,1
0,58473,1,0,0,12,57784,0
0,213832,23,0,0,11,212933,1
0,2014286,51,0,0,22,2013333,1
0,3147,54,0,0,31,2389,1
0,121362,106,0,0,1,120919,0
0,407069,60,0,0,15,406629,0
0,166893,3,0,0,7,166510,1
0,16682,73,0,0,2,16377,1
0,203789,71,0,0,7,203085,0
0,1589372,22,0,0,22,1589025,1
0,1379076,74,0,0,22,1378327,1
0,1474,7,0,0,26,1025,1
0,972438,43,0,0,22,971773,1
0,26420,55,0,0,32,25257,1
1,1694721,6,1,1,21,1693825,1
0,430215,103,0,0,22,429457,1
0,2189977,82,0,0,21,2189303,1
0,4118,25,0,0,29,3549,0
0,45033,90,0,0,37,44497,0
0,576203,44,0,0,6,575301,1
0,1027295,100,0,0,21,1026840,0
0,1966887,85,0,0,22,1966264,0
0,561672,68,0,0,4,560914,1
0,1125325,77,0,0,22,1124525,1
0,1533448,17,0,0,22,1532690,0
