Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1169344,40,1,0,44,1158920,0
0,7614,2,0,0,60,1030,1
0,609988,156,1,0,10,605538,1
0,1211309,161,1,0,49,1200861,0
0,71128,80,1,0,45,60752,1
1,18759,150,3,1,107,8548,1
0,52109,55,1,0,5,41772,1
0,18044,36,1,0,30,13358,1
0,424181,137,1,0,10,413739,0
0,225503,222,1,0,8,215040,0
1,1026196,140,3,1,49,1015775,0
0,330111,108,1,0,15,322282,0
0,458221,50,1,0,10,447770,1
0,328819,64,1,0,30,318764,0
0,18045,172,1,0,110,7588,0
0,83617,100,1,0,27,73238,1
1,743366,13,3,1,28,733188,0
0,775910,130,1,0,33,765552,0
0,22103,169,1,0,33,14689,1
0,332104,166,1,0,33,321641,0
0,7780,9,2,0,63,2,1
0,818767,119,1,0,29,810066,0
0,573981,157,1,0,10,563530,0
0,459416,61,1,0,34,449073,1
1,5380,25,3,1,75,2,1
1,214744,10,3,1,38,206012,1
0,31572,74,1,0,36,21127,1
0,63253,173,1,0,111,52823,1
0,286931,190,1,0,51,283691,0
0,149649,114,2,0,23,143326,0
0,14171,178,2,0,34,4392,1
0,11492,31,1,0,78,5925,1
0,26884,60,1,0,16,16478,1
0,45907,205,2,0,50,38978,1
0,13390,159,1,0,70,2987,0
0,193120,183,2,0,23,183374,0
0,9732,191,1,0,116,1,0
1,1233807,176,3,1,46,1224493,1
0,62951,93,1,0,53,52593,1
0,970184,184,1,0,46,959784,1
0,138304,215,1,0,13,127910,1
0,13701,151,1,0,108,3220,1
0,328850,46,1,0,29,318795,0
0,5595,7,2,0,62,1,1
0,213628,99,1,0,52,203258,0
1,24168,111,3,1,98,13795,0
0,31191,120,1,0,35,20812,1
0,3034,90,2,0,95,2,0
0,347060,219,2,0,34,339083,1
1,127990,148,3,1,53,117557,1
0,390898,218,1,0,34,380639,1
0,60872,206,1,0,50,50520,1
0,141214,129,1,0,27,130814,1
0,842551,211,1,0,35,832124,0
0,475972,76,2,0,2,470489,0
0,534898,112,2,0,33,529028,1
0,47512,123,1,0,29,39092,1
0,2345983,164,1,0,50,2335691,0
0,33876,199,1,0,121,23431,0
0,2017022,5,2,0,48,2011656,0
1,796435,41,3,1,32,786038,0
0,908777,37,1,0,37,898398,0
1,1020605,200,3,1,48,1014285,0
1,25728,92,3,1,55,21774,1
0,13163,65,1,0,87,2601,0
1,789447,212,3,1,35,779023,0
0,7954,192,2,0,117,2,0
0,229560,213,1,0,28,219184,1
0,1028641,19,1,0,40,1018586,0
0,69531,217,1,0,13,59128,1
0,5243,68,1,0,88,2,0
0,9826,22,2,0,74,2831,0
1,12411,132,3,1,102,1858,1
0,6482,4,2,0,61,3,0
0,78813,196,1,0,51,72588,1
0,12312,195,2,0,51,7990,1
0,40663,197,1,0,120,30197,1
0,24830,101,1,0,27,14646,1
0,288082,208,1,0,50,277652,0
0,64484,127,2,0,30,55971,1
0,127475,170,1,0,54,117093,1
0,32850,186,1,0,9,28143,1
0,207695,52,1,0,15,204667,0
0,36235,216,1,0,13,25871,1
0,11147,32,2,0,79,4143,0
1,1351353,153,3,1,46,1340908,0
0,30892,73,1,0,22,20468,0
0,745319,39,1,0,32,734937,0
