Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,1174010,188,2,43,1168695
0,7476,0,2,60,127
1,609988,155,1,10,605538
1,1168419,160,3,50,1158055
0,1169344,40,1,44,1158920
1,18759,149,3,106,8548
1,52109,58,1,5,41772
1,18044,36,1,30,13358
0,424181,138,1,10,413739
0,225503,222,1,8,215040
1,940675,88,1,50,930293
0,330111,107,1,15,322282
1,458221,52,1,10,447770
0,328819,66,1,30,318764
0,18045,173,1,109,7588
1,83617,100,1,27,73238
0,743366,12,3,28,733188
0,723117,129,3,33,714922
0,796435,42,3,32,786038
0,296067,108,3,33,288610
1,5595,7,2,63,1
0,818767,118,1,29,810066
0,573981,156,1,10,563530
1,390898,218,1,34,380639
1,6832,25,2,75,2
1,46065,190,1,38,35644
0,842551,211,1,35,832124
1,63253,174,1,110,52823
1,78813,196,1,52,72588
0,149649,113,2,23,143326
0,816094,68,1,33,805796
0,11516,31,3,78,2172
1,26884,63,1,16,16478
1,22907,1,2,51,17262
0,5929,148,1,70,3
0,193120,183,2,23,183374
0,9732,191,1,115,1
1,970184,184,1,46,959784
0,213628,99,1,53,203258
0,647211,114,3,46,636820
1,138304,215,1,13,127910
1,13701,150,1,107,3220
0,328850,46,1,29,318795
0,6482,4,2,62,3
0,2345195,165,1,52,2334792
0,24168,110,3,97,13795
1,459416,64,1,34,449073
0,3034,90,2,94,2
1,252973,111,1,34,245186
1,62951,93,1,54,52593
1,347060,219,2,34,339083
1,45907,205,2,51,38978
1,141214,130,1,27,130814
0,789447,212,3,35,779023
0,475972,78,2,2,470489
1,409474,179,1,33,399029
1,47512,123,1,29,39092
1,802151,13,1,51,791817
0,33876,199,1,120,23431
1,1717944,170,2,49,1709332
0,745319,39,1,32,734937
0,891588,19,1,37,881293
1,934030,201,3,49,926063
1,127475,171,1,55,117093
0,6144,65,1,86,3
1,31191,119,1,35,20812
0,7954,192,2,116,2
1,229560,213,1,28,219184
0,571102,14,1,39,563645
1,69531,217,1,13,59128
0,13163,67,1,87,2601
0,5956,21,1,74,733
1,12411,133,3,101,1858
1,7614,2,0,61,1030
1,54831,125,1,52,44338
0,2370774,163,1,51,2360422
1,40663,197,1,119,30197
1,24830,101,1,27,14646
1,79790,207,3,51,69342
1,64484,127,2,30,55971
1,127990,147,3,54,117557
1,32850,186,1,9,28143
0,207695,54,1,15,204667
1,36235,216,1,13,25871
1,11492,32,1,79,5925
1,1233807,177,3,46,1224493
0,30892,75,1,22,20468
1,54812,6,1,32,50482
0,311779,49,1,52,306168
1,53674,203,1,59,43286
1,21015,77,1,18,14486
0,5481,153,2,108,1
1,9243,23,3,66,3028
1,89016,116,1,42,78604
0,574518,141,3,12,565420
1,27113,193,3,117,16665
1,71128,82,1,45,60752
0,347622,84,1,51,337195
0,65194,22,1,0,54806
1,6388,121,1,99,323
0,243214,167,1,33,232769
0,42086,37,1,82,31758
0,11147,33,2,80,4143
1,22103,169,1,33,14689
0,239506,159,2,15,231410
0,217558,3,3,25,208664
0,1049310,61,1,48,1038856
0,8611,115,1,69,3
0,62219,38,1,82,51870
0,11755,17,1,73,1460
0,586972,45,1,8,576509
1,88568,198,1,119,78117
0,13525,106,3,96,3143
0,623676,89,1,12,613279
1,11537,175,1,111,1098
0,505288,11,1,4,494840
0,780586,126,1,36,770171
1,158064,214,1,13,147781
1,12312,195,2,52,7990
0,1352921,105,1,50,1342479
1,353296,96,2,52,348857
0,13465,34,1,81,4539
0,1147531,122,1,43,1137248
0,595061,50,3,25,584655
0,1048694,137,1,41,1038261
1,214744,9,3,38,206012
0,3341,189,2,114,3
1,7213,73,1,90,1
1,225073,35,1,27,217409
0,5392,79,1,92,2
0,610602,140,1,26,600223
0,548110,151,1,18,541838
0,47046,60,3,68,36631
0,2017022,5,2,49,2011656
0,566844,202,3,17,556376
1,39653,24,1,37,33702
1,5905,55,1,84,1
0,1020605,200,3,49,1014285
1,17336,69,1,12,6891
0,18048,70,1,88,7666
1,19647,57,1,85,9304
0,796416,187,1,29,789632
0,252780,210,1,16,242332
0,18102,16,1,72,7759
0,8750,10,3,65,352
0,230403,209,1,10,222871
0,638425,172,1,18,628055
1,34341,15,2,32,26002
0,5467,74,2,91,2
1,6239,135,2,103,3
1,5231,26,1,67,1
1,1301475,103,1,50,1291027
0,536745,47,1,18,531839
0,1351353,152,3,46,1340908
1,107347,18,1,57,100946
1,5029,28,2,77,2
1,82139,162,1,3,71676
1,534898,112,2,33,529028
1,97751,81,2,23,91272
0,1028641,20,1,40,1018586
0,64329,97,1,1,53935
1,6046,80,2,93,2
1,364064,59,1,33,353619
0,501262,102,1,20,494255
1,1392969,104,1,50,1382515
0,736142,224,3,29,726108
0,13390,158,1,71,2987
0,635740,95,1,14,625292
1,29124,136,1,103,18715
0,510863,220,1,6,500484
0,288082,208,1,51,277652
1,12200,8,1,64,1905
1,12299,144,3,105,2049
0,775910,131,1,33,765552
0,424985,124,1,31,418893
1,11317,86,3,30,5433
1,487135,85,1,38,478468
0,656937,154,1,22,646543
0,400877,72,2,31,396354
0,490459,109,1,7,480062
1,188433,128,1,10,178087
1,34480,143,1,24,24017
1,76316,29,2,31,71757
1,22220,223,1,39,11901
0,508446,157,1,10,497998
1,1684949,56,1,50,1674489
1,72152,146,1,28,61794
1,7036,194,1,118,1
1,40882,91,3,41,30431
1,14711,134,3,102,4479
0,6131,48,1,83,890
1,8139,178,3,112,1
1,15047,120,3,98,4680
1,563694,142,1,26,556752
1,46671,98,1,95,36289
0,138943,51,2,23,131411
1,600090,181,1,33,589645
0,656716,87,1,21,646334
0,56068,176,1,111,45617
0,2345983,164,1,51,2335691
1,19621,53,1,57,13649
1,25728,92,3,56,21774
1,60872,206,1,51,50520
0,698669,83,1,23,688299
0,545365,221,1,19,535076
1,6309,71,3,89,1
1,12287,132,3,100,1776
0,572820,182,1,11,566630
0,1211309,161,1,50,1200861
1,53597,30,1,58,43140
0,7785,139,2,104,1726
0,1848415,41,1,47,1838054
0,902706,94,1,38,892584
1,52443,43,3,49,42064
1,34912,168,1,33,27714
0,685626,117,1,30,675331
1,11957,27,3,76,1581
1,31572,76,1,36,21127
1,12152,204,1,121,4158
1,102066,44,1,11,91621
1,364951,62,3,56,356759
1,6015,145,2,28,103
1,571446,180,3,33,561022
0,9497,185,3,113,3
0,332104,166,1,33,321641
