Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,0,3,12909,144,144,0,113,10807
0,0,124,6110,101,100,0,101,3849
0,0,39,457048,90,89,1,9,454787
0,0,136,478833,231,231,0,6,476677
0,0,93,16869,154,154,0,116,14662
1,0,15,4025,165,165,0,16,1761
1,0,13,20192,203,203,1,29,18165
1,0,124,3770,51,50,0,89,732
1,0,21,828777,110,109,1,48,827212
1,0,41,9061,56,55,1,74,6806
0,0,40,2776,157,157,0,117,509
1,0,29,211189,118,118,1,34,209180
1,0,47,7765,29,28,1,43,5519
1,0,1,3747,25,24,0,72,1363
0,0,54,555948,171,171,0,20,553549
0,0,70,487264,96,95,0,17,485114
0,0,7,763294,176,176,0,26,761027
0,0,37,1178466,117,117,0,44,1176085
1,0,35,53359,116,116,1,40,52601
1,0,24,96434,222,222,1,5,94266
1,0,23,45480,197,197,1,122,43330
0,0,40,609383,79,78,1,20,607077
0,0,2,5633,13,12,1,62,4134
0,0,112,813661,182,182,1,38,811541
0,0,57,243718,98,97,0,19,243449
0,0,88,480713,37,36,0,4,478230
1,0,67,114439,9,8,1,3,112868
0,0,62,14957,64,63,0,76,12933
0,0,28,356577,108,107,1,53,354673
0,0,20,371476,172,172,0,18,369323
1,0,55,50723,122,122,1,106,48507
0,0,98,611448,112,112,0,10,610807
1,0,30,56175,85,84,0,5,53914
1,0,86,1621,65,64,1,95,2
1,0,129,4679,115,115,0,40,2307
1,0,124,11646,125,125,0,107,9286
0,0,20,45278,102,101,0,18,42840
1,0,1,47037,178,178,0,120,44773
0,0,122,487691,30,29,0,18,485538
0,0,131,477337,11,10,0,9,476408
1,0,51,828692,195,195,0,49,827244
0,0,89,909033,32,31,1,40,906619
0,0,92,1062,4,3,0,71,1
1,0,61,15153,209,209,0,30,12949
1,0,8,81519,12,11,1,5,79698
1,0,60,65232,218,218,0,52,62692
0,0,20,710857,49,48,0,23,709519
1,0,101,76316,28,27,0,52,74154
0,0,65,799420,225,225,1,32,796943
1,0,124,7491,128,128,0,22,5182
1,0,124,2056,50,49,0,88,2
0,0,124,4947,45,44,0,86,2638
1,0,13,441740,93,92,1,29,439797
0,0,111,2326647,18,17,0,54,2325364
0,0,113,777368,224,224,1,32,775140
1,0,130,51771,234,234,1,36,49540
1,0,87,59089,40,39,0,57,56687
0,0,50,552888,219,219,1,15,550654
1,0,87,79561,119,119,0,57,77369
0,0,71,1451239,130,130,1,52,1449053
0,0,117,1009290,44,43,0,39,1006993
1,0,93,170211,124,124,1,50,168412
1,0,124,4516,54,53,0,91,3179
1,0,95,122003,229,229,1,11,119982
1,0,109,5046,159,159,0,118,2860
0,0,15,1375691,121,121,1,46,1373202
1,0,85,27070,142,142,0,16,24536
1,0,37,224206,202,202,1,35,222371
0,0,11,689616,82,81,1,54,687517
1,0,13,372955,230,230,1,29,370655
0,0,15,1204656,198,198,1,46,1202680
1,0,65,11060,143,143,1,32,8994
1,0,118,2096,147,147,1,114,747
0,0,124,1138,6,5,0,108,2
1,0,30,8253,104,103,1,42,6340
0,0,73,1189025,189,189,1,52,1186812
0,0,125,496899,103,102,1,1,495853
1,0,100,1474,17,16,0,31,101
0,0,131,1039862,77,76,0,38,1037046
1,0,49,20107,69,68,0,51,17801
1,0,45,14203,58,57,0,33,11819
1,0,3,391932,8,7,0,59,389746
0,0,78,3932,162,162,0,119,1401
0,0,68,915393,63,62,0,34,914149
0,0,91,682195,70,69,0,19,679628
0,0,131,394758,21,20,0,9,393970
0,0,33,580782,169,169,0,21,579763
1,0,12,4883,41,40,1,83,2628
1,0,44,519612,205,205,1,28,517492
0,0,74,2976,164,164,0,78,781
0,0,132,1159648,145,145,0,42,1157084
1,0,124,7454,53,52,0,90,5259
1,0,28,654471,76,75,1,53,652312
0,0,97,2907,35,34,0,73,667
1,0,90,27924,7,6,0,17,26149
1,0,111,1705791,89,88,0,54,1703299
1,0,54,3230,129,129,0,22,921
0,0,52,2152,10,9,0,61,38
0,0,30,507624,192,192,0,3,505363
0,0,29,482055,113,113,0,10,479794
0,0,58,123424,232,232,1,8,121439
0,0,42,805063,180,180,1,39,803291
1,0,76,3147,42,41,0,84,535
0,0,124,7548,55,54,0,92,5362
0,0,124,11573,111,110,0,104,9210
1,0,27,369509,62,61,1,13,367296
0,0,119,707127,48,47,0,23,704929
1,0,5,351915,201,201,0,58,350539
1,0,9,6111,24,23,0,69,4843
