Chromosome_Location,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,13483838,100,0,13482798,1
1,10815148,84,1,10814110,1
1,6955492,54,0,6953756,0
1,8380600,65,1,8379902,1
1,9240256,75,4,9238329,1
1,9377132,78,4,9376461,0
1,3221626,27,4,3220494,0
1,2102690,15,10,2100093,1
1,20867515,143,0,20866022,0
1,12160930,92,7,12160046,1
1,2680808,19,15,2679423,0
1,1401408,10,0,1400647,0
1,20915947,144,0,20914958,1
1,9200825,74,4,9199485,1
1,6638754,53,3,6637225,0
1,6441604,52,1,6440312,0
1,15741,0,17,14537,1
1,18735986,133,14,18734498,0
1,5430215,43,21,5429553,0
1,9310089,76,1,9309220,0
1,17383110,123,4,17381675,1
1,23649517,155,1,23648664,1
1,6362947,51,4,6361372,1
1,12665749,96,0,12664313,1
1,20479303,141,5,20477665,0
1,2737107,20,4,2736457,1
1,981427,6,4,980799,0
1,3054496,24,3,3053067,0
1,2642795,18,15,2641014,0
1,3511059,31,4,3509868,0
1,14412758,108,22,14411913,0
1,23514561,154,0,23513521,1
1,15376311,113,17,15375121,0
1,4838125,39,8,4836803,0
1,12246771,93,1,12245099,0
1,18766836,134,1,18765534,1
1,7567593,59,0,7566580,1
1,3453161,30,0,3451287,0
1,18932862,135,1,18931125,0
1,7857029,61,0,7856016,1
1,13282465,99,24,13280789,0
1,2579015,16,10,2576673,0
1,14839696,111,1,14837926,0
1,11412405,86,1,11411355,0
1,13967339,105,15,13965975,0
0,34835,165,18,33567,1
1,7776355,60,0,7775540,1
1,4299137,34,3,4297472,1
1,13580138,101,1,13578653,1
1,11497432,88,1,11496159,0
1,8750931,70,0,8750116,0
1,8422594,66,2,8420066,0
1,14931220,112,0,14928527,0
1,3097194,25,0,3096508,0
1,12488986,94,1,12486822,1
1,6016720,47,1,6015477,1
1,1662089,13,4,1659698,1
1,14479105,110,1,14478302,0
1,11473094,87,0,11472201,1
1,2912105,22,0,2911437,1
1,938369,5,1,937674,0
1,24218799,160,0,24217882,0
1,18429380,131,1,18428231,1
1,421354,1,10,418907,0
1,2597044,17,13,2596686,1
1,22586503,151,7,22583996,1
1,23902858,158,1,23901544,1
1,15398283,114,0,15396637,1
0,42748,167,13,41047,1
1,2862968,21,4,2861630,1
1,11737964,91,1,11736173,0
1,16416071,119,19,16413631,1
1,23866829,157,1,23865703,1
1,16025845,118,7,16025135,0
1,11600931,89,1,11599714,1
1,563875,4,5,561461,0
1,6088421,48,0,6085950,0
1,13013122,98,0,13011857,0
1,16835079,120,20,16833925,1
1,19133424,137,0,19132048,1
0,6835,163,13,4667,1
1,21703774,148,1,21701900,0
1,17573162,126,0,17572161,0
1,6956172,55,1,6955569,0
1,17736253,128,1,17735340,0
1,6283351,50,1,6282458,0
1,4102721,33,11,4101290,1
1,14476110,109,2,14473687,0
1,3312359,29,0,3311109,1
1,12849258,97,1,12848426,1
1,2003214,14,4,2002366,0
1,17401205,124,12,17399302,1
1,16920482,121,17,16919435,1
1,8297673,63,1,8296462,1
1,3235158,28,1,3233849,1
1,20286216,139,4,20285100,1
1,4365383,35,21,4363173,1
1,9136441,73,12,9134295,0
1,17627223,127,1,17625592,1
1,3802426,32,12,3800009,0
1,15431493,115,9,15429022,1
0,40361,166,16,37650,1
1,10601584,81,1,10600723,1
1,5210452,41,23,5209340,1
1,13980614,106,1,13979644,1
1,21840929,149,0,21839502,1
1,18038313,129,1,18037247,1
1,23311866,153,1,23310921,0
1,4622430,37,21,4620634,1
1,8068432,62,1,8066724,0
1,3049161,23,23,3048399,0
1,424362,2,20,423166,0
1,10835283,85,0,10832824,1
1,8836279,71,6,8834339,1
1,8377941,64,1,8377093,1
1,21107478,146,1,21106076,0
1,22342311,150,0,22341328,1
1,8706530,69,2,8704372,0
1,448516,3,15,445739,0
1,1005104,7,1,1003707,1
1,5764705,46,1,5763288,1
1,20600592,142,0,20599396,0
1,13953853,104,0,13952477,0
1,1044324,9,4,1043726,0
1,18150907,130,4,18149782,1
1,7207112,57,0,7205454,1
1,21033305,145,0,21032577,1
1,14201412,107,20,14200354,1
1,19361160,138,1,19359904,0
1,22800650,152,0,22799643,0
1,6170322,49,1,6168823,1
1,5212347,42,0,5211163,1
1,10790484,83,0,10789222,0
1,4756236,38,4,4754812,0
1,19131431,136,10,19128978,1
1,24324304,161,1,24323249,0
1,18449802,132,1,18448896,0
1,5646569,45,0,5645517,0
1,4431456,36,25,4430512,1
1,8662629,68,0,8661322,0
1,1565906,12,4,1564519,1
1,5596435,44,1,5595701,0
1,17542792,125,1,17541345,0
1,24075061,159,1,24073248,1
1,13813861,102,0,13812362,0
1,3098509,26,0,3097631,0
1,17214370,122,15,17212826,1
1,23718778,156,1,23717642,0
0,9294,164,13,6891,1
1,4910787,40,4,4909550,1
1,15742919,116,0,15740403,1
1,13816694,103,15,13815414,0
1,16024976,117,7,16024497,0
1,10514318,80,0,10512900,0
1,9311660,77,0,9310200,0
1,11655236,90,0,11654436,1
1,8661219,67,0,8660182,0
1,7303713,58,4,7302490,1
1,12567288,95,1,12566661,1
1,24717108,162,1,24715475,1
1,1471242,11,1,1469688,1
1,21368024,147,1,21366772,1
1,7009171,56,1,7008393,1
1,10634319,82,0,10632709,1
1,1005618,8,1,1005001,1
1,8987276,72,3,8985246,0
1,20333137,140,0,20331131,0
1,10429864,79,4,10428729,1
