Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1174010,188,188,0,43,1168695,0
0,7476,1,0,0,60,127,0
0,609988,156,156,0,10,605538,1
1,1168419,161,161,1,50,1158055,1
0,1169344,40,40,0,44,1158920,0
1,12299,145,145,1,106,2049,1
0,52109,58,58,0,5,41772,1
0,18044,36,36,0,30,13358,1
0,424181,139,139,0,10,413739,0
0,225503,222,222,0,8,215040,0
0,940675,89,89,0,50,930293,1
0,330111,108,108,0,15,322282,0
0,458221,52,52,0,10,447770,1
0,328819,66,66,0,30,318764,0
0,5481,154,154,0,109,1,0
0,83617,101,101,0,27,73238,1
1,743366,12,12,1,28,733188,0
1,723117,130,130,1,33,714922,0
1,796435,42,42,1,32,786038,0
1,296067,109,109,1,33,288610,0
0,5595,7,7,0,63,1,1
0,818767,119,119,0,29,810066,0
0,573981,157,157,0,10,563530,0
0,390898,218,218,0,34,380639,1
0,6832,25,25,0,75,2,1
0,46065,190,190,0,38,35644,1
0,842551,211,211,0,35,832124,0
0,10005,175,175,0,110,1,1
0,78813,196,196,0,52,72588,1
0,149649,114,114,0,23,143326,0
0,816094,68,68,0,33,805796,0
1,11516,31,31,1,78,2172,0
0,26884,63,63,0,16,16478,1
0,22907,2,1,0,51,17262,1
0,5929,149,149,0,70,3,0
0,193120,183,183,0,23,183374,0
0,9732,191,191,0,115,1,0
0,970184,184,184,0,46,959784,1
0,213628,100,100,0,53,203258,0
1,647211,115,115,1,46,636820,0
0,138304,215,215,0,13,127910,1
1,18759,150,150,1,107,8548,1
0,328850,46,46,0,29,318795,0
0,6482,4,4,0,62,3,0
0,2345195,166,166,0,52,2334792,0
1,13525,107,107,1,97,3143,0
0,459416,64,64,0,34,449073,1
0,13412,85,85,0,94,3015,1
0,252973,112,112,0,34,245186,1
0,62951,94,94,0,54,52593,1
0,347060,219,219,0,34,339083,1
0,45907,205,205,0,51,38978,1
0,141214,131,131,0,27,130814,1
1,789447,212,212,1,35,779023,0
0,475972,78,78,0,2,470489,0
0,409474,179,179,0,33,399029,1
0,47512,123,123,0,29,39092,1
0,802151,13,13,0,51,791817,1
0,33876,199,199,0,120,23431,0
0,1717944,171,171,0,49,1709332,1
0,745319,39,39,0,32,734937,0
0,891588,19,19,0,37,881293,0
1,934030,201,201,1,49,926063,1
0,127475,172,172,0,55,117093,1
0,6144,65,65,0,86,3,0
0,31191,120,120,0,35,20812,1
0,7954,192,192,0,116,2,0
0,229560,213,213,0,28,219184,1
0,571102,14,14,0,39,563645,0
0,69531,217,217,0,13,59128,1
0,13163,67,67,0,87,2601,0
0,5956,21,21,0,74,733,0
1,12287,133,133,1,101,1776,1
0,7614,0,2,0,61,1030,1
0,54831,125,125,0,52,44338,1
0,2370774,164,164,0,51,2360422,0
0,40663,197,197,0,119,30197,1
0,24830,102,102,0,27,14646,1
1,79790,207,207,1,51,69342,1
0,64484,127,127,0,30,55971,1
1,127990,148,148,1,54,117557,1
0,32850,186,186,0,9,28143,1
0,207695,54,54,0,15,204667,0
0,36235,216,216,0,13,25871,1
0,11492,32,32,0,79,5925,1
1,1233807,177,177,1,46,1224493,1
0,30892,75,75,0,22,20468,0
0,54812,6,6,0,32,50482,1
0,311779,49,49,0,52,306168,0
0,53674,203,203,0,59,43286,1
0,21015,77,77,0,18,14486,1
0,25969,153,153,0,108,15590,1
1,9243,23,23,1,66,3028,1
0,89016,117,117,0,42,78604,1
1,574518,142,142,1,12,565420,0
1,27113,193,193,1,117,16665,1
0,71128,82,82,0,45,60752,1
0,347622,84,84,0,51,337195,0
0,65194,22,22,0,0,54806,0
1,15047,121,121,1,99,4680,1
0,243214,168,168,0,33,232769,0
0,42086,37,37,0,82,31758,0
0,11147,33,33,0,80,4143,0
0,22103,170,170,0,33,14689,1
0,239506,160,160,0,15,231410,0
1,217558,3,3,1,25,208664,0
0,1049310,61,61,0,48,1038856,0
0,8611,116,116,0,69,3,0
0,62219,38,38,0,82,51870,0
0,11755,17,17,0,73,1460,0
0,586972,45,45,0,8,576509,0
0,88568,198,198,0,119,78117,1
1,11231,99,99,1,96,2115,1
0,623676,90,90,0,12,613279,0
0,63253,174,174,0,110,52823,1
0,505288,11,11,0,4,494840,0
0,780586,126,126,0,36,770171,0
0,158064,214,214,0,13,147781,1
0,12312,195,195,0,52,7990,1
0,1352921,106,106,0,50,1342479,0
0,353296,97,97,0,52,348857,1
0,13465,34,34,0,81,4539,0
0,1147531,122,122,0,43,1137248,0
1,595061,50,50,1,25,584655,0
0,1048694,138,138,0,41,1038261,0
1,214744,9,9,1,38,206012,1
0,3341,189,189,0,114,3,0
0,7213,73,73,0,90,1,1
0,225073,35,35,0,27,217409,1
0,5392,79,79,0,92,2,0
0,610602,141,141,0,26,600223,0
0,548110,151,151,0,18,541838,0
1,47046,60,60,1,68,36631,0
0,2017022,5,5,0,49,2011656,0
1,566844,202,202,1,17,556376,0
0,39653,24,24,0,37,33702,1
0,5905,55,55,0,84,1,1
1,1020605,200,200,1,49,1014285,0
0,17336,69,69,0,12,6891,1
0,18048,70,70,0,88,7666,0
0,19647,57,57,0,85,9304,1
0,796416,187,187,0,29,789632,0
0,252780,210,210,0,16,242332,0
0,18102,16,16,0,72,7759,0
1,8750,10,10,1,65,352,0
0,230403,209,209,0,10,222871,0
0,638425,173,173,0,18,628055,0
0,34341,15,15,0,32,26002,1
0,5467,74,74,0,91,2,0
1,14711,135,135,1,103,4479,1
0,5231,26,26,0,67,1,1
0,1301475,104,104,0,50,1291027,1
0,536745,47,47,0,18,531839,0
1,1351353,152,152,1,46,1340908,0
0,107347,18,18,0,57,100946,1
0,5029,28,28,0,77,2,1
0,82139,163,163,0,3,71676,1
0,534898,113,113,0,33,529028,1
0,97751,81,81,0,23,91272,1
0,1028641,20,20,0,40,1018586,0
0,64329,98,98,0,1,53935,0
0,6046,80,80,0,93,2,1
0,364064,59,59,0,33,353619,1
0,501262,103,103,0,20,494255,0
0,1392969,105,105,0,50,1382515,1
1,736142,224,224,1,29,726108,0
0,13390,159,159,0,71,2987,0
0,635740,96,96,0,14,625292,0
0,6239,136,136,0,104,3,1
0,510863,220,220,0,6,500484,0
0,288082,208,208,0,51,277652,0
0,12200,8,8,0,64,1905,1
0,7785,140,140,0,105,1726,0
0,775910,132,132,0,33,765552,0
0,424985,124,124,0,31,418893,0
1,11317,87,87,1,30,5433,1
0,487135,86,86,0,38,478468,1
0,656937,155,155,0,22,646543,0
0,400877,72,72,0,31,396354,0
0,490459,110,110,0,7,480062,0
0,188433,129,129,0,10,178087,1
0,34480,144,144,0,24,24017,1
0,76316,29,29,0,31,71757,1
0,22220,223,223,0,39,11901,1
0,508446,158,158,0,10,497998,0
0,1684949,56,56,0,50,1674489,1
0,72152,147,147,0,28,61794,1
0,7036,194,194,0,118,1,1
1,40882,92,92,1,41,30431,1
1,12411,134,134,1,102,1858,1
0,6131,48,48,0,83,890,0
1,8139,178,178,1,112,1,1
0,3514,111,111,0,98,3,0
0,563694,143,143,0,26,556752,1
0,3034,91,91,0,95,2,0
0,138943,51,51,0,23,131411,0
0,600090,181,181,0,33,589645,1
0,656716,88,88,0,21,646334,0
0,11537,176,176,0,111,1098,1
0,2345983,165,165,0,51,2335691,0
0,19621,53,53,0,57,13649,1
1,25728,93,93,1,56,21774,1
0,60872,206,206,0,51,50520,1
0,698669,83,83,0,23,688299,0
0,545365,221,221,0,19,535076,0
1,6309,71,71,1,89,1,1
1,7511,128,128,1,100,3,0
0,572820,182,182,0,11,566630,0
0,1211309,162,162,0,50,1200861,0
0,53597,30,30,0,58,43140,1
0,29124,137,137,0,104,18715,1
0,1848415,41,41,0,47,1838054,0
0,902706,95,95,0,38,892584,0
1,52443,43,43,1,49,42064,1
0,34912,169,169,0,33,27714,1
0,685626,118,118,0,30,675331,0
1,11957,27,27,1,76,1581,1
0,31572,76,76,0,36,21127,1
0,12152,204,204,0,121,4158,1
0,102066,44,44,0,11,91621,1
1,364951,62,62,1,56,356759,1
0,6015,146,146,0,28,103,1
1,571446,180,180,1,33,561022,1
1,9497,185,185,1,113,3,0
0,332104,167,167,0,33,321641,0
