Gene_Subclass,Gene_Type,Genomic_Start_Position,Ortholog_Id,Chromosome_Id,Encoded_Protein_Description,Strand_Orientation,Gene_Db_Id,Genomic_End_Position
1,1,6745,99,89,5,1,41,7608
1,1,323649,116,22,5,0,102,326018
1,1,476025,15,3,5,0,37,476915
0,0,346178,52,60,4,1,204,346408
1,1,214952,141,54,5,0,124,216862
1,1,78453,141,13,5,1,230,80177
1,1,5234,93,10,5,1,84,8014
1,1,3,63,105,5,1,91,557
1,1,73355,74,21,5,1,14,74182
0,0,346512,86,60,2,1,203,346850
1,1,919047,79,35,5,0,64,921959
0,0,1130442,94,41,1,0,146,1130987
1,1,1884,11,88,5,0,40,2216
1,1,55507,77,63,5,1,222,56787
0,0,45670,57,43,2,1,21,45867
1,1,3,136,128,5,0,174,929
1,1,6119,121,27,5,1,152,9109
1,1,33647,121,27,5,1,150,35665
1,1,221369,35,24,5,0,155,223303
1,1,27628,88,131,5,1,195,30441
1,1,1836461,76,52,5,0,130,1839347
0,0,71398,26,51,0,1,32,71748
1,1,121053,66,8,5,0,35,122795
1,1,1121249,110,41,5,0,144,1122061
1,1,216302,132,26,5,1,229,216652
1,1,53066,73,37,5,1,239,53404
1,1,20007,15,40,5,1,119,20561
1,1,214062,7,25,5,1,61,215357
1,1,542011,106,6,5,0,136,543960
1,1,21764,89,5,5,1,234,23503
1,1,56893,59,63,5,1,223,57738
1,1,854629,87,32,5,0,109,857583
1,1,612868,35,24,5,0,186,615828
1,1,564,23,84,5,0,175,3521
1,1,638082,115,14,5,0,122,640889
1,1,118959,12,7,5,1,181,119855
1,1,348930,104,57,5,0,63,351059
1,1,1115,137,50,5,1,69,4441
0,0,3,47,122,1,0,154,218
1,1,577500,64,24,5,0,187,578507
1,1,1,103,87,5,0,4,835
1,1,10753,61,25,5,1,126,12423
1,1,98553,141,13,5,1,26,100170
1,1,74227,20,58,5,1,27,76293
1,1,15111,62,114,5,1,123,17384
1,1,3,15,85,5,1,200,395
1,1,1442287,109,45,5,0,22,1444050
1,1,227562,133,7,5,0,238,229154
1,1,64071,24,58,5,1,121,64517
1,1,10619,9,30,5,1,199,10942
1,1,55821,107,44,5,1,113,58454
1,1,10074,138,111,5,0,106,10805
1,1,704473,121,27,5,0,36,706956
0,0,3411,129,99,2,0,65,4265
1,1,5802,99,96,5,1,58,8105
1,1,1031220,18,38,5,0,73,1034156
0,0,157230,37,49,2,0,184,157631
1,1,7741,21,134,5,1,214,7838
1,1,3,46,65,5,0,8,794
0,0,899,101,72,1,1,13,1231
1,1,49106,74,21,5,0,107,51751
1,1,2330257,92,53,5,0,198,2332647
1,1,112584,73,59,5,1,62,114401
1,1,39177,92,53,5,1,156,41471
0,0,1415230,96,45,1,0,19,1415811
1,1,4031,61,102,5,1,82,6985
1,1,44298,30,15,5,1,92,46358
1,1,1128836,8,41,5,0,145,1129891
1,1,1,15,64,5,0,6,535
1,1,11061,123,129,5,0,176,11717
1,1,1337487,109,45,5,0,193,1338938
1,1,31775,130,37,5,1,29,34648
1,1,55923,1,53,5,1,157,56420
1,1,42014,134,39,5,1,227,42976
1,1,211,33,125,5,0,166,2400
1,1,647,42,119,5,0,138,3058
1,1,31590,76,52,5,1,164,33980
1,1,355485,56,56,5,0,172,358301
0,0,201683,111,57,2,0,76,202126
1,1,83233,59,2,5,1,196,83691
1,1,32212,128,38,5,1,79,33312
1,1,390821,126,47,5,1,81,393196
1,1,367493,85,56,5,0,49,368350
1,1,63011,122,41,5,1,94,66037
1,1,2,38,75,5,0,16,877
1,1,2,40,109,5,0,103,1381
1,1,1152030,122,41,5,0,147,1153652
1,1,32362,132,26,5,1,34,33975
1,1,46339,84,13,5,1,231,47107
1,1,23602,120,27,5,1,151,25397
1,1,1445,6,117,5,0,128,2035
1,1,251879,79,35,5,1,180,254233
0,0,1,50,83,2,1,117,282
1,1,902475,76,52,5,0,160,903359
1,1,1112,46,127,5,0,170,3364
1,1,6310,3,97,5,0,59,8634
1,1,3256,45,82,5,0,110,6051
1,1,87465,64,24,5,0,218,88109
1,1,1,10,66,5,0,10,147
1,1,35931,120,27,5,1,149,36817
1,1,14362,27,77,5,1,24,15156
1,1,941918,76,52,5,1,161,944659
1,1,513297,3,5,5,0,236,513917
1,1,23342,53,14,5,1,188,24472
1,1,44094,141,13,5,1,232,46075
1,1,1049748,90,46,5,0,158,1050263
1,1,321,117,130,5,1,178,1991
1,1,6150,26,103,5,1,87,7580
1,1,315381,1,53,5,0,192,317768
0,0,580762,55,19,2,0,237,581031
1,1,783721,58,29,5,0,67,783875
1,1,492,41,73,5,0,17,929
1,1,3546,140,98,5,0,60,6341
1,1,28311,135,17,5,1,141,28634
1,1,389835,124,28,5,0,105,392192
0,0,1968,60,95,0,1,57,2270
1,1,627348,109,45,5,0,207,629366
1,1,606950,73,11,5,0,206,609376
1,1,1362,14,135,5,1,215,2735
1,1,1346,32,46,5,1,224,4117
1,1,4295,36,67,5,0,11,6226
1,1,478592,81,0,5,0,108,481120
1,1,3,39,116,5,0,5,215
1,1,1,68,120,5,1,143,2208
1,1,15195,93,31,5,1,205,15743
1,1,2632,2,108,5,0,100,4959
1,1,38134,38,104,5,1,90,38673
1,1,2181870,1,53,5,1,86,2184398
1,1,779186,6,30,5,0,167,781276
1,1,45609,53,14,5,1,183,46181
1,1,701207,18,22,5,0,114,703894
0,0,2028950,82,50,3,0,139,2029693
1,1,2810,0,91,5,1,44,4564
1,1,692,13,69,5,1,12,1582
1,1,605,65,94,5,0,55,3052
1,1,497942,3,5,5,0,235,498493
1,1,3066,75,137,5,0,220,6017
1,1,2173,131,115,5,1,125,4965
1,1,583600,91,12,5,0,189,585603
1,1,1,83,81,5,1,88,2706
1,1,86623,15,3,5,1,182,89160
1,1,473026,122,41,5,0,96,475584
1,1,100433,84,13,5,1,25,101201
1,1,4936,119,70,5,1,15,6087
1,1,1637255,76,52,5,0,197,1639600
1,1,1,130,74,5,1,2,1686
1,1,7736,22,130,5,1,177,10351
1,1,1397420,21,45,5,0,23,1399795
1,1,696140,139,23,5,0,71,699100
0,0,17345,22,45,1,1,30,17833
1,1,103,123,42,5,1,70,612
1,1,29822,43,132,5,0,201,32383
1,1,68706,85,4,5,1,83,69602
1,1,69540,7,25,5,1,127,71222
1,1,15659,12,113,5,0,118,18217
1,1,56951,64,24,5,0,33,57820
1,1,71692,77,17,5,1,210,73875
1,1,3972,127,126,5,0,169,5666
1,1,267153,4,52,5,0,225,267665
1,1,576644,29,16,5,0,163,578251
1,1,1120731,8,41,5,0,213,1121147
1,1,2,107,123,5,0,159,583
1,1,909,98,79,5,1,38,2783
1,1,66466,6,51,5,1,221,67398
1,1,452610,16,11,5,0,131,453362
1,1,9216,28,110,5,0,104,11981
1,1,913926,100,36,5,0,191,915785
1,1,769332,132,26,5,0,47,772241
1,1,1,49,73,5,0,18,228
0,0,1520,34,76,1,1,20,2248
1,1,72187,30,15,5,1,228,74451
1,1,735,128,92,5,1,53,3080
1,1,42281,97,133,5,0,202,45115
1,1,1,57,107,5,1,98,2190
1,1,412,19,66,5,0,9,922
1,1,518895,127,6,5,0,134,521339
1,1,611934,135,17,5,0,132,612431
1,1,747616,1,29,5,0,66,750468
1,1,22313,80,112,5,0,115,24991
0,0,288,75,86,1,1,212,1238
1,1,3526,13,121,5,1,148,4197
0,0,947,102,68,1,1,0,1066
1,1,1159086,76,52,5,0,93,1161359
1,1,63425,135,17,5,1,209,63967
1,1,5343,15,80,5,0,48,8168
1,1,1840004,70,48,5,0,208,1842055
1,1,38052,108,62,5,1,50,40883
1,1,7402,25,81,5,1,89,9729
1,1,15238,2,100,5,0,77,17064
1,1,519241,59,2,5,0,39,521580
1,1,811961,105,34,5,0,219,814312
1,1,33176,67,20,5,1,7,34273
1,1,103,21,45,5,1,168,957
1,1,502038,29,1,5,0,72,504842
1,1,44981,72,44,5,1,112,45868
1,1,855554,17,33,5,0,129,856711
1,1,109194,143,18,5,0,85,112160
1,1,750136,132,26,5,0,46,752571
0,0,1097,118,71,2,0,1,1411
1,1,630173,84,13,5,0,171,630925
0,0,794215,121,28,1,0,190,795045
0,0,586959,72,19,2,0,68,587282
1,1,1,5,93,5,0,54,617
1,1,477242,127,6,5,0,135,478396
1,1,821002,121,27,5,0,211,822273
1,1,25624,114,53,5,1,217,28437
1,1,3232,123,136,5,0,216,4194
1,1,13620,21,45,5,1,31,16367
1,1,10472,88,131,5,1,194,13228
1,1,3,48,95,5,1,56,1874
1,1,637990,95,20,5,0,116,640440
1,1,103,113,19,5,1,75,963
1,1,183608,48,55,5,0,74,184333
1,1,380155,51,61,5,0,101,382722
1,1,7086,31,138,5,0,226,9773
1,1,8487,51,61,5,1,80,10829
1,1,279111,1,53,5,0,153,281858
1,1,22973,18,22,5,1,185,23155
1,1,662509,135,17,5,0,133,663276
1,1,3,142,90,5,1,43,563
1,1,7165,135,101,5,0,78,8610
1,1,247890,78,9,5,0,173,250640
1,1,1018377,4,52,5,0,162,1020701
1,1,21104,112,124,5,0,165,23344
1,1,55331,44,62,5,1,51,57748
1,1,5580,125,106,5,1,97,7904
0,0,2010699,94,50,3,0,3,2011553
1,1,26201,107,44,5,1,111,26773
1,1,2030554,54,50,5,0,140,2033316
1,1,818471,6,30,5,0,99,821170
1,1,802591,120,27,5,0,142,805101
1,1,15296,71,78,5,0,28,16756
1,1,86619,8,41,5,1,95,88412
1,1,4494,75,139,5,0,233,7310
0,0,586129,69,8,2,0,179,586872
1,1,358083,51,61,5,1,45,360854
1,1,180932,7,25,5,1,42,182518
1,1,204852,79,35,5,1,120,207218
1,1,26184,76,118,5,0,137,26957
0,0,869711,30,32,2,0,52,870832
