Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,25,38827,226,226,1,25,35924,3,1
1,0,185,4679,184,184,1,134,1893,3,0
0,0,139,9869,53,53,0,58,8244,0,1
1,0,69,825842,310,310,1,40,823350,3,0
0,0,140,502030,130,130,0,0,499289,0,0
1,0,97,79193,77,77,1,3,76656,3,1
1,0,143,2449,0,0,1,152,11,3,0
0,0,142,7010,291,291,0,148,4233,0,1
0,0,166,66235,248,248,0,41,64469,0,1
1,0,27,21822,317,317,1,13,18838,3,1
1,0,83,3014,94,94,1,66,228,3,1
0,0,5,77950,17,17,0,24,74987,0,1
1,0,4,510295,141,141,1,27,507728,3,1
1,0,69,847503,311,311,1,40,845194,3,0
1,0,92,6673,233,233,1,139,3815,3,0
1,0,10,181574,314,314,1,30,180063,3,1
1,0,37,625252,229,229,1,28,622190,3,0
1,0,121,981807,277,277,1,52,979324,3,1
1,0,138,16715,187,187,1,46,14439,3,1
1,0,155,2940,213,213,1,136,73,3,1
0,0,20,8383,220,220,0,137,7271,0,0
0,0,184,17724,293,293,0,59,14986,1,1
1,0,174,13435,271,271,1,144,10745,3,0
0,0,163,86361,189,189,0,15,83876,0,1
1,0,4,225780,78,78,1,27,223900,3,0
1,0,4,578138,99,99,1,27,576360,3,0
1,0,28,504140,267,267,1,2,500865,3,0
1,0,27,636457,214,214,1,13,635763,3,0
1,0,1,847195,164,164,1,35,845501,3,0
1,0,168,492362,27,27,1,1,490971,3,0
1,0,46,236472,224,224,1,3,233641,3,0
0,0,139,779582,204,204,0,31,776703,0,0
1,0,110,7188,124,124,1,121,4384,3,0
1,0,111,8831,110,110,1,119,6234,3,1
0,0,51,650247,101,101,0,27,648161,0,0
1,0,108,984,304,304,1,151,31,3,0
1,0,107,1094,23,23,1,75,159,3,1
0,0,134,24358,272,272,0,144,21590,0,0
0,0,90,1225,52,52,0,79,1,0,1
1,0,124,628999,143,143,1,12,626735,3,0
1,0,12,13990,115,115,1,16,11384,3,1
1,0,135,28068,64,64,1,67,25282,3,1
1,0,67,3158,255,255,1,93,408,3,1
1,0,133,2351295,264,264,1,58,2348338,3,0
0,0,30,9939,56,56,0,102,8926,0,0
0,0,24,65081,83,83,0,25,62292,0,1
1,0,15,9052,247,247,1,142,7148,3,1
0,2,180,805554,313,313,0,40,804478,0,0
0,0,94,782600,205,205,0,31,781197,0,0
1,0,86,3790,211,211,1,89,806,3,0
1,0,133,1573917,167,167,1,58,1571158,3,0
0,0,9,1995400,175,175,0,56,1993454,0,0
0,0,25,794113,243,243,0,33,793295,1,0
1,0,14,644271,97,97,1,58,641242,3,1
0,0,166,56433,249,249,0,41,54619,1,1
1,0,91,654938,253,253,1,27,652152,3,0
1,0,178,1032018,49,49,1,44,1029001,3,0
0,0,40,1140600,197,197,0,46,1138639,0,0
1,0,175,411506,58,58,1,33,408474,3,0
1,0,125,924785,237,237,1,57,922281,3,1
0,0,84,1204,126,126,0,87,2,0,0
0,0,109,8397,15,15,0,9,5578,0,1
0,0,7,764760,203,203,0,31,762982,0,0
1,0,148,976,20,20,1,74,2,3,1
1,0,105,587182,273,273,1,37,584897,3,1
1,0,6,3258,40,40,1,77,436,3,0
1,0,181,6116,57,57,1,103,4224,3,1
0,0,13,606712,238,238,0,12,603989,0,0
1,0,73,21218,242,242,1,26,18921,3,1
0,0,137,2501,82,82,0,38,102,1,1
1,0,160,7457,215,215,1,41,4911,3,1
0,0,54,490870,45,45,0,1,489493,0,0
1,0,171,4777,18,18,1,70,2027,3,1
0,0,76,26225,207,207,0,65,24447,0,1
1,0,74,22430,44,44,1,34,19944,3,1
1,0,162,15107,263,263,1,2,12237,3,1
1,0,167,41742,307,307,1,44,39727,3,1
0,0,129,663320,259,259,0,24,660522,0,0
0,0,25,58458,114,114,0,16,55432,0,1
1,0,18,486237,24,24,1,47,483109,3,0
1,0,14,353345,138,138,1,58,350952,3,0
1,0,139,16574,223,223,1,138,14088,3,1
0,0,158,3713,283,283,0,97,2106,1,0
1,0,14,44770,25,25,1,50,42977,3,1
0,0,2,3597,235,235,0,140,1834,0,0
