Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position
1,0,12909,146,146,113,10807
0,0,6110,102,103,101,3849
0,0,457048,92,93,9,454787
0,0,478833,231,231,6,476677
0,0,16869,155,155,116,14662
0,0,552888,219,219,15,550654
0,0,835809,99,100,28,833647
1,0,3770,52,53,89,732
1,0,828777,111,112,48,827212
1,0,9061,57,58,74,6806
0,0,2776,158,158,117,509
1,0,211189,120,120,34,209180
1,0,7765,30,31,43,5519
1,0,3747,24,25,72,1363
0,1,692573,71,72,19,690150
1,0,27924,6,7,17,26149
0,0,754574,177,177,26,752403
0,0,1178466,119,119,44,1176085
1,0,53359,118,118,40,52601
1,0,96434,222,222,5,94266
1,0,45480,198,198,122,43330
0,0,604953,82,83,20,602554
0,0,5633,12,13,62,4134
0,0,813661,183,183,38,811541
1,0,4215,73,74,19,1969
0,0,480713,39,40,4,478230
1,0,114439,8,9,3,112868
0,0,14957,65,66,76,12933
0,0,356577,109,110,53,354673
0,0,45278,103,104,18,42840
1,0,50723,124,124,106,48507
0,0,562476,175,175,10,560179
1,0,56175,87,88,5,53914
1,0,1621,66,67,95,2
1,0,4679,117,117,40,2307
1,0,11646,127,127,107,9286
0,0,487264,97,98,17,485114
1,0,47037,179,179,120,44773
0,0,371476,174,174,18,369323
0,0,477337,10,11,9,476408
1,0,828692,196,196,49,827244
0,0,909033,34,35,40,906619
0,0,1062,3,4,71,1
1,0,15153,208,208,30,12949
1,0,81519,11,12,5,79698
1,0,65232,218,218,52,62692
0,0,707127,50,51,23,704929
1,0,76316,29,30,52,74154
0,0,799420,225,225,32,796943
1,0,3230,131,131,22,921
1,0,2056,51,52,88,2
0,0,4947,47,48,86,2638
1,0,441740,95,96,29,439797
0,0,2326647,17,18,54,2325364
0,0,777368,224,224,32,775140
1,0,51771,234,234,36,49540
1,0,59089,42,43,57,56687
1,0,113111,170,170,15,111105
1,0,79561,121,121,57,77369
0,0,1451239,132,132,52,1449053
0,0,1009290,46,47,39,1006993
1,0,170211,126,126,50,168412
1,0,4516,55,56,91,3179
0,0,611448,114,114,10,610807
1,0,5046,162,162,118,2860
0,0,1375691,123,123,46,1373202
1,0,4025,168,168,16,1761
1,0,224206,203,203,35,222371
0,0,689616,84,85,54,687517
1,0,372955,230,230,29,370655
0,0,1204656,199,199,46,1202680
1,0,11060,145,145,32,8994
1,0,2096,149,149,114,747
0,0,1138,5,6,108,2
1,0,8253,105,106,42,6340
0,0,1189025,190,190,52,1186812
0,0,496899,104,105,1,495853
1,0,1474,16,17,31,101
0,0,1039862,78,79,38,1037046
1,0,20107,70,71,51,17801
1,0,14203,59,60,33,11819
1,0,391932,7,8,59,389746
0,0,3932,165,165,119,1401
0,0,915393,64,65,34,914149
0,0,244454,161,161,19,243822
0,0,394758,20,21,9,393970
0,0,574603,172,172,21,572120
1,0,4883,43,44,83,2628
0,0,252998,135,135,28,250869
0,0,2976,167,167,78,781
0,0,1159648,147,147,42,1157084
1,0,7454,54,55,90,5259
1,0,654471,77,78,53,652312
0,0,2907,37,38,73,667
1,0,4593,1,2,17,2230
1,0,1705791,91,92,54,1703299
0,0,598394,171,171,21,596190
0,0,2152,9,10,61,38
0,0,507624,193,193,3,505363
0,0,459000,176,176,10,456733
0,0,123424,232,232,8,121439
0,0,805063,181,181,39,803291
1,0,3147,44,45,84,535
0,0,7548,56,57,92,5362
0,0,11573,112,113,104,9210
1,0,81116,4,5,13,80040
0,0,703891,74,75,23,701787
1,0,351915,202,202,58,350539
1,0,6111,23,24,69,4843
1,0,299939,227,227,11,297915
1,0,115059,163,163,22,112891
1,0,1036,14,15,64,2
0,0,763015,85,86,38,760970
0,0,547726,138,138,7,545198
0,0,19404,201,201,123,17227
1,0,53099,223,223,39,50910
1,0,2191081,90,91,54,2188577
0,0,52834,185,185,0,50840
1,0,13918,125,125,106,11750
1,0,18062,137,137,109,16122
1,0,62927,153,153,24,60651
1,0,34512,93,94,98,32440
0,0,5683,58,59,93,3845
0,0,1835456,207,207,49,1833030
0,0,711734,32,33,23,710958
0,0,482055,115,115,10,479794
1,0,89110,209,209,16,86993
1,0,92121,143,143,41,90979
1,0,7735,187,187,80,5258
0,0,2352753,134,134,54,2351474
0,0,5117,217,217,82,2943
1,0,120751,188,188,3,119534
0,0,9642,212,212,125,7252
0,0,28514,113,0,105,26043
1,0,1699,88,89,8,101
0,0,3774,18,19,66,1570
0,0,468090,41,42,2,465892
1,0,3637,166,166,34,1680
0,0,619207,205,205,9,617003
