Gene_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,38827,226,25,35924,1
1,4679,184,135,1893,0
1,308397,303,59,305485,0
1,847503,311,40,845194,0
0,502030,132,0,499289,0
1,79193,79,3,76656,1
1,2449,0,153,11,0
0,7010,291,149,4233,1
1,491613,135,41,488857,1
1,21822,316,13,18838,1
1,3014,97,67,228,1
0,77950,18,24,74987,1
1,510295,142,27,507728,1
1,7457,214,41,4911,1
1,6673,233,140,3815,0
1,181574,313,30,180063,1
1,625252,229,28,622190,0
1,1133115,271,53,1130755,1
1,60671,176,47,58218,1
1,2940,212,137,73,1
0,8383,219,138,7271,0
0,17724,293,60,14986,1
1,13435,273,145,10745,0
0,86361,189,15,83876,1
1,225780,80,27,223900,0
1,578138,101,27,576360,0
1,504140,268,2,500865,0
1,636457,213,13,635763,0
1,848494,163,35,847454,0
1,492362,28,1,490971,0
1,236472,223,3,233641,0
0,782600,205,31,781197,0
1,7188,126,122,4384,0
1,8831,112,120,6234,1
0,650247,103,27,648161,0
1,984,305,152,31,0
1,1094,24,76,159,1
0,24358,274,145,21590,0
0,1225,53,80,1,1
1,628999,144,12,626735,0
1,13990,117,16,11384,1
1,28068,65,68,25282,1
1,3158,255,94,408,1
1,2351295,265,59,2348338,0
0,9939,57,103,8926,0
0,65081,86,25,62292,1
1,9052,247,143,7148,1
0,811998,312,40,810235,0
1,4342,84,32,1385,1
1,3790,210,90,806,0
1,1721524,40,59,1718519,1
0,2010044,11,57,2009265,0
0,4119,42,34,967,1
1,1008775,190,59,1006142,0
0,66235,248,41,64469,1
1,654938,253,27,652152,0
1,8756,146,46,5919,1
0,4216,134,48,1460,1
1,430057,186,33,427406,0
0,1137976,138,58,1133828,0
0,1204,128,88,2,0
0,8397,16,9,5578,1
0,779582,204,31,776703,0
1,976,21,75,2,1
1,690828,275,37,688522,0
1,3258,39,78,436,0
1,6116,58,104,4224,1
0,606712,238,12,603989,0
1,21218,242,26,18921,1
1,9121,288,39,6152,1
1,33240,55,41,30436,1
0,490870,46,1,489493,0
1,4777,19,71,2027,1
0,26225,206,66,24447,1
1,783456,82,34,780772,0
1,15107,263,2,12237,1
0,169188,307,45,166855,1
0,663320,259,24,660522,0
0,58458,116,16,55432,1
0,1185502,70,48,1183688,0
1,644271,100,59,641242,1
1,16574,222,139,14088,1
0,3713,284,98,2106,0
1,59561,141,51,57681,1
0,3597,235,141,1834,0
1,5794,137,124,3014,0
0,655728,168,18,653962,0
1,41742,308,45,39727,1
1,829858,121,37,827087,0
0,794113,243,33,793295,0
0,169312,67,56,166550,0
1,130785,106,20,128263,0
1,122539,191,14,120197,1
0,594892,227,28,591674,0
0,571445,199,21,567813,0
0,702008,180,32,700188,0
1,9553,115,86,7784,0
1,582823,22,21,581135,0
0,1917064,173,57,1914173,1
1,25743,231,14,24748,1
1,71114,196,4,69705,1
0,103187,322,9,101616,0
1,411506,59,33,408474,0
1,585311,228,28,582390,0
1,2350211,167,60,2347587,0
1,912033,74,41,909235,0
1,12191,232,14,9909,1
1,1182,94,116,1,1
0,4231,136,52,1391,1
0,14595,66,68,12280,1
1,9360,256,95,6577,0
1,14953,302,54,12005,1
1,29749,162,29,26915,1
1,760085,244,33,757590,0
1,14455,92,114,11690,0
0,30562,279,18,28739,1
0,4524,241,142,2574,0
1,486237,25,48,483109,0
0,19758,185,136,17038,0
0,47207,83,113,45534,1
0,36437,104,118,35517,1
1,5595,69,108,2761,1
1,931453,225,41,928565,0
1,2693,281,97,396,0
0,4036,64,68,1289,1
1,93761,73,66,90201,1
1,11733,75,83,9154,0
1,706189,15,29,704129,0
0,120500,321,9,118605,0
1,26060,260,2,23298,1
1,351197,217,63,348939,0
1,33122,282,42,30594,1
1,1425113,14,53,1422420,0
1,688837,90,26,685982,0
0,56433,249,41,54619,1
0,1739,12,73,3,1
0,201879,299,62,200095,0
1,1320804,152,60,1318300,0
1,628364,102,27,625434,0
0,3779,183,134,1517,0
0,64637,151,66,62859,1
1,4799,272,145,2103,0
1,7313,236,141,4734,0
0,19476,160,129,17815,1
1,7957,143,127,5381,0
0,840765,123,37,837994,0
1,2120212,107,59,2117660,0
0,739713,326,31,736933,0
0,2442,157,36,1297,1
1,29971,145,46,27197,1
1,1032018,50,45,1029001,0
1,16396,294,150,13598,0
1,492103,131,0,489575,0
0,3892,44,55,599,1
1,439193,287,47,435576,0
1,570499,252,27,567725,0
1,3857,105,119,1095,1
1,924785,237,58,922281,1
1,245943,62,4,244298,0
1,556405,240,28,554000,1
0,9141,220,138,8410,0
1,981807,278,53,979324,1
1,14712,221,92,11650,0
1,2360044,13,60,2358530,0
1,11256,254,93,8914,1
1,7825,93,115,5795,0
0,9869,54,59,8244,1
1,96498,208,29,94816,1
1,83774,188,15,82602,1
0,1981,297,100,2,0
1,483389,319,5,481422,0
0,85945,309,16,83153,1
0,21702,60,105,18811,0
0,22871,4,25,21810,1
1,5339,52,102,2904,1
0,748745,35,30,745776,0
1,3210,23,74,616,1
0,258722,218,9,256827,0
0,10587,182,133,8119,1
1,145152,314,13,142906,1
1,572075,300,17,569139,0
1,58311,298,58,56848,1
1,905988,99,42,903148,0
1,710712,200,37,708220,0
0,45706,261,2,43370,1
1,588116,3,8,586977,0
0,4613,119,5,1626,1
0,3158,6,40,342,1
1,690966,179,32,687994,0
1,15683,257,96,12888,0
1,378832,37,64,376718,0
1,39618,85,53,36688,1
0,563158,320,21,560651,0
0,467624,171,11,464685,0
1,2020967,177,57,2018517,0
0,4567,56,81,1604,0
1,24449,114,86,21516,0
0,54516,96,41,53479,1
1,197559,194,9,195199,1
0,955,156,89,2,1
1,1130391,198,47,1127446,0
0,61849,47,66,60071,1
1,1824669,165,59,1821786,0
1,21022,63,106,18272,1
1,517997,133,0,514713,0
1,2028531,267,59,2025571,0
1,4543,139,125,1706,1
1,16034,127,24,13233,0
0,1337382,270,53,1335682,0
0,1973,1,155,3,1
1,9934,89,50,6965,1
1,16389,181,40,14728,1
1,648458,161,22,645735,0
0,31215,301,69,30121,1
1,1175229,147,50,1172704,0
0,2772,317,13,301,1
1,265804,202,10,263906,0
0,496864,169,6,494066,0
1,1709527,109,60,1707056,1
1,905310,38,46,902803,0
1,5025,158,128,2677,1
1,474181,193,4,471830,0
0,20670,140,126,18052,1
0,1434052,155,53,1432280,0
1,2327020,264,59,2324351,0
1,30617,150,67,28410,1
0,791878,122,37,790079,0
1,10460,78,112,8049,1
0,764760,203,31,762982,0
1,6217,318,13,3602,1
1,411543,245,31,408877,0
1,128705,207,29,127131,1
1,496021,27,1,493463,0
1,56619,315,13,53854,1
0,4421,32,77,3684,1
0,117865,211,2,115973,1
1,19013,45,36,16263,1
1,174847,195,9,172793,1
1,8963,175,132,6399,1
0,6840,285,147,3826,0
0,34372,2,51,33320,1
1,110366,250,65,107442,1
1,7278,98,117,4399,0
0,67475,296,57,65139,1
0,1140600,197,47,1138639,0
1,1174681,77,49,1172813,0
1,1443,20,72,1,1
0,7112,283,146,4374,1
1,1113039,295,59,1110685,1
1,7245,290,148,4687,1
1,12451,174,131,9695,1
0,2274,51,79,1,0
1,2194888,108,60,2192474,1
1,16715,187,47,14439,1
0,750304,209,37,747923,0
1,214887,306,9,212992,0
1,44770,26,51,42977,1
1,56555,323,43,54387,1
1,18751,111,85,16475,1
1,2149200,266,59,2146741,0
1,3783,87,25,1453,1
1,596370,277,11,593812,0
1,19819,124,0,16985,1
0,392186,224,11,389424,0
0,36463,118,16,33455,1
0,447897,286,47,446350,0
0,598524,95,7,596251,0
1,342240,154,60,339421,1
1,107280,49,19,104554,0
1,2892,68,107,97,0
0,478312,10,11,477440,0
1,46833,76,111,44356,0
1,670094,36,60,667467,0
0,2028848,178,57,2027736,0
1,68416,262,2,66416,1
1,4460,129,88,2295,0
0,553364,251,18,550602,0
1,201254,159,61,198909,0
1,4289,170,38,3018,1
1,3538,292,99,857,1
1,12394,304,151,9605,0
1,396132,246,31,393928,0
1,14564,61,82,12819,1
0,39476,269,144,36720,1
1,13956,215,91,10954,0
1,68621,192,58,67503,1
0,645301,276,11,642806,0
1,5678,130,123,4257,1
1,458839,17,11,457553,0
1,825842,310,40,823350,0
0,38223,31,43,36197,1
0,968,8,154,3,0
1,11541,325,43,8509,1
0,12865,289,39,9965,1
1,582104,239,12,579438,0
1,79885,230,11,77750,1
1,2982,72,110,445,1
1,22938,88,57,21226,1
1,1573917,166,59,1571158,0
0,531490,33,3,528650,0
0,4734,125,87,2191,0
0,729858,201,37,727477,0
0,367390,216,63,364778,0
0,966472,30,44,963723,0
0,18183,234,140,15433,0
1,4073,5,70,1218,0
1,15577,71,109,12521,1
1,2071578,164,59,2068987,0
1,27589,110,84,25172,0
1,22430,43,34,19944,1
1,27235,149,30,24623,1
1,801320,81,34,798915,0
0,11142,113,121,8839,1
1,242630,120,23,239769,1
1,10610,172,130,8169,1
1,106204,280,18,104012,1
1,16963,48,101,14936,0
0,1171911,148,50,1168945,0
1,577397,7,28,576201,0
1,1820,9,156,189,0
1,485801,34,3,483723,0
1,26744,324,43,24147,1
1,619021,153,14,617285,0
0,13820,29,25,12766,1
1,2325261,41,60,2323705,0
1,10910,91,114,8910,0
1,639965,258,24,637563,0
