Gene_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,493953,86,13,493609,0
1,9446,80,38,7647,0
0,5255,72,19,2763,0
0,287968,34,13,286817,0
1,2113129,3,17,2112008,1
1,339503,95,5,338613,1
1,571876,56,5,570902,0
1,446968,55,17,445976,0
1,389254,83,9,388238,1
0,415,76,37,74,0
1,34900,82,40,34403,0
0,1568049,32,17,1567459,1
1,806760,69,11,805210,0
1,752839,22,17,752246,1
1,1050401,91,16,1050087,1
0,434997,6,4,434554,1
1,796791,66,12,795304,0
1,57693,62,10,56791,1
1,1786875,46,16,1786159,1
1,776048,24,11,775092,0
1,155295,89,41,154171,0
0,14817,14,25,14209,0
1,74492,19,3,73803,0
1,1037381,92,16,1036476,1
1,1751697,5,16,1751281,0
1,318778,35,13,318386,0
1,1078009,0,13,1077569,1
1,994934,11,12,993237,0
1,524283,27,6,523744,0
1,1575106,47,16,1574483,0
1,810033,65,12,808633,0
1,1226536,42,17,1225625,1
0,292232,48,4,291777,0
1,520133,87,13,519183,1
0,579,44,31,1,1
1,1605890,78,16,1605162,0
1,1285729,41,17,1284860,1
1,767190,25,11,766081,0
1,624101,23,6,623469,1
0,6256,12,23,4343,1
1,3678,40,29,1996,1
0,415202,7,4,414870,0
1,456990,37,5,456034,0
1,26464,53,33,24623,1
0,43740,63,2,43105,0
0,556441,26,6,555500,0
1,310242,36,13,309811,0
0,409340,94,17,408633,0
0,14261,88,20,11517,1
0,69017,90,4,68592,1
1,1643722,30,17,1642802,1
1,84542,18,27,84111,1
0,2665,10,22,1541,1
1,1180888,77,15,1179752,1
0,309976,51,14,309383,0
0,598,59,34,2,1
0,876723,50,13,875551,0
1,1445532,20,17,1444765,1
1,829655,2,16,828978,1
1,1493,81,39,471,1
1,1115404,68,17,1114712,1
1,2418,9,21,715,1
1,447558,85,13,447142,1
0,1735953,71,15,1735636,0
1,1067748,79,13,1067248,0
0,2026309,8,17,2025506,1
1,483,17,27,1,1
0,1735532,70,15,1734645,0
1,647282,4,17,646296,1
1,787501,67,12,786539,0
0,18905,61,36,17574,1
1,703062,64,16,702091,0
1,1021876,54,16,1021316,0
1,3924,60,35,2239,1
1,302448,33,13,301999,0
1,796821,74,11,795886,0
1,15756,43,30,14755,1
1,232541,28,0,231249,0
0,459577,75,14,458618,0
0,747945,57,8,745645,0
1,156954,97,1,155782,0
1,479784,84,9,478387,1
0,12112,16,26,11726,0
0,3821,13,24,1521,1
1,1680779,31,17,1680060,0
0,11816,45,32,9516,1
1,571767,73,17,570709,1
1,1658775,29,17,1658077,1
1,1430208,21,17,1429318,0
1,1217,96,42,24,0
1,145136,58,7,143469,1
0,828817,1,16,828224,1
1,408301,93,17,407363,0
1,1000,39,28,2,0
0,457660,38,5,457121,0
1,2307,49,18,1621,1
1,322283,52,14,321357,0
0,11716,15,26,11321,0
