Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,44,1,0,26,1158920,0
0,7614,2,0,60,0,0,2,1030,1
0,609988,159,159,10,1,0,123,605538,1
0,1211309,164,164,49,1,0,131,1200861,0
0,71128,82,82,45,1,0,18,60752,1
1,18759,153,153,107,3,1,76,8548,1
0,52109,56,56,5,1,0,62,41772,1
0,64484,128,128,30,2,0,96,55971,1
0,424181,139,139,10,1,0,67,413739,0
0,225503,223,223,8,1,0,115,215040,0
1,1026196,142,142,49,3,1,36,1015775,0
0,330111,110,110,15,1,0,74,322282,0
0,458221,51,51,10,1,0,109,447770,1
0,685626,120,120,30,1,0,83,675331,0
0,18045,175,175,110,1,0,68,7588,0
0,108909,131,131,27,1,0,52,98518,1
0,47512,125,125,29,1,0,15,39092,1
0,775910,132,132,33,1,0,92,765552,0
0,22103,172,172,33,1,0,54,14689,1
0,332104,169,169,33,1,0,54,321641,0
0,7780,8,8,63,2,0,122,2,1
1,11317,87,87,30,3,1,41,5433,1
0,573981,160,160,10,1,0,123,563530,0
0,459416,62,62,34,1,0,138,449073,1
1,5380,25,25,75,3,1,27,2,1
1,214744,9,9,38,3,1,39,206012,1
0,31572,76,76,36,1,0,25,21127,1
0,63253,176,176,111,1,0,78,52823,1
0,286931,192,192,51,1,0,96,283691,0
0,149649,116,116,23,2,0,26,143326,0
0,14171,181,181,34,2,0,61,4392,1
0,11492,32,32,78,1,0,58,5925,1
0,26884,61,61,16,1,0,53,16478,1
0,45907,207,207,50,2,0,17,38978,1
0,13390,162,162,70,1,0,124,2987,0
0,698669,83,83,23,1,0,68,688299,0
0,9732,193,193,116,1,0,19,1,0
1,1233807,179,179,46,3,1,135,1224493,1
0,62951,95,95,53,1,0,87,52593,1
0,970184,186,186,46,1,0,85,959784,1
0,138304,216,216,13,1,0,51,127910,1
0,13701,154,154,108,1,0,81,3220,1
0,689245,14,14,29,1,0,15,678794,0
0,5595,6,6,62,2,0,136,1,1
0,213628,101,101,52,1,0,128,203258,0
1,24168,113,113,98,3,1,23,13795,0
0,31191,122,122,35,1,0,55,20812,1
0,3034,92,92,95,2,0,88,2,0
0,347060,220,220,34,2,0,138,339083,1
1,127990,151,151,53,3,1,121,117557,1
0,390898,219,219,34,1,0,74,380639,1
0,60872,208,208,50,1,0,22,50520,1
0,225073,35,35,27,1,0,40,217409,1
0,842551,213,213,35,1,0,6,832124,0
0,475972,78,78,2,2,0,84,470489,0
0,534898,114,114,33,2,0,102,529028,1
0,59093,70,70,29,1,0,66,53591,1
0,2345983,167,167,50,1,0,22,2335691,0
0,33876,201,201,121,1,0,72,23431,0
0,2017022,4,4,48,2,0,100,2011656,0
1,796435,42,42,32,3,1,134,786038,0
0,908777,38,38,37,1,0,101,898398,0
1,1020605,202,202,48,3,1,20,1014285,0
1,25728,94,94,55,3,1,40,21774,1
0,13163,66,66,87,1,0,50,2601,0
1,789447,214,214,35,3,1,112,779023,0
0,7954,194,194,117,2,0,69,2,0
1,743366,12,12,28,3,1,93,733188,0
0,1028641,19,19,40,1,0,99,1018586,0
0,69531,218,218,13,1,0,51,59128,1
0,5243,69,69,88,1,0,47,2,0
0,9826,22,22,74,2,0,113,2831,0
1,12411,134,134,102,3,1,3,1858,1
0,6482,3,3,61,2,0,69,3,0
0,78813,198,198,51,1,0,139,72588,1
0,12312,197,197,51,2,0,7,7990,1
0,40663,199,199,120,1,0,124,30197,1
0,51361,102,102,27,1,0,40,40991,1
0,288082,210,210,50,1,0,94,277652,0
0,328819,65,65,30,1,0,71,318764,0
0,127475,173,173,54,1,0,90,117093,1
0,32850,188,188,9,1,0,99,28143,1
0,207695,53,53,15,1,0,110,204667,0
0,36235,217,217,13,1,0,52,25871,1
0,11147,33,33,79,2,0,116,4143,0
1,1351353,156,156,46,3,1,135,1340908,0
0,30892,75,75,22,1,0,123,20468,0
0,745319,40,40,32,1,0,133,734937,0
0,353296,98,98,51,2,0,7,348857,1
0,7476,0,1,59,2,0,102,127,0
0,21015,77,77,18,1,0,64,14486,1
0,5481,157,157,109,2,0,38,1,0
0,5231,27,27,66,1,0,132,1,1
0,78745,64,64,43,1,0,1,68291,1
1,574518,143,143,12,3,1,97,565420,0
1,27113,195,195,118,3,1,137,16665,1
1,647211,117,117,46,3,1,135,636820,0
0,802151,13,13,50,1,0,114,791817,1
0,65194,21,21,0,1,0,42,54806,0
0,6388,124,124,100,1,0,127,323,1
1,296067,111,111,33,3,1,75,288610,0
0,62219,39,39,82,1,0,132,51870,0
0,19188,34,34,80,1,0,16,11071,1
0,34912,171,171,33,1,0,131,27714,1
0,239506,163,163,15,2,0,71,231410,0
1,595061,49,49,25,3,1,90,584655,0
1,52443,44,44,48,3,1,20,42064,1
0,5929,152,152,69,1,0,13,3,0
1,35770,43,43,83,3,1,63,25298,1
0,5956,20,20,73,1,0,133,733,0
0,586972,47,47,8,1,0,12,576509,0
0,88568,200,200,120,1,0,57,78117,1
1,13525,109,109,97,3,1,96,3143,0
0,623676,91,91,12,1,0,22,613279,0
0,11537,177,177,112,1,0,86,1098,1
0,505288,11,11,4,1,0,129,494840,0
0,39653,24,24,37,1,0,62,33702,1
0,158064,215,215,13,1,0,98,147781,1
0,54831,126,126,51,1,0,96,44338,1
0,1392969,106,106,49,1,0,0,1382515,1
0,2345195,168,168,51,1,0,139,2334792,0
0,5893,36,36,81,1,0,14,1,0
0,1174010,190,190,43,2,0,99,1168695,0
0,563694,144,144,26,1,0,89,556752,1
0,89016,119,119,42,1,0,14,78604,1
0,487135,86,86,38,1,0,108,478468,1
0,3341,191,191,115,2,0,91,3,0
0,5467,74,74,91,2,0,77,2,0
0,6015,149,149,28,2,0,30,103,1
0,6046,80,80,93,2,0,42,2,1
0,24830,103,103,27,1,0,40,14646,1
0,548110,155,155,18,1,0,80,541838,0
0,8611,118,118,68,1,0,49,3,0
0,940675,90,90,49,1,0,35,930293,1
1,566844,204,204,17,3,1,80,556376,0
0,94486,148,148,37,1,0,56,84056,1
0,19647,55,55,85,1,0,107,9304,1
0,1142692,89,89,48,2,0,29,1136952,1
0,17336,68,68,12,1,0,79,6891,1
1,6309,71,71,89,3,1,22,1,1
0,6144,63,63,86,1,0,43,3,0
0,818767,121,121,29,1,0,120,810066,0
0,252780,212,212,16,1,0,111,242332,0
1,6275,17,17,72,3,1,49,3,0
1,9243,23,23,65,3,1,11,3028,1
0,230403,211,211,10,1,0,67,222871,0
0,638425,174,174,18,1,0,47,628055,0
0,54812,5,5,32,1,0,105,50482,1
1,5690,79,79,92,3,1,126,3,0
0,6239,136,136,104,2,0,62,3,1
1,47046,58,58,67,3,1,70,36631,0
0,1352921,108,108,49,1,0,48,1342479,0
0,536745,48,48,18,1,0,103,531839,0
1,1415129,7,7,46,3,1,135,1406220,0
0,53597,31,31,57,1,0,0,43140,1
0,6877,30,30,77,1,0,83,2,0
0,82139,165,165,3,1,0,21,71676,1
1,571446,183,183,33,3,1,65,561022,1
0,97751,81,81,23,2,0,83,91272,1
1,40882,93,93,41,3,1,95,30431,1
0,64329,99,99,1,1,0,130,53935,0
0,19778,84,84,94,1,0,94,9420,0
0,409474,182,182,33,1,0,24,399029,1
0,501262,104,104,20,1,0,24,494255,0
0,1441553,107,107,49,1,0,35,1431102,0
0,796416,189,189,29,1,0,5,789632,0
0,18102,16,16,71,1,0,118,7759,0
0,635740,97,97,14,1,0,33,625292,0
0,29124,137,137,104,1,0,14,18715,1
0,510863,221,221,6,1,0,10,500484,0
0,347622,85,85,50,1,0,109,337195,0
1,8750,10,10,64,3,1,106,352,0
1,12299,147,147,106,3,1,49,2049,1
0,816094,67,67,33,1,0,92,805796,0
0,746001,146,146,31,1,0,8,735628,0
0,18044,37,37,30,1,0,10,13358,1
0,902706,96,96,38,1,0,32,892584,0
0,656937,158,158,22,1,0,1,646543,0
0,406298,26,26,31,1,0,7,400980,0
0,490459,112,112,7,1,0,49,480062,0
0,188433,129,129,10,1,0,123,178087,1
0,191125,46,46,24,1,0,13,180626,0
0,400877,72,72,31,2,0,7,396354,0
0,571102,15,15,39,1,0,104,563645,0
0,508446,161,161,10,1,0,67,497998,0
0,22907,1,2,50,2,0,22,17262,1
1,192236,130,130,28,3,1,46,185259,1
0,7036,196,196,119,1,0,125,1,1
0,1048694,138,138,41,1,0,37,1038261,0
1,14711,135,135,103,3,1,136,4479,1
0,5905,54,54,84,1,0,55,1,1
1,8139,180,180,113,3,1,59,1,1
1,15047,123,123,99,3,1,42,4680,1
0,610602,141,141,26,1,0,125,600223,0
0,46671,100,100,96,1,0,43,36289,1
0,138943,50,50,23,2,0,68,131411,0
0,682115,115,115,33,1,0,24,675892,0
0,656716,88,88,21,1,0,5,646334,0
0,56068,178,178,112,1,0,24,45617,0
0,2370774,166,166,50,1,0,94,2360422,0
0,107347,18,18,56,1,0,119,100946,1
1,364951,60,60,55,3,1,40,356759,1
1,79790,209,209,50,3,1,4,69342,1
0,34480,145,145,24,1,0,13,24017,1
0,545365,222,222,19,1,0,82,535076,0
0,7213,73,73,90,1,0,31,1,1
1,12287,133,133,101,3,1,6,1776,1
0,572820,185,185,11,1,0,127,566630,0
0,1301475,105,105,49,1,0,57,1291027,1
0,53674,205,205,58,1,0,139,43286,1
0,7785,140,140,105,2,0,45,1726,0
0,1049310,59,59,47,1,0,44,1038856,0
0,22220,224,224,39,1,0,104,11901,1
1,934030,203,203,48,3,1,28,926063,1
0,243214,170,170,33,1,0,54,232769,0
0,76316,29,29,31,2,0,78,71757,1
0,5029,28,28,76,2,0,73,2,1
0,780586,127,127,36,1,0,9,770171,0
0,12152,206,206,122,1,0,117,4158,1
0,102066,45,45,11,1,0,127,91621,1
0,19621,52,52,56,1,0,119,13649,1
0,72152,150,150,28,1,0,60,61794,1
0,600090,184,184,33,1,0,102,589645,1
1,9497,187,187,114,3,1,34,3,0
0,364064,57,57,33,1,0,24,353619,1
