Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,3,12909,144,113,10807,1
0,125,6110,100,101,3849,0
1,40,457048,88,9,454787,0
0,137,478833,231,6,476677,0
0,94,16869,154,116,14662,0
0,16,4025,165,16,1761,1
1,14,20192,203,29,18165,1
0,125,3770,49,89,732,1
1,22,828777,109,48,827212,1
1,42,9061,54,74,6806,1
0,41,2776,157,117,509,0
1,30,211189,118,34,209180,1
1,48,7765,27,43,5519,1
0,1,3747,23,72,1363,1
0,55,555948,171,20,553549,0
0,71,487264,94,17,485114,0
0,7,763294,176,26,761027,0
0,38,1178466,117,44,1176085,0
1,36,53359,116,40,52601,1
1,25,96434,222,5,94266,1
1,24,45480,197,122,43330,1
1,41,609383,77,20,607077,0
1,2,5633,11,62,4134,0
1,113,813661,182,38,811541,0
0,58,243718,96,19,243449,0
0,89,480713,35,4,478230,0
1,68,114439,8,3,112868,1
0,63,14957,62,76,12933,0
1,29,356577,107,53,354673,0
0,21,371476,172,18,369323,0
1,56,50723,122,106,48507,1
0,99,611448,112,10,610807,0
0,31,56175,83,5,53914,1
1,87,1621,63,95,2,1
0,130,4679,115,40,2307,1
0,125,11646,125,107,9286,1
0,21,45278,101,18,42840,0
0,1,47037,178,120,44773,1
0,123,487691,28,18,485538,0
1,40,619207,206,9,617003,0
0,52,828692,195,49,827244,1
1,90,909033,30,40,906619,0
0,93,1062,3,71,1,0
0,62,15153,209,30,12949,1
1,8,81519,10,5,79698,1
0,61,65232,218,52,62692,1
0,21,710857,47,23,709519,0
0,102,76316,26,52,74154,1
1,66,799420,225,32,796943,0
0,125,7491,128,22,5182,1
0,125,2056,48,88,2,1
0,125,4947,43,86,2638,0
1,14,441740,91,29,439797,1
0,112,2326647,16,54,2325364,0
1,114,777368,224,32,775140,0
1,131,51771,234,36,49540,1
0,88,59089,38,57,56687,1
1,51,552888,219,15,550654,0
0,88,79561,119,57,77369,1
1,72,1451239,130,52,1449053,0
0,118,1009290,42,39,1006993,0
1,94,170211,124,50,168412,1
0,125,4516,52,91,3179,1
1,96,122003,229,11,119982,1
0,110,5046,159,118,2860,1
1,16,1375691,121,46,1373202,0
0,86,27070,142,16,24536,1
1,38,224206,202,35,222371,1
1,12,689616,80,54,687517,0
1,14,372955,230,29,370655,1
1,16,1204656,198,46,1202680,0
1,66,11060,143,32,8994,1
1,119,2096,147,114,747,1
0,125,1138,5,108,2,0
1,31,8253,103,42,6340,1
1,74,1189025,189,52,1186812,0
1,126,496899,102,1,495853,0
0,101,1474,15,31,101,1
0,132,1039862,75,38,1037046,0
0,50,20107,67,51,17801,1
0,46,14203,56,33,11819,1
0,3,391932,7,59,389746,1
0,79,3932,162,119,1401,0
0,69,915393,61,34,914149,0
0,92,682195,68,19,679628,0
0,132,394758,19,9,393970,0
0,34,580782,169,21,579763,0
1,13,4883,39,83,2628,1
1,45,519612,205,28,517492,1
0,75,2976,164,78,781,0
0,133,1159648,145,42,1157084,0
0,125,7454,51,90,5259,1
1,29,654471,74,53,652312,1
0,98,2907,33,73,667,0
0,91,27924,6,17,26149,1
0,112,1705791,87,54,1703299,1
0,55,3230,129,22,921,1
0,53,2152,9,61,38,0
0,31,507624,192,3,505363,0
0,30,482055,113,10,479794,0
1,59,123424,232,8,121439,0
1,43,805063,180,39,803291,0
0,77,3147,40,84,535,1
0,125,7548,53,92,5362,0
0,125,11573,110,104,9210,0
1,28,369509,60,13,367296,1
0,120,707127,46,23,704929,0
0,5,351915,201,58,350539,1
0,9,6111,22,69,4843,1
0,78,307939,226,11,306221,1
1,60,464804,166,22,462621,1
0,54,1036,13,64,2,1
1,113,763015,81,38,760970,0
1,20,547726,136,7,545198,0
0,118,19404,200,123,17227,0
0,122,53099,223,39,50910,1
0,129,2191081,86,54,2188577,1
1,27,52834,184,0,50840,0
1,8,13918,123,106,11750,1
1,32,18062,135,109,16122,1
1,115,436942,177,24,434816,0
1,117,34512,89,98,32440,1
0,125,5683,55,93,3845,0
1,23,1835456,208,49,1833030,0
1,20,731499,29,23,729406,0
1,69,562476,173,10,560179,0
0,86,560608,181,16,558551,0
0,27,92121,141,41,90979,1
0,100,7735,186,80,5258,1
0,27,2352753,132,54,2351474,0
1,103,5117,217,82,2943,0
0,82,120751,187,3,119534,1
0,17,9642,214,125,7252,0
0,125,28514,111,105,26043,0
0,60,1699,84,8,101,1
1,17,3774,17,66,1570,0
1,132,468090,37,2,465892,0
0,62,3637,163,34,1680,1
1,11,22349,97,10,20226,1
0,33,369971,59,56,367785,0
1,65,10067,25,46,8418,1
1,106,1108,161,77,1,0
0,125,3468,69,96,1171,0
0,132,1009265,76,38,1006986,0
1,96,609450,134,16,607396,0
0,132,28523,79,38,26538,1
0,41,2650,24,35,386,1
0,114,6868,185,121,4559,1
0,134,50074,190,3,47909,1
1,64,669243,188,18,667156,0
1,128,17178,108,103,14941,1
0,44,4593,1,17,2230,1
0,108,161779,93,12,159506,1
0,95,798,167,79,1,1
1,112,1167843,146,42,1165567,0
1,80,299939,227,11,297915,1
1,47,18493,44,34,16673,1
0,125,5471,139,112,3207,1
0,50,5333,20,67,3093,1
0,57,59387,92,42,57738,1
0,41,477141,199,7,476586,0
0,125,5583,99,100,3223,0
1,10,40877,204,29,40377,1
1,4,175988,212,21,173664,0
0,81,180595,120,60,178343,0
0,118,827,12,63,3,0
0,67,140815,228,11,140096,1
0,106,16433,194,81,14709,1
1,24,35613,196,122,33460,1
1,133,16106,72,97,14127,0
0,39,194620,126,55,192110,0
0,42,85349,64,4,84366,1
0,108,311650,215,12,309482,1
0,21,703891,71,23,701787,0
0,125,7225,106,102,4853,0
0,37,3201,58,75,2560,1
0,125,17152,138,111,14774,1
0,97,43304,158,57,40902,1
0,35,52112,104,45,49749,1
0,15,2335,170,12,101,1
0,135,3704,21,68,1446,1
1,36,12933,114,40,10912,1
1,106,60946,148,54,58898,1
1,6,1287,18,70,1,0
0,125,3133,50,90,824,1
0,84,23314,236,2,21104,0
0,132,18709,32,27,16532,1
1,0,399311,90,14,397290,0
0,124,66424,233,36,64094,1
1,126,469090,31,1,466913,0
0,124,4184,235,36,1923,1
0,0,754574,175,26,752403,0
0,45,646569,183,12,644707,0
1,65,480279,207,46,478171,0
1,49,636865,78,20,634829,0
0,121,377705,98,59,375522,0
1,69,459000,174,10,456733,0
0,105,703107,150,22,702547,0
1,83,411395,34,13,410220,0
0,104,5540,41,85,3963,1
0,41,526037,36,3,525222,0
0,116,115059,160,22,112891,1
1,13,28472,221,47,26358,1
1,20,3258,211,124,754,1
1,18,961848,156,37,959689,0
1,66,16197,179,120,13717,1
0,125,1669,45,87,2,1
1,51,113111,168,15,111105,1
0,61,81116,4,13,80040,1
1,65,27218,66,51,24993,1
0,16,2152465,191,53,2150273,0
1,36,5726,0,126,3723,0
1,29,1909430,131,53,1907460,1
0,109,1835184,65,48,1832923,0
1,96,67187,210,16,64983,1
0,108,315631,216,12,313523,1
0,111,6765,193,81,4204,1
0,125,1518,57,94,1,1
1,25,477984,153,5,475453,0
1,72,19107,105,45,16912,1
1,136,2336,151,115,3,1
1,19,468765,82,54,466540,0
0,125,4334,95,99,1968,1
0,44,71096,140,41,68619,1
0,127,909502,73,35,907241,0
1,38,1116077,155,41,1113876,0
1,107,62927,152,24,60651,1
0,26,57522,127,22,55348,1
0,118,1333,14,65,3,0
1,76,811009,213,33,808763,0
0,80,1475,2,127,3,0
0,73,471716,220,5,470270,0
0,70,2123600,85,53,2121408,0
0,50,4215,70,19,1969,1
1,123,252998,133,28,250869,0
0,125,6479,137,110,5838,1
0,85,68193,149,25,66007,1
