Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,91,320234,147,15,319014
1,27,81801,40,45,80905
1,84,15410,226,38,14340
0,58,2162466,66,19,2161639
0,82,779639,95,14,778437
1,53,1098996,239,18,1097833
1,5,432941,203,14,432381
0,56,1077230,227,15,1076451
1,86,33929,169,2,32910
0,58,1422032,55,19,1421220
1,86,652441,52,8,651695
0,41,402463,87,5,401243
0,27,18040,108,58,16886
1,62,394684,22,14,394031
0,50,1153229,240,18,1151997
1,95,750678,156,18,750031
1,22,9906,4,23,8728
1,0,12258,155,69,11053
1,52,2202990,65,19,2202343
0,45,1011398,159,18,1010715
0,52,375897,23,19,375253
1,10,992655,211,14,991897
1,85,4632,137,32,3406
1,82,563168,91,14,561921
1,43,493669,121,15,492404
1,52,749602,56,19,748862
0,27,1832,61,47,591
0,24,217780,244,5,216641
1,50,1088191,238,18,1087412
0,62,822069,208,14,821287
0,37,10709,218,78,9531
0,39,23056,193,74,22262
1,5,667923,94,14,666610
0,8,497406,34,4,496306
1,38,365512,36,4,364310
0,27,9985,151,66,9303
0,2,4174,29,42,2966
0,10,1070767,196,14,1069991
0,55,589228,206,14,588062
1,0,26139,27,42,25351
1,25,182780,42,12,181743
0,48,196658,242,5,195561
0,62,387281,11,14,386064
0,65,1897997,128,18,1897239
1,27,1860,163,70,1114
0,10,581117,205,14,580287
0,71,400728,176,15,399566
1,55,599280,204,14,598465
0,53,745129,162,9,744176
0,96,1428734,54,19,1428093
1,45,1968229,126,18,1967444
0,93,13702,26,41,12743
0,71,1193619,232,15,1192936
0,79,210588,243,5,209491
0,77,17599,79,51,16553
0,10,1057942,133,14,1056725
1,53,663709,105,18,662936
0,99,1471918,183,17,1470884
1,64,884301,141,14,883339
0,27,18090,97,53,17131
1,53,1783506,130,18,1782673
0,71,1194158,233,15,1193721
1,100,5205,98,54,4201
0,38,177073,106,20,175745
0,94,153559,235,80,152606
0,90,4472,216,76,3321
1,72,979496,116,19,978543
1,35,1905082,69,19,1904309
1,1,27009,45,28,25858
0,93,38006,197,75,37197
0,99,1221966,178,17,1220947
1,32,226729,43,12,226322
0,68,76658,39,45,76494
1,96,987733,114,19,987176
1,4,937169,158,18,936387
1,91,416187,122,15,415021
1,52,983808,115,19,982858
1,20,497744,120,15,496932
1,92,3831,170,73,3070
0,66,3587,164,71,2544
1,27,10011,38,44,9199
0,52,1474427,53,19,1473666
0,81,36547,223,37,35690
1,87,531335,174,1,530982
1,43,477748,119,15,476525
1,15,1925877,68,19,1925107
1,35,1564778,74,19,1564014
0,91,1106541,228,15,1105297
1,2,15525,110,31,14710
1,12,2102,112,59,1101
1,46,178084,111,16,176870
1,7,712890,93,14,712129
1,7,77581,8,8,76523
0,10,855470,140,14,854496
1,44,1677,77,49,712
0,91,301271,148,15,300510
