Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,71,313057,145,15,312338
0,68,76658,39,45,76494
0,82,36547,222,37,35690
1,35,2151652,66,20,2150759
1,14,749937,93,14,749176
1,51,1088191,237,19,1087412
1,4,432941,203,14,432381
1,20,497744,121,15,496932
1,86,33929,166,2,32910
1,72,1227756,106,20,1227118
1,86,652441,52,8,651695
0,40,402463,85,5,401243
1,34,2521,109,58,1283
1,62,394684,23,14,394031
1,54,1098996,238,19,1097833
1,54,663709,104,19,662936
0,74,738,2,23,1
0,39,41030,151,68,39978
0,59,2162466,65,20,2161639
1,3,937169,156,19,936387
1,13,269718,147,20,269074
1,8,946792,5,14,945539
1,2,15525,110,32,14710
1,83,563168,89,14,561921
1,42,477748,120,15,476525
0,59,731234,56,20,730422
1,0,11189,50,46,10047
0,24,217780,244,5,216641
1,19,1034038,239,19,1032938
0,83,779639,94,14,778437
0,37,10709,218,77,9531
1,58,41608,191,73,40412
1,4,667923,92,14,666610
0,6,497406,34,4,496306
1,38,365512,36,4,364310
1,27,3650,148,65,2478
0,92,13702,26,41,12743
0,8,1057942,132,14,1056725
0,56,589228,206,14,588062
1,0,10217,29,42,9084
1,25,182780,42,12,181743
0,49,196658,242,5,195561
0,62,387281,11,14,386064
0,3,1887968,128,19,1886823
1,0,12258,153,69,11053
0,8,581117,205,14,580287
0,71,386514,171,15,385279
1,56,599280,204,14,598465
0,54,745129,159,9,744176
0,59,1422032,55,20,1421220
1,12,1921338,126,19,1920505
0,27,28969,25,40,28568
0,71,1173402,230,15,1172566
0,80,210588,243,5,209491
0,29,9998,76,50,9753
0,62,1049347,133,14,1048619
0,28,358168,102,19,357524
0,79,1247221,176,18,1246121
0,8,878597,141,14,877761
1,27,2004,95,52,790
0,78,1778534,130,19,1777443
0,71,1193619,231,15,1192936
0,27,18090,96,53,17131
1,53,2202990,64,20,2202343
0,93,153559,234,79,152606
0,90,4472,216,75,3321
1,53,975187,117,20,974237
0,53,1745136,190,20,1744339
1,61,19523,47,29,18321
0,92,38006,197,74,37197
1,67,1147481,173,18,1146423
1,32,226729,43,12,226322
1,27,10011,38,44,9199
1,53,983808,115,20,982858
0,94,914563,155,19,913814
0,71,400728,172,15,399566
1,72,979496,116,20,978543
1,42,493669,122,15,492404
1,73,41773,164,72,40529
1,27,1860,160,70,1114
1,27,19594,30,43,18863
1,72,1447013,54,20,1446237
0,82,31870,221,37,31118
1,87,531335,169,1,530982
0,71,462427,170,15,461594
1,35,1905082,67,20,1904309
0,53,1474427,53,20,1473666
0,57,1098330,232,15,1097515
0,46,41345,78,31,40839
0,27,18040,108,58,16886
0,48,1062126,196,16,1060936
0,8,705599,91,14,704769
1,5,77581,7,8,76523
0,8,837722,210,14,837087
0,0,39296,62,48,38151
0,71,272963,214,15,272211
0,16,11639,198,74,10170
1,28,2187940,182,19,2187290
0,97,1471918,179,18,1470884
0,77,11872,131,61,11348
1,84,1675,215,35,854
1,4,551759,87,14,550737
1,22,9906,4,24,8728
0,8,863354,140,14,862533
0,2,2556,167,33,1318
1,12,2049687,185,19,2048413
0,38,384191,37,4,383100
1,52,323886,158,11,323095
0,88,571633,48,7,570836
0,13,663114,17,20,662260
1,23,826530,13,19,825718
0,0,14090,63,48,12945
0,17,1229889,175,18,1228786
0,79,1218003,107,20,1217665
0,4,290434,80,14,289571
1,5,1022329,213,14,1021526
1,1,27009,45,29,25858
1,95,987733,114,20,987176
1,33,11743,224,37,10985
1,25,295086,100,12,293887
1,62,941707,6,14,940901
0,58,12102,220,36,11231
0,47,1588977,123,18,1588012
0,60,644758,119,6,643769
1,89,17814,235,79,16873
1,94,750678,154,19,750031
1,43,1790,8,25,1116
1,63,7239,180,0,5971
0,27,13009,152,68,11804
0,66,3587,161,71,2544
1,4,1152958,193,14,1151783
