Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,3114645,5,1,2,0,3113716
0,11338656,19,1,3,0,11337604
1,2584883,3,1,2,0,2583168
0,15208834,26,1,5,0,15207657
1,2484598,2,1,2,0,2482946
0,16035426,29,1,3,0,16034275
1,10739420,17,1,3,0,10738391
0,18874532,34,1,2,0,18872826
0,14037154,25,1,3,0,14036102
1,21652250,38,1,2,0,21651465
0,7265620,10,1,2,0,7263896
1,3408436,6,1,2,0,3406694
1,8102835,11,1,5,0,8101324
0,12475698,23,1,2,0,12473968
0,15966851,28,1,2,0,15965034
0,11110825,18,1,2,0,11109716
0,5858117,8,1,3,0,5857149
1,109749,41,0,2,0,108094
1,19719069,36,1,2,0,19717789
0,11827525,20,1,2,0,11825876
1,13536464,24,1,2,0,13535010
1,16543225,31,1,2,0,16541663
0,12085133,22,1,3,0,12083649
0,19198058,35,1,2,0,19196265
0,729313,0,1,2,0,727583
1,9500152,14,1,2,0,9498311
1,2078700,1,1,1,0,2077966
1,16940003,32,1,2,0,16938267
1,15222966,27,1,0,0,15221143
0,10151192,16,1,2,0,10149456
0,21644712,37,1,3,0,21643691
0,4856229,7,1,5,0,4855079
1,10013846,15,1,6,0,10011450
0,8727146,12,1,2,0,8725272
0,24170195,40,1,2,0,24168318
0,9262006,13,1,2,0,9260762
0,2789368,4,1,4,1,2788047
1,17939534,33,1,2,0,17938173
0,7182424,9,1,5,0,7181951
0,11903031,21,1,3,0,11901664
1,23930113,39,1,3,0,23929616
1,16536814,30,1,2,0,16535087
