Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,0,3,12909,146,0,112,10807,1
0,0,123,6110,102,0,100,3849,1
0,0,40,457048,92,1,9,454787,0
0,0,136,478833,231,0,6,476677,1
0,0,92,16869,155,0,115,14662,1
0,0,51,552888,219,1,15,550654,0
0,0,99,835809,99,0,28,833647,1
1,0,123,3770,52,0,88,732,2
1,0,22,828777,111,1,47,827212,0
1,0,42,9061,57,1,73,6806,0
0,0,41,2776,158,0,116,509,1
1,0,30,211189,120,1,33,209180,0
1,0,48,7765,30,1,42,5519,0
1,0,1,3747,24,0,71,1363,1
0,1,90,692573,71,0,19,690150,1
1,0,89,27924,7,0,17,26149,3
0,0,0,754574,178,0,26,752403,1
0,0,38,1178466,119,0,43,1176085,1
1,0,36,53359,118,1,39,52601,0
1,0,25,96434,222,1,5,94266,0
1,0,24,45480,199,1,121,43330,0
0,0,67,604953,82,0,20,602554,1
0,0,2,5633,13,1,61,4134,0
0,0,112,813661,184,1,37,811541,0
1,0,50,4215,73,0,19,1969,1
0,0,87,480713,39,0,4,478230,1
1,0,68,114439,9,1,3,112868,0
0,0,62,14957,65,0,75,12933,1
0,0,29,356577,109,1,52,354673,0
0,0,21,45278,103,0,18,42840,1
1,0,56,50723,124,1,105,48507,0
0,0,69,562476,176,1,10,560179,0
1,0,31,56175,87,0,5,53914,1
1,0,85,1621,66,1,94,2,0
1,0,129,4679,117,0,39,2307,1
1,0,123,11646,127,0,106,9286,1
0,0,71,487264,97,0,17,485114,1
1,0,1,47037,180,0,119,44773,1
0,0,21,371476,175,0,18,369323,1
0,0,131,477337,11,0,9,476408,3
1,0,52,828692,197,0,48,827244,1
0,0,88,909033,34,1,39,906619,0
0,0,91,1062,3,0,70,1,3
1,0,12,441740,95,1,29,439797,0
1,0,7,81519,12,1,5,79698,0
1,0,60,65232,218,0,51,62692,1
0,0,118,707127,50,0,23,704929,1
1,0,101,76316,29,0,51,74154,1
0,0,113,777368,224,1,31,775140,0
1,0,55,3230,131,0,22,921,1
1,0,123,2056,51,0,87,2,3
0,0,123,4947,47,0,85,2638,1
1,0,12,372955,230,1,29,370655,0
0,0,111,2326647,17,0,53,2325364,3
1,0,66,11060,145,1,31,8994,0
1,0,130,51771,234,1,35,49540,0
1,0,86,59089,42,0,56,56687,1
1,0,51,113111,171,1,15,111105,0
1,0,86,79561,121,0,56,77369,1
0,0,72,1451239,132,1,51,1449053,0
0,0,116,1009290,46,0,38,1006993,1
1,0,92,170211,126,1,49,168412,0
1,0,123,4516,55,0,90,3179,3
0,0,97,611448,114,0,10,610807,2
1,0,109,5046,163,0,117,2860,1
0,0,16,1375691,123,1,45,1373202,0
1,0,16,4025,169,0,16,1761,1
1,0,38,224206,204,1,34,222371,0
0,0,10,689616,84,1,53,687517,0
1,0,9,335828,159,1,29,333633,0
0,0,16,1204656,200,1,45,1202680,0
1,0,66,7012,6,1,31,5501,0
1,0,117,2096,149,1,113,747,0
0,0,123,1138,5,0,107,2,3
1,0,31,8253,105,1,41,6340,0
0,0,74,1189025,191,1,51,1186812,0
0,0,125,496899,104,1,1,495853,0
1,0,61,15153,209,0,30,12949,1
0,0,131,1039862,78,0,37,1037046,1
1,0,50,20107,70,0,50,17801,1
0,0,66,799420,225,1,31,796943,0
1,0,3,391932,8,0,58,389746,1
0,0,77,3932,166,0,118,1401,1
0,0,69,915393,64,0,33,914149,2
0,0,124,244454,162,0,19,243822,2
0,0,131,394758,20,0,9,393970,2
0,0,34,574603,173,0,21,572120,1
1,0,11,4883,43,1,82,2628,0
0,0,121,252998,135,1,28,250869,0
0,0,75,2976,168,0,77,781,1
0,0,132,1159648,147,0,41,1157084,1
1,0,123,7454,54,0,89,5259,1
1,0,29,654471,77,1,52,652312,0
0,0,96,2907,37,0,72,667,1
1,0,44,4593,1,0,17,2230,1
1,0,111,1705791,91,0,53,1703299,1
0,0,9,598394,172,1,21,596190,0
0,0,53,2152,10,0,60,38,1
0,0,31,507624,194,0,3,505363,1
0,0,69,459000,177,1,10,456733,0
0,0,58,123424,232,1,8,121439,0
0,0,43,805063,182,1,38,803291,0
1,0,76,3147,44,0,83,535,1
0,0,123,7548,56,0,91,5362,1
0,0,123,11573,112,0,103,9210,1
1,0,60,81116,4,0,13,80040,2
0,0,21,703891,74,0,23,701787,2
1,0,4,351915,203,0,57,350539,2
1,0,8,6111,23,0,68,4843,2
1,0,78,299939,227,1,11,297915,0
1,0,114,115059,164,0,22,112891,1
1,0,54,1036,15,0,63,2,3
0,0,112,763015,85,1,37,760970,0
0,0,20,547726,138,1,7,545198,0
0,0,116,19404,202,0,122,17227,1
1,0,120,53099,223,0,38,50910,1
1,0,128,2191081,90,0,53,2188577,1
0,0,27,52834,186,1,0,50840,0
1,0,7,13918,125,1,105,11750,0
1,0,32,18062,137,1,108,16122,0
1,0,105,62927,153,1,24,60651,0
1,0,115,34512,93,1,97,32440,0
0,0,123,5683,58,0,92,3845,3
0,0,23,1835456,208,1,48,1833030,0
0,0,21,711734,32,0,23,710958,2
0,0,30,482055,115,0,10,479794,1
1,0,94,89110,210,1,16,86993,0
1,0,27,92121,143,0,40,90979,1
1,0,98,7735,188,0,79,5258,1
0,0,27,2352753,134,0,53,2351474,2
0,0,102,5117,217,1,81,2943,0
1,0,80,120751,189,0,3,119534,3
0,0,17,9642,212,0,124,7252,1
0,0,123,28514,113,0,104,26043,1
1,0,59,1699,88,0,8,101,3
0,0,17,3774,18,1,65,1570,0
0,0,131,468090,41,1,2,465892,0
1,0,61,3637,167,0,33,1680,2
0,0,40,619207,206,1,9,617003,0
0,0,33,369971,62,0,55,367785,1
1,0,65,10067,28,1,45,8418,0
0,0,104,1108,165,1,76,1,0
0,0,123,3468,72,0,95,1171,1
0,0,131,1009265,79,0,37,1006986,1
0,0,84,560608,183,0,16,558551,1
1,0,131,28523,83,0,37,26538,1
1,0,41,2650,25,0,34,386,1
1,0,113,6868,187,0,120,4559,1
1,0,133,50074,192,0,3,47909,1
0,0,121,487691,31,0,18,485538,1
1,0,127,17178,110,1,102,14941,0
0,0,13,669010,136,0,16,666635,1
1,0,15,2335,174,0,12,101,3
1,0,93,798,170,0,78,1,3
0,0,111,1167843,148,1,41,1165567,0
1,0,67,140815,228,0,11,140096,2
1,0,47,18493,48,1,33,16673,0
1,0,123,5471,141,0,111,3207,1
1,0,50,5333,21,0,66,3093,1
1,0,57,59387,96,0,41,57738,3
0,0,41,477141,201,0,7,476586,2
0,0,123,5583,101,0,99,3223,1
1,0,12,20192,205,1,29,18165,0
0,0,49,636865,81,1,20,634829,0
0,0,79,180595,122,0,59,178343,1
0,0,116,827,14,0,62,3,2
1,0,94,122003,229,1,11,119982,0
1,0,104,16433,196,0,80,14709,2
1,0,24,35613,198,1,121,33460,0
0,0,132,16106,75,1,96,14127,0
0,0,39,194620,128,0,54,192110,1
1,0,42,85349,67,0,4,84366,2
1,0,137,303473,216,0,12,301437,3
1,0,14,49973,26,0,23,48072,2
0,0,123,7225,108,0,101,4853,1
1,0,37,3201,61,0,74,2560,2
1,0,123,17152,140,0,110,14774,1
1,0,95,43304,161,0,56,40902,1
1,0,35,52112,106,0,44,49749,1
1,0,63,316113,226,0,11,313945,1
1,0,134,3704,22,0,67,1446,1
1,0,36,12933,116,1,39,10912,0
1,0,104,60946,150,1,53,58898,0
0,0,5,1287,19,1,69,1,0
1,0,123,3133,53,0,89,824,1
0,0,82,23314,236,0,2,21104,1
0,0,6,763294,179,0,26,761027,1
0,0,81,411395,38,1,13,410220,0
1,0,122,66424,233,0,35,64094,1
0,0,125,469090,35,1,1,466913,0
1,0,122,4184,235,0,35,1923,1
1,0,83,68193,151,0,25,66007,1
1,0,106,315631,215,0,12,313523,1
0,0,65,480279,207,1,45,478171,0
0,0,41,609383,80,1,20,607077,0
0,0,119,377705,100,0,58,375522,1
0,0,108,400277,27,0,10,398004,1
0,0,26,702444,213,0,22,701878,3
1,0,28,369509,63,1,13,367296,0
1,0,103,5540,45,0,84,3963,2
0,0,41,526037,40,0,3,525222,3
1,0,26,57522,129,0,22,55348,1
1,0,11,28472,221,1,46,26358,0
