Gene_Type,Genomic_Start_Position,Chromosome_Id,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
1,2061,71,1,116,0,116,3818
0,497002,1,0,51,4,51,497232
1,1360342,36,0,64,0,64,1362603
1,9492,45,0,10,0,10,10034
1,551527,24,1,110,0,110,553680
1,1,50,0,117,0,117,720
0,551012,18,0,32,4,32,551749
1,159610,12,1,125,0,125,160581
1,882,58,1,35,0,35,2942
1,801878,29,0,60,0,60,802663
1,1056777,34,0,107,0,107,1058918
1,1103840,32,1,105,0,105,1105132
1,588715,15,1,95,0,95,590889
1,2355799,38,0,6,0,6,2356776
1,2874,11,1,18,0,18,5081
1,80149,39,1,9,0,9,82404
1,873,52,0,21,0,21,3053
1,499696,33,1,61,0,61,501852
1,194815,7,0,5,0,5,195717
1,392911,24,1,109,0,109,395040
1,1164352,35,1,30,0,30,1166328
1,114542,3,1,84,0,84,114991
1,160684,12,1,77,0,77,161676
1,619,61,0,54,0,54,2832
1,24182,59,1,43,0,43,26356
1,602780,15,1,96,0,96,603844
1,16115,16,1,8,0,8,18169
1,506186,2,0,34,0,34,508321
1,27780,56,1,27,0,27,29015
1,643902,13,0,102,0,102,646319
1,344166,24,1,42,0,42,346367
1,2176948,37,1,99,0,99,2179419
1,703286,24,0,52,0,52,705460
1,200871,6,0,80,0,80,203063
1,7001,68,1,104,0,104,9199
1,604902,38,0,37,0,37,606833
1,51024,0,0,22,0,22,53186
0,12295,43,0,3,1,3,12912
1,4073,69,1,106,0,106,5374
1,302736,24,0,101,0,101,305003
1,192141,18,0,88,0,88,194168
1,604711,32,1,112,0,112,605835
0,301785,12,1,45,4,45,302402
1,628374,15,1,58,0,58,628874
1,2354525,38,0,100,0,100,2355697
1,140918,12,1,126,0,126,141673
1,36609,11,1,62,0,62,38921
0,356083,41,1,23,4,23,356850
1,877512,27,0,19,0,19,879776
1,227192,27,1,92,0,92,229342
1,4560,29,1,36,0,36,6731
1,627785,15,1,38,0,38,628270
0,874933,32,0,72,2,72,875271
1,52560,30,1,59,0,59,53693
1,1998842,37,0,66,0,66,2001346
1,120202,72,0,119,0,119,122127
1,31587,55,1,26,0,26,32651
1,571858,18,0,93,0,93,573072
1,12761,46,0,12,0,12,13846
1,62066,22,1,75,0,75,64228
1,236726,25,1,68,0,68,238993
1,477172,14,0,78,0,78,479217
1,965515,38,1,56,0,56,967593
1,16752,42,1,25,0,25,18788
1,1,51,0,20,0,20,1431
1,67685,22,1,4,0,4,69895
1,25553,74,1,123,0,123,27802
0,3,53,1,0,4,0,521
1,147823,72,0,120,0,120,149082
1,549344,19,0,82,0,82,551317
1,84713,3,1,40,0,40,85717
1,188,44,0,7,0,7,2356
0,115388,2,1,76,4,76,116089
1,3175,67,0,103,0,103,5373
1,397836,19,0,91,0,91,399746
1,548948,15,0,39,0,39,551038
1,255983,27,1,87,0,87,258202
1,7115,26,1,2,0,2,7513
1,520707,14,0,129,0,129,522056
1,560198,18,0,55,0,55,560632
1,6766,4,1,44,0,44,8796
0,241769,17,0,46,3,46,242101
1,739927,24,0,79,0,79,742170
1,5542,47,1,15,0,15,7341
1,1090076,37,1,122,0,122,1092022
1,654773,32,0,71,0,71,656983
1,28472,28,1,132,0,132,29812
1,21859,66,0,89,0,89,24063
0,3,63,1,74,4,74,569
1,508918,32,0,17,0,17,510087
1,18309,5,1,94,0,94,20468
1,45575,71,0,115,0,115,47761
1,80019,38,1,14,0,14,80858
1,141896,8,0,130,0,130,143770
1,393328,21,0,49,0,49,395811
1,16425,57,1,29,0,29,17708
1,105642,10,1,31,0,31,107570
1,214564,25,1,69,0,69,216636
1,3059,60,1,50,0,50,5239
1,3,54,1,24,0,24,2117
1,43711,65,1,85,0,85,45873
1,841178,23,0,65,0,65,843337
1,630077,19,0,13,0,13,630544
1,562332,37,1,33,0,33,564263
1,412986,19,0,90,0,90,414917
1,7884,73,1,121,0,121,9794
1,629867,20,0,41,0,41,630340
1,575726,18,0,1,0,1,576256
1,7779,32,1,11,0,11,8315
1,638620,10,0,111,0,111,640806
1,806334,19,0,73,0,73,808511
1,43530,72,1,118,0,118,45587
1,9896,48,0,53,0,53,12118
0,591283,15,1,57,4,57,591642
1,27310,70,0,114,0,114,28251
1,13635,1,1,48,0,48,15656
1,493973,19,0,81,0,81,495949
1,1850,62,0,67,0,67,2323
1,15220,49,0,86,0,86,17469
1,2046,64,0,83,0,83,2747
1,1523784,36,1,98,0,98,1525088
1,1218841,36,0,97,0,97,1220025
1,1558235,38,1,16,0,16,1560715
0,1157023,31,0,28,3,28,1157244
1,290090,25,1,128,0,128,292285
0,352018,40,1,108,4,108,352533
1,1,75,0,127,0,127,429
0,460530,10,0,70,3,70,461012
1,801998,24,0,47,0,47,804175
1,61057,37,1,124,0,124,61722
1,109113,9,0,131,0,131,111044
1,852247,32,0,113,0,113,853635
1,1426182,36,0,63,0,63,1428134
