Gene_Type,Genomic_Start_Position,Chromosome_Id,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
1,1159709,22,0,347,3,347,1160395
1,17649,95,0,404,3,404,18293
0,6637,45,0,135,4,135,7200
0,54438,83,0,359,4,359,55025
0,1463646,28,0,88,4,88,1464254
0,494134,23,1,203,4,203,494817
0,2015537,27,0,329,4,329,2016292
0,8128,90,0,388,4,388,9057
0,3962,64,0,132,4,132,4555
0,682675,28,0,98,4,98,683253
1,844098,22,0,368,3,368,844685
1,111971,94,0,401,1,401,112468
0,4217,78,0,340,4,340,4870
0,1954,76,0,265,4,265,2682
0,162521,8,1,8,4,8,163066
0,1955171,28,0,332,4,332,1955674
0,755460,28,1,99,4,99,756041
0,1367977,28,1,309,4,309,1368555
0,1486369,28,1,92,4,92,1487064
0,35642,15,1,72,4,72,36247
0,264339,23,0,259,4,259,265007
0,120498,14,0,34,2,34,120884
0,1920904,28,1,108,4,108,1921473
0,458125,17,0,352,4,352,458814
0,308044,16,0,370,4,370,308712
0,548190,19,0,226,2,226,548591
0,1603452,28,0,116,4,116,1604078
0,84681,58,0,61,4,61,85370
0,16820,74,0,262,4,262,17407
0,1032920,18,0,299,4,299,1033564
1,1738420,27,0,27,3,27,1738968
0,6162,86,1,379,4,379,6677
0,277438,3,1,222,4,222,278070
0,1730895,28,0,336,4,336,1731530
0,476973,6,0,206,4,206,477620
0,567310,20,0,381,2,381,567879
0,9749,61,0,126,4,126,10321
0,1685914,28,0,112,4,112,1686468
0,6979,70,0,230,4,230,7629
0,1004,83,0,356,4,356,1645
0,376393,3,1,55,4,55,376974
1,807330,27,1,24,3,24,807869
0,426186,4,1,138,4,138,426818
0,39237,57,1,52,4,52,39701
0,306524,23,0,260,4,260,307213
0,129,54,1,46,4,46,782
0,1132212,28,1,317,4,317,1132814
0,30158,15,1,73,4,73,30799
0,159101,14,1,67,4,67,159847
0,716974,27,1,271,4,271,717564
0,1637185,28,1,114,4,114,1637787
0,487330,3,0,170,4,170,487905
1,355831,13,1,430,3,430,356421
0,1931470,28,0,107,4,107,1932015
0,1341,52,0,39,4,39,2027
