Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,1174010,188,2,43,1168695,0,0
0,7476,0,2,60,127,0,0
0,609988,155,1,10,605538,0,1
1,1168419,160,3,50,1158055,1,1
0,1169344,40,1,44,1158920,0,0
1,18759,149,3,106,8548,1,1
0,52109,58,1,5,41772,0,1
0,18044,36,1,30,13358,0,1
0,424181,138,1,10,413739,0,0
0,225503,222,1,8,215040,0,0
0,940675,88,1,50,930293,0,1
0,330111,107,1,15,322282,0,0
0,458221,52,1,10,447770,0,1
0,328819,66,1,30,318764,0,0
0,18045,173,1,109,7588,0,0
0,83617,100,1,27,73238,0,1
1,743366,12,3,28,733188,1,0
1,723117,129,3,33,714922,1,0
1,796435,42,3,32,786038,1,0
1,296067,108,3,33,288610,1,0
0,5595,7,2,63,1,0,1
0,818767,118,1,29,810066,0,0
0,573981,156,1,10,563530,0,0
0,390898,218,1,34,380639,0,1
0,6832,25,2,75,2,0,1
0,46065,190,1,38,35644,0,1
0,842551,211,1,35,832124,0,0
0,63253,174,1,110,52823,0,1
0,78813,196,1,52,72588,0,1
0,149649,113,2,23,143326,0,0
0,816094,68,1,33,805796,0,0
1,11516,31,3,78,2172,1,0
0,26884,63,1,16,16478,0,1
0,22907,1,2,51,17262,0,1
0,5929,148,1,70,3,0,0
0,193120,183,2,23,183374,0,0
0,9732,191,1,115,1,0,0
0,970184,184,1,46,959784,0,1
0,213628,99,1,53,203258,0,0
1,647211,114,3,46,636820,1,0
0,138304,215,1,13,127910,0,1
0,13701,150,1,107,3220,0,1
0,328850,46,1,29,318795,0,0
0,6482,4,2,62,3,0,0
0,2345195,165,1,52,2334792,0,0
1,24168,110,3,97,13795,1,0
0,459416,64,1,34,449073,0,1
0,3034,90,2,94,2,0,0
0,252973,111,1,34,245186,0,1
0,62951,93,1,54,52593,0,1
0,347060,219,2,34,339083,0,1
0,45907,205,2,51,38978,0,1
0,141214,130,1,27,130814,0,1
1,789447,212,3,35,779023,1,0
0,475972,78,2,2,470489,0,0
0,409474,179,1,33,399029,0,1
0,47512,123,1,29,39092,0,1
0,802151,13,1,51,791817,0,1
0,33876,199,1,120,23431,0,0
0,1717944,170,2,49,1709332,0,1
0,745319,39,1,32,734937,0,0
0,891588,19,1,37,881293,0,0
1,934030,201,3,49,926063,1,1
0,127475,171,1,55,117093,0,1
0,6144,65,1,86,3,0,0
0,31191,119,1,35,20812,0,1
0,7954,192,2,116,2,0,0
0,229560,213,1,28,219184,0,1
0,571102,14,1,39,563645,0,0
0,69531,217,1,13,59128,0,1
0,13163,67,1,87,2601,0,0
0,5956,21,1,74,733,0,0
1,12411,133,3,101,1858,1,1
0,7614,2,0,61,1030,0,1
0,54831,125,1,52,44338,0,1
0,2370774,163,1,51,2360422,0,0
0,40663,197,1,119,30197,0,1
0,24830,101,1,27,14646,0,1
1,79790,207,3,51,69342,1,1
0,64484,127,2,30,55971,0,1
1,127990,147,3,54,117557,1,1
0,32850,186,1,9,28143,0,1
0,207695,54,1,15,204667,0,0
0,36235,216,1,13,25871,0,1
0,11492,32,1,79,5925,0,1
1,1233807,177,3,46,1224493,1,1
