Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,29,3818,116,116,1,70,2061,0,1
0,65,497232,53,53,0,1,497002,4,0
1,39,1362603,66,66,1,35,1360342,0,0
1,4,10034,9,9,1,44,9492,0,0
1,50,705460,54,54,1,24,703286,0,0
1,16,720,117,117,1,49,1,0,0
1,56,560632,57,57,1,18,560198,0,0
1,63,160581,125,125,1,12,159610,0,1
1,53,2942,36,36,1,57,882,0,1
1,5,53693,61,61,1,29,52560,0,1
1,67,1058918,107,107,1,33,1056777,0,0
1,17,1193345,104,104,1,31,1191366,0,0
1,46,590889,94,94,1,15,588715,0,1
1,59,2356776,5,5,1,37,2355799,0,0
1,38,5081,19,19,1,11,2874,0,1
1,26,82404,8,8,1,38,80149,0,1
1,45,3053,22,22,1,51,873,0,0
1,52,501852,63,63,1,32,499696,0,1
1,44,195717,4,4,1,7,194815,0,0
1,61,454212,110,110,1,24,451945,0,1
1,60,1166328,32,32,1,34,1164352,0,1
1,10,114991,84,84,1,3,114542,0,1
1,17,161676,78,78,1,12,160684,0,1
1,36,2832,56,56,1,60,619,0,0
1,31,26356,44,44,1,58,24182,0,1
1,18,603844,95,95,1,15,602780,0,1
1,2,18169,7,7,1,16,16115,0,1
1,58,508321,35,35,1,2,506186,0,0
1,9,29015,29,29,1,55,27780,0,1
1,1,646319,101,101,1,13,643902,0,0
1,61,395040,109,109,1,24,392911,0,1
1,62,2179419,98,98,1,36,2176948,0,1
1,61,742170,80,80,1,24,739927,0,0
1,38,203063,81,81,1,6,200871,0,0
1,20,9199,103,103,1,67,7001,0,1
1,13,606833,38,38,1,37,604902,0,0
1,66,53186,23,23,1,0,51024,0,0
0,48,12912,2,2,0,42,12295,1,0
1,3,5374,106,106,1,68,4073,0,1
1,61,346367,43,43,1,24,344166,0,1
1,55,194168,88,88,1,18,192141,0,0
1,37,656983,74,74,1,31,654773,0,0
0,47,302402,47,47,0,12,301785,4,1
1,46,628874,60,60,1,15,628374,0,1
1,13,2355697,99,99,1,37,2354525,0,0
1,17,141673,126,126,1,12,140918,0,1
1,64,38921,64,64,1,11,36609,0,1
0,52,356850,24,24,0,40,356083,4,1
1,2,246323,70,70,1,27,244452,0,1
1,41,258202,87,87,1,26,255983,0,1
1,3,802663,62,62,1,28,801878,0,0
1,46,628270,39,39,1,15,627785,0,1
1,37,1105132,105,105,1,31,1103840,0,1
0,32,1157244,30,30,0,30,1157023,3,0
1,62,2001346,68,68,1,36,1998842,0,0
1,41,122127,119,119,1,71,120202,0,0
1,65,32651,28,28,1,54,31587,0,1
1,56,576256,1,1,1,18,575726,0,0
1,2,13846,11,11,1,45,12761,0,0
1,15,69895,3,3,1,22,67685,0,1
1,7,292285,128,128,1,25,290090,0,1
1,39,479217,79,79,1,14,477172,0,0
1,59,967593,58,58,1,37,965515,0,1
1,29,18788,27,27,1,41,16752,0,1
1,37,1431,21,21,1,50,1,0,0
1,33,843337,67,67,1,23,841178,0,0
1,11,27802,123,123,1,73,25553,0,1
0,53,521,0,0,0,52,3,4,1
1,41,149082,120,120,1,71,147823,0,0
1,12,630544,12,12,1,19,630077,0,0
